Confirmed,Deaths,date_day,New,DayElapsed,New_death,DayElapsed_death,Recovered,New_recover
0,0,2020-01-21,0,0,0,0,0,0
0,0,2020-01-22,0,0,0,0,0,0
0,0,2020-01-23,0,0,0,0,0,0
0,0,2020-01-24,0,0,0,0,0,0
0,0,2020-01-25,0,0,0,0,0,0
0,0,2020-01-26,0,0,0,0,0,0
0,0,2020-01-27,0,0,0,0,0,0
0,0,2020-01-28,0,0,0,0,0,0
0,0,2020-01-29,0,0,0,0,0,0
0,0,2020-01-30,0,0,0,0,0,0
0,0,2020-01-31,0,0,0,0,0,0
0,0,2020-02-01,0,0,0,0,0,0
0,0,2020-02-02,0,0,0,0,0,0
0,0,2020-02-03,0,0,0,0,0,0
0,0,2020-02-04,0,0,0,0,0,0
0,0,2020-02-05,0,0,0,0,0,0
0,0,2020-02-06,0,0,0,0,0,0
0,0,2020-02-07,0,0,0,0,0,0
0,0,2020-02-08,0,0,0,0,0,0
0,0,2020-02-09,0,0,0,0,0,0
0,0,2020-02-10,0,0,0,0,0,0
0,0,2020-02-11,0,0,0,0,0,0
0,0,2020-02-12,0,0,0,0,0,0
0,0,2020-02-13,0,0,0,0,0,0
0,0,2020-02-14,0,0,0,0,0,0
0,0,2020-02-15,0,0,0,0,0,0
0,0,2020-02-16,0,0,0,0,0,0
0,0,2020-02-17,0,0,0,0,0,0
0,0,2020-02-18,0,0,0,0,0,0
0,0,2020-02-19,0,0,0,0,0,0
0,0,2020-02-20,0,0,0,0,0,0
0,0,2020-02-21,0,0,0,0,0,0
0,0,2020-02-22,0,0,0,0,0,0
0,0,2020-02-23,0,0,0,0,0,0
0,0,2020-02-24,0,0,0,0,0,0
0,0,2020-02-25,0,0,0,0,0,0
0,0,2020-02-26,0,0,0,0,0,0
0,0,2020-02-27,0,0,0,0,0,0
0,0,2020-02-28,0,0,0,0,0,0
0,0,2020-02-29,0,0,0,0,0,0
0,0,2020-03-01,0,0,0,0,0,0
0,0,2020-03-02,0,0,0,0,0,0
0,0,2020-03-03,0,0,0,0,0,0
0,0,2020-03-04,0,0,0,0,0,0
1,0,2020-03-05,1,0,0,0,0,0
1,0,2020-03-06,0,0,0,0,0,0
2,0,2020-03-07,1,0,0,0,0,0
3,0,2020-03-08,1,0,0,0,0,0
3,0,2020-03-09,0,0,0,0,0,0
8,0,2020-03-10,5,0,0,0,0,0
13,0,2020-03-11,5,0,0,0,0,0
16,0,2020-03-12,3,0,0,0,0,0
16,0,2020-03-13,0,0,0,0,0,0
22,0,2020-03-14,6,0,0,0,0,0
24,0,2020-03-15,2,0,0,0,0,0
31,0,2020-03-16,7,0,0,0,0,0
33,0,2020-03-17,2,0,0,0,0,0
45,0,2020-03-18,12,0,0,0,0,0
65,2,2020-03-19,20,0,2,0,0,0
109,2,2020-03-20,44,1,0,0,0,0
119,3,2020-03-21,10,2,1,1,0,0
186,3,2020-03-22,67,3,0,2,0,0
233,4,2020-03-23,47,4,1,3,0,0
305,6,2020-03-24,72,5,2,4,0,0
370,6,2020-03-25,65,6,0,5,0,0
421,9,2020-03-26,51,7,3,6,0,0
493,10,2020-03-27,72,8,1,7,0,0
558,13,2020-03-28,65,9,3,8,0,0
600,17,2020-03-29,42,10,4,9,0,0
657,18,2020-03-30,57,11,1,10,0,0
708,23,2020-03-31,51,12,5,11,0,0
832,28,2020-04-01,124,13,5,12,0,0
992,41,2020-04-02,160,14,13,13,0,0
1074,47,2020-04-03,82,15,6,14,0,0
1246,58,2020-04-04,172,16,11,15,0,0
1394,64,2020-04-05,148,17,6,16,0,0
1461,71,2020-04-06,67,18,7,17,0,0
1688,89,2020-04-07,227,19,18,18,0,0
1938,106,2020-04-08,250,20,17,19,0,0
2216,122,2020-04-09,278,21,16,20,0,0
2464,147,2020-04-10,248,22,25,21,0,0
2607,155,2020-04-11,143,23,8,22,0,0
2855,170,2020-04-12,248,24,15,23,0,0
3231,188,2020-04-13,376,25,18,24,0,0
3410,224,2020-04-14,179,26,36,25,0,0
3743,265,2020-04-15,333,27,41,26,0,0
3944,300,2020-04-16,201,28,35,27,0,0
4349,341,2020-04-17,405,29,41,28,0,0
4543,387,2020-04-18,194,30,46,29,0,0
4765,402,2020-04-19,222,31,15,30,0,0
4899,422,2020-04-20,134,32,20,31,0,0
5306,461,2020-04-21,407,33,39,32,0,0
5552,490,2020-04-22,246,34,29,33,0,0
6172,530,2020-04-23,620,35,40,34,0,0
6282,570,2020-04-24,110,36,40,35,0,0
6828,615,2020-04-25,546,37,45,36,0,0
7111,645,2020-04-26,283,38,30,37,0,0
7944,677,2020-04-27,833,39,32,38,0,0
8504,738,2020-04-28,560,40,61,39,0,0
8869,794,2020-04-29,365,41,56,40,0,0
9453,854,2020-04-30,584,42,60,41,0,0
10166,921,2020-05-01,713,43,67,42,0,0
10546,971,2020-05-02,380,44,50,43,0,0
11139,1019,2020-05-03,593,45,48,44,0,0
11721,1065,2020-05-04,582,46,46,45,0,0
12391,1123,2020-05-05,670,47,58,46,0,0
13295,1205,2020-05-06,904,48,82,47,0,0
14156,1394,2020-05-07,861,49,189,48,0,0
15741,1503,2020-05-08,1585,50,109,49,0,0
16929,1653,2020-05-09,1188,51,150,50,0,0
17062,1714,2020-05-10,133,52,61,51,0,0
17939,1770,2020-05-11,877,53,56,52,0,0
17939,1770,2020-05-12,0,54,0,53,0,0
