Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
48235,26446,2269,2020-07-29 22:00:00,2020-07-29,1182,137,30,129,318
47053,26128,2239,2020-07-28 22:00:00,2020-07-28,1151,136,33,128,334
45902,25794,2206,2020-07-27 22:00:00,2020-07-27,1104,135,19,127,151
44798,25643,2187,2020-07-26 22:00:00,2020-07-26,1120,134,22,126,270
43678,25373,2165,2020-07-25 22:00:00,2020-07-25,1284,133,15,125,24
42394,25349,2150,2020-07-24 22:00:00,2020-07-24,1119,132,24,124,487
41275,24862,2126,2020-07-23 22:00:00,2020-07-23,1112,131,25,123,199
40163,24663,2101,2020-07-22 22:00:00,2020-07-22,1030,130,27,122,209
39133,24454,2074,2020-07-21 22:00:00,2020-07-21,994,129,36,121,1707
38139,22747,2038,2020-07-20 22:00:00,2020-07-20,681,128,12,120,130
37458,22617,2026,2020-07-19 22:00:00,2020-07-19,767,127,17,119,129
36691,22488,2009,2020-07-18 22:00:00,2020-07-18,889,126,21,118,176
35802,22312,1988,2020-07-17 22:00:00,2020-07-17,799,125,17,117,123
35003,22189,1971,2020-07-16 22:00:00,2020-07-16,777,124,19,116,140
34226,22049,1952,2020-07-15 22:00:00,2020-07-15,641,123,21,115,246
33585,21803,1931,2020-07-14 22:00:00,2020-07-14,637,122,30,114,111
32948,21692,1901,2020-07-13 22:00:00,2020-07-13,413,121,17,113,147
32535,21545,1884,2020-07-12 22:00:00,2020-07-12,456,120,13,112,131
32079,21414,1871,2020-07-11 22:00:00,2020-07-11,698,119,24,111,285
31381,21129,1847,2020-07-10 22:00:00,2020-07-10,592,118,13,110,160
30789,20969,1834,2020-07-09 22:00:00,2020-07-09,614,117,17,109,170
30175,20799,1817,2020-07-08 22:00:00,2020-07-08,555,116,18,108,265
29620,20534,1799,2020-07-07 22:00:00,2020-07-07,397,115,31,107,321
29223,20213,1768,2020-07-06 22:00:00,2020-07-06,250,114,18,106,187
28973,20026,1750,2020-07-05 22:00:00,2020-07-05,391,113,19,105,172
28582,19854,1731,2020-07-04 22:00:00,2020-07-04,416,112,23,104,309
28166,19545,1708,2020-07-03 22:00:00,2020-07-03,420,111,21,103,182
27746,19363,1687,2020-07-02 22:00:00,2020-07-02,450,110,20,102,49
27296,19314,1667,2020-07-01 22:00:00,2020-07-01,326,109,16,101,264
