Confirmed,Deaths,date_day,New,DayElapsed,New_death,DayElapsed_death,Recovered,New_recover
0,0,2020-01-21,0,0,0,0,0,0
0,0,2020-01-22,0,0,0,0,0,0
0,0,2020-01-23,0,0,0,0,0,0
0,0,2020-01-24,0,0,0,0,0,0
0,0,2020-01-25,0,0,0,0,0,0
0,0,2020-01-26,0,0,0,0,0,0
0,0,2020-01-27,0,0,0,0,0,0
0,0,2020-01-28,0,0,0,0,0,0
0,0,2020-01-29,0,0,0,0,0,0
0,0,2020-01-30,0,0,0,0,0,0
0,0,2020-01-31,0,0,0,0,0,0
0,0,2020-02-01,0,0,0,0,0,0
0,0,2020-02-02,0,0,0,0,0,0
0,0,2020-02-03,0,0,0,0,0,0
0,0,2020-02-04,0,0,0,0,0,0
0,0,2020-02-05,0,0,0,0,0,0
0,0,2020-02-06,0,0,0,0,0,0
0,0,2020-02-07,0,0,0,0,0,0
0,0,2020-02-08,0,0,0,0,0,0
0,0,2020-02-09,0,0,0,0,0,0
0,0,2020-02-10,0,0,0,0,0,0
0,0,2020-02-11,0,0,0,0,0,0
0,0,2020-02-12,0,0,0,0,0,0
0,0,2020-02-13,0,0,0,0,0,0
0,0,2020-02-14,0,0,0,0,0,0
0,0,2020-02-15,0,0,0,0,0,0
0,0,2020-02-16,0,0,0,0,0,0
0,0,2020-02-17,0,0,0,0,0,0
0,0,2020-02-18,0,0,0,0,0,0
0,0,2020-02-19,0,0,0,0,0,0
0,0,2020-02-20,0,0,0,0,0,0
0,0,2020-02-21,0,0,0,0,0,0
0,0,2020-02-22,0,0,0,0,0,0
0,0,2020-02-23,0,0,0,0,0,0
0,0,2020-02-24,0,0,0,0,0,0
0,0,2020-02-25,0,0,0,0,0,0
0,0,2020-02-26,0,0,0,0,0,0
0,0,2020-02-27,0,0,0,0,0,0
0,0,2020-02-28,0,0,0,0,0,0
0,0,2020-02-29,0,0,0,0,0,0
0,0,2020-03-01,0,0,0,0,0,0
0,0,2020-03-02,0,0,0,0,0,0
0,0,2020-03-03,0,0,0,0,0,0
1,0,2020-03-04,1,0,0,0,0,0
1,0,2020-03-05,0,0,0,0,0,0
1,0,2020-03-06,0,0,0,0,0,0
2,0,2020-03-07,1,0,0,0,0,0
4,0,2020-03-08,2,0,0,0,0,0
5,0,2020-03-09,1,0,0,0,0,0
7,0,2020-03-10,2,0,0,0,0,0
14,0,2020-03-11,7,0,0,0,0,0
14,0,2020-03-12,0,0,0,0,0,0
40,0,2020-03-13,26,0,0,0,0,0
40,0,2020-03-14,0,0,0,0,0,0
32,0,2020-03-15,-8,0,0,0,0,0
85,0,2020-03-16,53,0,0,0,0,0
75,0,2020-03-17,-10,0,0,0,0,0
88,0,2020-03-18,13,0,0,0,0,0
99,0,2020-03-19,11,0,0,0,0,0
146,0,2020-03-20,47,1,0,0,0,0
187,0,2020-03-21,41,2,0,0,0,0
187,0,2020-03-22,0,3,0,0,0,0
200,0,2020-03-23,13,4,0,0,0,0
337,1,2020-03-24,137,5,1,0,0,0
403,2,2020-03-25,66,6,1,0,0,0
433,2,2020-03-26,30,7,0,0,0,0
505,2,2020-03-27,72,8,0,0,0,0
550,2,2020-03-28,45,9,0,0,0,0
560,2,2020-03-29,10,10,0,0,0,0
706,7,2020-03-30,146,11,5,1,0,0
782,7,2020-03-31,76,12,0,2,0,0
829,8,2020-04-01,47,13,1,3,0,0
1020,11,2020-04-02,191,14,3,4,0,0
1079,12,2020-04-03,59,15,1,5,0,0
1265,14,2020-04-04,186,16,2,6,0,0
1358,14,2020-04-05,93,17,0,7,0,0
1483,14,2020-04-06,125,18,0,8,0,0
1532,16,2020-04-07,49,19,2,9,0,0
1637,23,2020-04-08,105,20,7,10,0,0
1693,23,2020-04-09,56,21,0,11,0,0
1854,36,2020-04-10,161,22,13,12,0,0
2016,41,2020-04-11,162,23,5,13,0,0
2058,43,2020-04-12,42,24,2,14,0,0
2079,44,2020-04-13,21,25,1,15,0,0
2112,52,2020-04-14,33,26,8,16,0,0
2145,58,2020-04-15,33,27,6,17,0,0
2201,71,2020-04-16,56,28,13,18,0,0
2254,76,2020-04-17,53,29,5,19,0,0
2289,86,2020-04-18,35,30,10,20,0,0
2303,91,2020-04-19,14,31,5,21,0,0
2314,91,2020-04-20,11,32,0,22,0,0
2328,93,2020-04-21,14,33,2,23,0,0
2367,97,2020-04-22,39,34,4,24,0,0
2395,99,2020-04-23,28,35,2,25,0,0
2445,105,2020-04-24,50,36,6,26,0,0
2468,107,2020-04-25,23,37,2,27,0,0
2482,107,2020-04-26,14,38,0,28,0,0
2503,121,2020-04-27,21,39,14,29,0,0
2509,123,2020-04-28,6,40,2,30,0,0
2514,129,2020-04-29,5,41,6,31,0,0
2552,131,2020-04-30,38,42,2,32,0,0
2581,135,2020-05-01,29,43,4,33,0,0
2597,135,2020-05-02,16,44,0,34,0,0
2605,138,2020-05-03,8,45,3,35,0,0
2608,139,2020-05-04,3,46,1,36,0,0
2618,139,2020-05-05,10,47,0,37,0,0
2627,141,2020-05-06,9,48,2,38,0,0
2655,143,2020-05-07,28,49,2,39,0,0
2658,140,2020-05-08,3,50,-3,40,0,0
2660,142,2020-05-09,2,51,2,41,0,0
2663,142,2020-05-10,3,52,0,42,0,0
2665,142,2020-05-11,2,53,0,43,0,0
2665,144,2020-05-12,0,54,2,44,0,0
2667,144,2020-05-13,2,55,0,45,0,0
2677,145,2020-05-14,10,56,1,46,0,0
2684,147,2020-05-15,7,57,2,47,0,0
2688,149,2020-05-16,4,58,2,48,0,0
2696,149,2020-05-17,8,59,0,49,0,0
2696,149,2020-05-18,0,60,0,50,0,0
2699,154,2020-05-19,3,61,5,51,0,0
2703,154,2020-05-20,4,62,0,52,0,0
2706,157,2020-05-21,3,63,3,53,0,0
2707,157,2020-05-22,1,64,0,54,0,0
2709,157,2020-05-23,2,65,0,55,0,0
2713,157,2020-05-24,4,66,0,56,0,0
2716,157,2020-05-25,3,67,0,57,0,0
2727,158,2020-05-26,11,68,1,58,0,0
2730,160,2020-05-27,3,69,2,59,0,0
2731,161,2020-05-28,1,70,1,60,0,0
2716,162,2020-05-29,-15,71,1,61,0,0
2723,163,2020-05-30,7,72,1,62,0,0
2724,163,2020-05-31,1,73,0,63,0,0
2724,163,2020-06-01,0,74,0,64,0,0
2730,163,2020-06-02,6,75,0,65,0,0
2735,163,2020-06-03,5,76,0,66,0,0
2737,164,2020-06-04,2,77,1,67,0,0
2738,166,2020-06-05,1,78,2,68,0,0
2740,166,2020-06-06,2,79,0,69,0,0
2747,166,2020-06-07,7,80,0,70,0,0
2747,166,2020-06-08,0,81,0,71,0,0
2754,167,2020-06-09,7,82,1,72,0,0
2763,167,2020-06-10,9,83,0,73,0,0
2766,167,2020-06-11,3,84,0,74,0,0
2769,168,2020-06-12,3,85,1,75,0,0
2770,168,2020-06-13,1,86,0,76,0,0
2772,168,2020-06-14,2,87,0,77,0,0
2772,168,2020-06-15,0,88,0,78,0,0
2773,168,2020-06-16,1,89,0,79,0,0
2773,168,2020-06-17,0,90,0,80,0,0
2773,168,2020-06-18,0,91,0,81,0,0
2774,168,2020-06-19,1,92,0,82,0,0
2776,168,2020-06-20,2,93,0,83,0,0
2778,168,2020-06-21,2,94,0,84,0,0
2778,168,2020-06-22,0,95,0,85,0,0
2778,168,2020-06-23,0,96,0,86,0,0
2801,169,2020-06-24,23,97,1,87,0,0
2801,169,2020-06-25,0,98,0,88,0,0
2802,171,2020-06-26,1,99,2,89,0,0
2802,172,2020-06-27,0,100,1,90,0,0
2805,173,2020-06-28,3,101,1,91,0,0
2806,173,2020-06-29,1,102,0,92,0,0
2806,173,2020-06-30,0,103,0,93,0,0
2806,173,2020-07-01,0,104,0,94,0,0
2807,173,2020-07-02,1,105,0,95,0,0
2805,174,2020-07-03,-2,106,1,96,0,0
2805,174,2020-07-04,0,107,0,97,0,0
2805,174,2020-07-05,0,108,0,98,0,0
2806,174,2020-07-06,1,109,0,99,0,0
2806,174,2020-07-07,0,110,0,100,0,0
2808,174,2020-07-08,2,111,0,101,0,0
2809,174,2020-07-09,1,112,0,102,0,0
2812,174,2020-07-10,3,113,0,103,0,0
2812,174,2020-07-11,0,114,0,104,0,0
2812,174,2020-07-12,0,115,0,105,0,0
2812,174,2020-07-13,0,116,0,106,0,0
