Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed
245,21,30,2020-04-03 21:00:00,2020-04-03,9,20
236,13,28,2020-04-02 22:00:00,2020-04-02,0,19
236,13,26,2020-04-01 22:00:00,2020-04-01,6,18
230,13,25,2020-03-31 22:00:00,2020-03-31,6,17
224,6,22,2020-03-30 22:00:00,2020-03-30,0,16
224,6,22,2020-03-29 22:00:00,2020-03-29,1,15
223,6,21,2020-03-28 22:00:00,2020-03-28,15,14
208,4,21,2020-03-27 22:10:00,2020-03-27,0,13
208,4,21,2020-03-26 23:20:00,2020-03-26,21,12
187,4,21,2020-03-25 23:00:00,2020-03-25,0,11
187,4,20,2020-03-24 22:20:00,2020-03-24,12,10
175,4,20,2020-03-23 22:40:00,2020-03-23,15,9
160,4,20,2020-03-22 22:00:00,2020-03-22,9,8
151,4,14,2020-03-21 22:00:00,2020-03-21,7,7
144,4,14,2020-03-20 22:20:00,2020-03-20,4,6
140,4,14,2020-03-19 22:30:00,2020-03-19,21,5
119,4,11,2020-03-18 23:00:00,2020-03-18,17,4
102,4,9,2020-03-17 22:00:00,2020-03-17,-7,3
109,4,7,2020-03-16 22:00:00,2020-03-16,8,2
101,4,5,2020-03-15 22:00:00,2020-03-15,21,1
80,2,5,2020-03-14 22:00:00,2020-03-14,3,0
77,0,5,2020-03-13 22:00:00,2020-03-13,8,0
69,0,3,2020-03-12 22:00:00,2020-03-12,7,0
62,0,2,2020-03-11 22:00:00,2020-03-11,11,0
51,0,2,2020-03-10 22:00:00,2020-03-10,15,0
36,0,1,2020-03-09 22:00:00,2020-03-09,10,0
26,0,1,2020-03-08 22:00:00,2020-03-08,3,0
23,0,1,2020-03-07 22:00:00,2020-03-07,2,0
21,0,0,2020-03-06 22:00:00,2020-03-06,5,0
16,0,0,2020-03-05 22:00:00,2020-03-05,6,0
10,0,0,2020-03-04 22:00:00,2020-03-04,2,0
8,0,0,2020-03-03 22:00:00,2020-03-03,0,0
8,0,0,2020-03-02 22:00:00,2020-03-02,7,0
1,0,0,2020-03-01 22:00:00,2020-03-01,0,0
1,0,0,2020-02-29 22:00:00,2020-02-29,0,0
1,0,0,2020-02-28 22:00:00,2020-02-28,1,0
0,0,0,2020-02-27 22:00:00,2020-02-27,0,0
0,0,0,2020-02-26 22:00:00,2020-02-26,0,0
0,0,0,2020-02-25 22:00:00,2020-02-25,0,0
0,0,0,2020-02-24 22:00:00,2020-02-24,0,0
0,0,0,2020-02-23 22:00:00,2020-02-23,0,0
0,0,0,2020-02-22 22:00:00,2020-02-22,0,0
0,0,0,2020-02-21 22:00:00,2020-02-21,0,0
0,0,0,2020-02-20 22:00:00,2020-02-20,0,0
0,0,0,2020-02-19 22:00:00,2020-02-19,0,0
0,0,0,2020-02-18 22:00:00,2020-02-18,0,0
0,0,0,2020-02-17 22:00:00,2020-02-17,0,0
0,0,0,2020-02-16 22:00:00,2020-02-16,0,0
0,0,0,2020-02-15 22:00:00,2020-02-15,0,0
0,0,0,2020-02-14 22:00:00,2020-02-14,0,0
0,0,0,2020-02-13 22:00:00,2020-02-13,0,0
0,0,0,2020-02-12 22:00:00,2020-02-12,0,0
0,0,0,2020-02-11 21:30:00,2020-02-11,0,0
0,0,0,2020-02-10 22:00:00,2020-02-10,0,0
0,0,0,2020-02-09 22:00:00,2020-02-09,0,0
0,0,0,2020-02-08 22:00:00,2020-02-08,0,0
0,0,0,2020-02-07 22:00:00,2020-02-07,0,0
0,0,0,2020-02-06 22:00:00,2020-02-06,0,0
0,0,0,2020-02-05 22:00:00,2020-02-05,0,0
0,0,0,2020-02-04 21:00:00,2020-02-04,0,0
0,0,0,2020-02-03 21:00:00,2020-02-03,0,0
0,0,0,2020-02-02 21:00:00,2020-02-02,0,0
0,0,0,2020-02-01 11:00:00,2020-02-01,0,0
0,0,0,2020-01-31 13:30:00,2020-01-31,0,0
0,0,0,2020-01-30 13:00:00,2020-01-30,0,0
0,0,0,2020-01-29 15:00:00,2020-01-29,0,0
0,0,0,2020-01-28 12:30:00,2020-01-28,0,0
0,0,0,2020-01-27 15:00:00,2020-01-27,0,0
0,0,0,2020-01-26 14:00:00,2020-01-26,0,0
0,0,0,2020-01-25 16:00:00,2020-01-25,0,0
0,0,0,2020-01-24 16:00:00,2020-01-24,0,0
0,0,0,2020-01-23 16:00:00,2020-01-23,0,0
0,0,0,2020-01-22 16:00:00,2020-01-22,0,0
0,0,0,2020-01-21 16:00:00,2020-01-21,0,0
