Confirmed,Deaths,date_day,New,DayElapsed,New_death,DayElapsed_death,Recovered,New_recover
0,0,2020-01-21,0,0,0,0,0,0
0,0,2020-01-22,0,0,0,0,0,0
0,0,2020-01-23,0,0,0,0,0,0
0,0,2020-01-24,0,0,0,0,0,0
0,0,2020-01-25,0,0,0,0,0,0
0,0,2020-01-26,0,0,0,0,0,0
0,0,2020-01-27,0,0,0,0,0,0
0,0,2020-01-28,0,0,0,0,0,0
0,0,2020-01-29,0,0,0,0,0,0
0,0,2020-01-30,0,0,0,0,0,0
0,0,2020-01-31,0,0,0,0,0,0
0,0,2020-02-01,0,0,0,0,0,0
0,0,2020-02-02,0,0,0,0,0,0
0,0,2020-02-03,0,0,0,0,0,0
0,0,2020-02-04,0,0,0,0,0,0
0,0,2020-02-05,0,0,0,0,0,0
0,0,2020-02-06,0,0,0,0,0,0
0,0,2020-02-07,0,0,0,0,0,0
0,0,2020-02-08,0,0,0,0,0,0
0,0,2020-02-09,0,0,0,0,0,0
0,0,2020-02-10,0,0,0,0,0,0
0,0,2020-02-11,0,0,0,0,0,0
0,0,2020-02-12,0,0,0,0,0,0
0,0,2020-02-13,0,0,0,0,0,0
0,0,2020-02-14,0,0,0,0,0,0
0,0,2020-02-15,0,0,0,0,0,0
0,0,2020-02-16,0,0,0,0,0,0
0,0,2020-02-17,0,0,0,0,0,0
0,0,2020-02-18,0,0,0,0,0,0
0,0,2020-02-19,0,0,0,0,0,0
0,0,2020-02-20,0,0,0,0,0,0
0,0,2020-02-21,0,0,0,0,0,0
0,0,2020-02-22,0,0,0,0,0,0
0,0,2020-02-23,0,0,0,0,0,0
0,0,2020-02-24,0,0,0,0,0,0
0,0,2020-02-25,0,0,0,0,0,0
0,0,2020-02-26,0,0,0,0,0,0
0,0,2020-02-27,0,0,0,0,0,0
0,0,2020-02-28,0,0,0,0,0,0
0,0,2020-02-29,0,0,0,0,0,0
0,0,2020-03-01,0,0,0,0,0,0
0,0,2020-03-02,0,0,0,0,0,0
0,0,2020-03-03,0,0,0,0,0,0
0,0,2020-03-04,0,0,0,0,0,0
0,0,2020-03-05,0,0,0,0,0,0
0,0,2020-03-06,0,0,0,0,0,0
0,0,2020-03-07,0,0,0,0,0,0
0,0,2020-03-08,0,0,0,0,0,0
0,0,2020-03-09,0,0,0,0,0,0
0,0,2020-03-10,0,0,0,0,0,0
0,0,2020-03-11,0,0,0,0,0,0
0,0,2020-03-12,0,0,0,0,0,0
2,0,2020-03-13,2,0,0,0,0,0
4,0,2020-03-14,2,0,0,0,0,0
6,0,2020-03-15,2,0,0,0,0,0
7,0,2020-03-16,1,0,0,0,0,0
7,0,2020-03-17,0,0,0,0,0,0
10,0,2020-03-18,3,0,0,0,0,0
20,0,2020-03-19,10,0,0,0,0,0
21,0,2020-03-20,1,0,0,0,0,0
51,0,2020-03-21,30,0,0,0,0,0
57,0,2020-03-22,6,0,0,0,0,0
68,0,2020-03-23,11,0,0,0,0,0
107,0,2020-03-24,39,1,0,0,0,0
109,0,2020-03-25,2,2,0,0,0,0
122,1,2020-03-26,13,3,1,0,0,0
149,1,2020-03-27,27,4,0,0,0,0
184,1,2020-03-28,35,5,0,0,0,0
194,1,2020-03-29,10,6,0,0,0,0
197,1,2020-03-30,3,7,0,0,0,0
219,2,2020-03-31,22,8,1,0,0,0
235,2,2020-04-01,16,9,0,0,0,0
247,2,2020-04-02,12,10,0,0,0,0
281,5,2020-04-03,34,11,3,1,0,0
334,5,2020-04-04,53,12,0,2,0,0
357,10,2020-04-05,23,13,5,3,0,0
379,10,2020-04-06,22,14,0,4,0,0
417,11,2020-04-07,38,15,1,5,0,0
457,15,2020-04-08,40,16,4,6,0,0
501,17,2020-04-09,44,17,2,7,0,0
693,18,2020-04-10,192,18,1,8,0,0
732,21,2020-04-11,39,19,3,9,0,0
768,24,2020-04-12,36,20,3,10,0,0
777,24,2020-04-13,9,21,0,11,0,0
826,26,2020-04-14,49,22,2,12,0,0
853,28,2020-04-15,27,23,2,13,0,0
884,29,2020-04-16,31,24,1,14,0,0
926,30,2020-04-17,42,25,1,15,0,0
962,31,2020-04-18,36,26,1,16,0,0
975,32,2020-04-19,13,27,1,17,0,0
1025,35,2020-04-20,50,28,3,18,0,0
1063,35,2020-04-21,38,29,0,19,0,0
1091,37,2020-04-22,28,30,2,20,0,0
1115,39,2020-04-23,24,31,2,21,0,0
1170,42,2020-04-24,55,32,3,22,0,0
1209,42,2020-04-25,39,33,0,23,0,0
1235,42,2020-04-26,26,34,0,24,0,0
1337,43,2020-04-27,102,35,1,25,0,0
1476,44,2020-04-28,139,36,1,26,0,0
1476,44,2020-04-29,0,37,0,27,0,0
