Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
702,203,12,2020-06-23 22:00:00,2020-06-23,4,49,0,50,0
698,203,12,2020-06-22 22:00:00,2020-06-22,0,48,0,49,0
698,203,12,2020-06-21 22:00:00,2020-06-21,5,47,0,48,4
693,199,12,2020-06-20 22:00:00,2020-06-20,5,46,0,47,8
688,191,12,2020-06-19 22:00:00,2020-06-19,5,45,0,46,3
683,188,12,2020-06-18 22:00:00,2020-06-18,12,44,0,45,6
671,182,12,2020-06-17 22:00:00,2020-06-17,9,43,0,44,5
662,177,12,2020-06-16 22:00:00,2020-06-16,1,42,0,43,0
661,177,12,2020-06-15 22:00:00,2020-06-15,2,41,0,42,1
659,176,12,2020-06-14 22:00:00,2020-06-14,9,40,0,41,8
650,168,12,2020-06-13 22:00:00,2020-06-13,11,39,0,40,12
639,156,12,2020-06-12 22:00:00,2020-06-12,7,38,0,39,10
632,146,12,2020-06-11 22:00:00,2020-06-11,21,37,0,38,11
611,135,12,2020-06-10 22:00:00,2020-06-10,98,36,0,37,67
513,68,12,2020-06-09 22:00:00,2020-06-09,0,35,0,36,0
513,68,12,2020-06-08 22:00:00,2020-06-08,14,34,0,35,0
499,68,12,2020-06-07 22:00:00,2020-06-07,0,33,0,34,0
499,68,12,2020-06-06 22:00:00,2020-06-06,14,32,0,33,0
485,68,12,2020-06-05 22:00:00,2020-06-05,0,31,0,32,0
485,68,12,2020-06-04 22:00:00,2020-06-04,1,30,0,31,0
484,68,12,2020-06-03 22:00:00,2020-06-03,0,29,0,30,0
484,68,12,2020-06-02 22:00:00,2020-06-02,1,28,0,29,0
483,68,12,2020-06-01 22:00:00,2020-06-01,4,27,0,28,0
479,68,12,2020-05-31 22:00:00,2020-05-31,16,26,0,27,0
463,68,12,2020-05-30 22:00:00,2020-05-30,5,25,0,26,0
458,68,12,2020-05-29 22:00:00,2020-05-29,15,24,0,25,0
443,68,12,2020-05-28 22:00:00,2020-05-28,2,23,0,24,0
441,68,12,2020-05-27 22:00:00,2020-05-27,142,22,1,23,64
299,4,11,2020-05-26 22:00:00,2020-05-26,48,21,3,22,0
251,4,8,2020-05-25 22:00:00,2020-05-25,0,20,0,21,0
251,4,8,2020-05-24 22:00:00,2020-05-24,0,19,0,20,0
251,4,8,2020-05-23 22:00:00,2020-05-23,0,18,0,19,0
251,4,8,2020-05-22 22:00:00,2020-05-22,0,17,0,18,0
251,4,8,2020-05-21 22:00:00,2020-05-21,0,16,0,17,0
251,4,8,2020-05-20 22:00:00,2020-05-20,5,15,1,16,0
246,4,7,2020-05-19 22:00:00,2020-05-19,11,14,0,15,0
235,4,7,2020-05-18 22:00:00,2020-05-18,0,13,0,14,0
235,4,7,2020-05-17 22:00:00,2020-05-17,0,12,0,13,0
235,4,7,2020-05-16 22:00:00,2020-05-16,0,11,0,12,0
235,4,7,2020-05-15 22:00:00,2020-05-15,15,10,1,11,0
220,4,6,2020-05-14 22:00:00,2020-05-14,12,9,1,10,0
208,4,5,2020-05-13 22:00:00,2020-05-13,0,8,0,9,0
208,4,5,2020-05-12 22:00:00,2020-05-12,0,7,0,8,0
208,4,5,2020-05-11 22:00:00,2020-05-11,0,6,0,7,0
208,4,5,2020-05-10 22:00:00,2020-05-10,0,5,0,6,0
208,4,5,2020-05-09 22:00:00,2020-05-09,0,4,0,5,0
208,4,5,2020-05-08 22:00:00,2020-05-08,34,3,2,4,0
174,4,3,2020-05-07 22:00:00,2020-05-07,0,2,0,3,0
174,4,3,2020-05-06 22:00:00,2020-05-06,151,1,0,2,0
23,4,3,2020-05-05 22:00:00,2020-05-05,7,0,2,1,0
16,4,1,2020-05-04 22:00:00,2020-05-04,0,0,0,0,0
16,4,1,2020-05-03 22:00:00,2020-05-03,0,0,0,0,0
16,4,1,2020-05-02 22:00:00,2020-05-02,0,0,0,0,0
16,4,1,2020-05-01 22:00:00,2020-05-01,2,0,1,0,0
14,4,0,2020-04-30 22:00:00,2020-04-30,6,0,0,0,0
8,4,0,2020-04-29 22:00:00,2020-04-29,0,0,0,0,0
8,4,0,2020-04-28 22:00:00,2020-04-28,4,0,0,0,4
4,0,0,2020-04-27 22:00:00,2020-04-27,0,0,0,0,0
4,0,0,2020-04-26 22:00:00,2020-04-26,0,0,0,0,0
4,0,0,2020-04-25 22:00:00,2020-04-25,0,0,0,0,0
4,0,0,2020-04-24 22:00:00,2020-04-24,0,0,0,0,0
4,0,0,2020-04-23 22:00:00,2020-04-23,0,0,0,0,0
4,0,0,2020-04-22 22:00:00,2020-04-22,0,0,0,0,0
4,0,0,2020-04-21 22:00:00,2020-04-21,0,0,0,0,0
4,0,0,2020-04-20 22:00:00,2020-04-20,0,0,0,0,0
4,0,0,2020-04-19 22:00:00,2020-04-19,0,0,0,0,0
4,0,0,2020-04-18 22:00:00,2020-04-18,0,0,0,0,0
4,0,0,2020-04-17 22:00:00,2020-04-17,0,0,0,0,0
4,0,0,2020-04-16 22:00:00,2020-04-16,0,0,0,0,0
4,0,0,2020-04-15 22:00:00,2020-04-15,0,0,0,0,0
4,0,0,2020-04-14 22:00:00,2020-04-14,0,0,0,0,0
4,0,0,2020-04-13 22:00:00,2020-04-13,0,0,0,0,0
4,0,0,2020-04-12 22:00:00,2020-04-12,0,0,0,0,0
4,0,0,2020-04-11 22:00:00,2020-04-11,0,0,0,0,0
4,0,0,2020-04-10 22:00:00,2020-04-10,0,0,0,0,0
4,0,0,2020-04-09 22:00:00,2020-04-09,0,0,0,0,0
4,0,0,2020-04-08 22:00:00,2020-04-08,0,0,0,0,0
4,0,0,2020-04-07 22:00:00,2020-04-07,4,0,0,0,0
0,0,0,2020-04-06 22:00:00,2020-04-06,0,0,0,0,0
0,0,0,2020-04-05 22:00:00,2020-04-05,0,0,0,0,0
0,0,0,2020-04-04 21:00:00,2020-04-04,0,0,0,0,0
0,0,0,2020-04-03 21:00:00,2020-04-03,0,0,0,0,0
0,0,0,2020-04-02 21:00:00,2020-04-02,0,0,0,0,0
0,0,0,2020-04-01 21:00:00,2020-04-01,0,0,0,0,0
0,0,0,2020-03-31 21:00:00,2020-03-31,0,0,0,0,0
0,0,0,2020-03-30 21:00:00,2020-03-30,0,0,0,0,0
0,0,0,2020-03-29 21:00:00,2020-03-29,0,0,0,0,0
0,0,0,2020-03-28 21:00:00,2020-03-28,0,0,0,0,0
0,0,0,2020-03-27 21:10:00,2020-03-27,0,0,0,0,0
0,0,0,2020-03-26 22:20:00,2020-03-26,0,0,0,0,0
0,0,0,2020-03-25 23:20:00,2020-03-25,0,0,0,0,0
0,0,0,2020-03-24 21:20:00,2020-03-24,0,0,0,0,0
0,0,0,2020-03-23 21:40:00,2020-03-23,0,0,0,0,0
0,0,0,2020-03-22 21:00:00,2020-03-22,0,0,0,0,0
0,0,0,2020-03-21 21:00:00,2020-03-21,0,0,0,0,0
0,0,0,2020-03-20 21:20:00,2020-03-20,0,0,0,0,0
0,0,0,2020-03-19 21:30:00,2020-03-19,0,0,0,0,0
0,0,0,2020-03-18 22:00:00,2020-03-18,0,0,0,0,0
0,0,0,2020-03-17 21:00:00,2020-03-17,0,0,0,0,0
0,0,0,2020-03-16 21:00:00,2020-03-16,0,0,0,0,0
0,0,0,2020-03-15 21:00:00,2020-03-15,0,0,0,0,0
0,0,0,2020-03-14 21:00:00,2020-03-14,0,0,0,0,0
0,0,0,2020-03-13 21:00:00,2020-03-13,0,0,0,0,0
0,0,0,2020-03-12 21:00:00,2020-03-12,0,0,0,0,0
0,0,0,2020-03-11 21:00:00,2020-03-11,0,0,0,0,0
0,0,0,2020-03-10 21:00:00,2020-03-10,0,0,0,0,0
0,0,0,2020-03-09 21:00:00,2020-03-09,0,0,0,0,0
