Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
83384,58883,480,2020-05-31 22:00:00,2020-05-31,1618,78,22,66,1870
81766,57013,458,2020-05-30 22:00:00,2020-05-30,1581,77,17,65,2460
80185,54553,441,2020-05-29 22:00:00,2020-05-29,1644,76,16,64,3531
78541,51022,425,2020-05-28 22:00:00,2020-05-28,1815,75,14,63,2572
76726,48450,411,2020-05-27 22:00:00,2020-05-27,1931,74,12,62,2782
74795,45668,399,2020-05-26 22:00:00,2020-05-26,2235,73,9,61,2148
72560,43520,390,2020-05-25 22:00:00,2020-05-25,2399,72,11,60,2284
70161,41236,379,2020-05-24 22:00:00,2020-05-24,2442,71,15,59,2233
67719,39003,364,2020-05-23 22:00:00,2020-05-23,2642,70,13,58,2963
65077,36040,351,2020-05-22 22:00:00,2020-05-22,2532,69,12,57,2562
62545,33478,339,2020-05-21 22:00:00,2020-05-21,2691,68,10,56,1844
59854,31634,329,2020-05-20 22:00:00,2020-05-20,2509,67,9,55,2886
57345,28748,320,2020-05-19 22:00:00,2020-05-19,2593,66,8,54,3026
54752,25722,312,2020-05-18 22:00:00,2020-05-18,2736,65,10,53,2056
52016,23666,302,2020-05-17 22:00:00,2020-05-17,2840,64,10,52,1797
49176,21869,292,2020-05-16 22:00:00,2020-05-16,2307,63,9,51,2818
46869,19051,283,2020-05-15 22:00:00,2020-05-15,2039,62,10,50,1429
44830,17622,273,2020-05-14 22:00:00,2020-05-14,1905,61,9,49,2365
42925,15257,264,2020-05-13 22:00:00,2020-05-13,1911,60,9,48,2520
41014,12737,255,2020-05-12 22:00:00,2020-05-12,1966,59,9,47,1280
39048,11457,246,2020-05-11 22:00:00,2020-05-11,1912,58,7,46,1313
37136,10144,239,2020-05-10 22:00:00,2020-05-10,1704,57,10,45,1024
35432,9120,229,2020-05-09 22:00:00,2020-05-09,1701,56,10,44,1322
33731,7798,219,2020-05-08 22:00:00,2020-05-08,1793,55,10,43,1015
31938,6783,209,2020-05-07 22:00:00,2020-05-07,1687,54,9,42,1352
30251,5431,200,2020-05-06 22:00:00,2020-05-06,1595,53,9,41,955
28656,4476,191,2020-05-05 22:00:00,2020-05-05,1645,52,7,40,342
27011,4134,184,2020-05-04 22:00:00,2020-05-04,1552,51,8,39,369
25459,3765,176,2020-05-03 22:00:00,2020-05-03,1362,50,7,38,210
24097,3555,169,2020-05-02 22:00:00,2020-05-02,1344,49,7,37,392
22753,3163,162,2020-05-01 22:00:00,2020-05-01,1351,48,5,36,210
21402,2953,157,2020-04-30 22:00:00,2020-04-30,1325,47,5,35,169
20077,2784,152,2020-04-29 22:00:00,2020-04-29,1266,46,8,34,253
18811,2531,144,2020-04-28 22:00:00,2020-04-28,1289,45,5,33,174
17522,2357,139,2020-04-27 22:00:00,2020-04-27,1223,44,3,32,142
16299,2215,136,2020-04-26 22:00:00,2020-04-26,1197,43,9,31,166
15102,2049,127,2020-04-25 22:00:00,2020-04-25,1172,42,6,30,124
13930,1925,121,2020-04-24 22:00:00,2020-04-24,1158,41,7,29,113
12772,1812,114,2020-04-23 22:00:00,2020-04-23,1141,40,5,28,172
11631,1640,109,2020-04-22 22:00:00,2020-04-22,1147,39,6,27,150
10484,1490,103,2020-04-21 22:00:00,2020-04-21,1122,38,6,26,92
9362,1398,97,2020-04-20 22:00:00,2020-04-20,1088,37,5,25,69
8274,1329,92,2020-04-19 22:00:00,2020-04-19,1132,36,5,24,280
7142,1049,87,2020-04-18 22:00:00,2020-04-18,762,35,4,23,59
6380,990,83,2020-04-17 22:00:00,2020-04-17,518,34,4,22,59
5862,931,79,2020-04-16 22:00:00,2020-04-16,493,33,6,21,42
5369,889,73,2020-04-15 22:00:00,2020-04-15,435,32,8,20,84
4934,805,65,2020-04-14 22:00:00,2020-04-14,472,31,6,19,44
4462,761,59,2020-04-13 22:00:00,2020-04-13,429,30,7,18,41
4033,720,52,2020-04-12 22:00:00,2020-04-12,382,29,5,17,35
3651,685,47,2020-04-11 22:00:00,2020-04-11,364,28,3,16,19
3287,666,44,2020-04-10 22:00:00,2020-04-10,355,27,3,15,35
2932,631,41,2020-04-09 22:00:00,2020-04-09,137,26,0,14,16
2795,615,41,2020-04-08 22:00:00,2020-04-08,43,25,3,13,64
2752,551,38,2020-04-07 22:00:00,2020-04-07,289,24,4,12,63
2463,488,34,2020-04-06 22:00:00,2020-04-06,93,23,5,11,68
2370,420,29,2020-04-05 22:00:00,2020-04-05,331,22,4,10,69
2039,351,25,2020-04-04 21:00:00,2020-04-04,154,21,4,9,23
1885,328,21,2020-04-03 21:00:00,2020-04-03,165,20,5,8,64
1720,264,16,2020-04-02 21:00:00,2020-04-02,157,19,6,7,99
1563,165,10,2020-04-01 21:00:00,2020-04-01,110,18,2,6,50
1453,115,8,2020-03-31 21:00:00,2020-03-31,154,17,0,5,49
1299,66,8,2020-03-30 21:00:00,2020-03-30,96,16,4,4,29
1203,37,4,2020-03-29 21:00:00,2020-03-29,99,15,1,3,2
1104,35,3,2020-03-28 21:00:00,2020-03-28,92,14,0,2,2
1012,33,3,2020-03-27 21:10:00,2020-03-27,112,13,1,1,4
900,29,2,2020-03-26 22:20:00,2020-03-26,0,12,0,0,0
900,29,2,2020-03-25 23:20:00,2020-03-25,338,11,2,0,10
562,19,0,2020-03-24 21:20:00,2020-03-24,51,10,0,0,2
511,17,0,2020-03-23 21:40:00,2020-03-23,119,9,0,0,1
392,16,0,2020-03-22 21:00:00,2020-03-22,48,8,0,0,8
344,8,0,2020-03-21 21:00:00,2020-03-21,70,7,0,0,0
274,8,0,2020-03-20 21:20:00,2020-03-20,36,6,0,0,2
238,6,0,2020-03-19 21:30:00,2020-03-19,67,5,0,0,0
171,6,0,2020-03-18 22:00:00,2020-03-18,38,4,0,0,0
133,6,0,2020-03-17 21:00:00,2020-03-17,15,3,0,0,3
118,3,0,2020-03-16 21:00:00,2020-03-16,15,2,0,0,1
103,2,0,2020-03-15 21:00:00,2020-03-15,17,1,0,0,1
86,1,0,2020-03-14 21:00:00,2020-03-14,24,0,0,0,0
62,1,0,2020-03-13 21:00:00,2020-03-13,17,0,0,0,0
45,1,0,2020-03-12 21:00:00,2020-03-12,25,0,0,0,0
20,1,0,2020-03-11 21:00:00,2020-03-11,0,0,0,0,0
20,1,0,2020-03-10 21:00:00,2020-03-10,5,0,0,0,0
15,1,0,2020-03-09 21:00:00,2020-03-09,4,0,0,0,0
11,1,0,2020-03-08 21:00:00,2020-03-08,6,0,0,0,0
5,1,0,2020-03-07 21:00:00,2020-03-07,0,0,0,0,0
5,1,0,2020-03-06 21:00:00,2020-03-06,3,0,0,0,1
2,0,0,2020-03-05 21:00:00,2020-03-05,1,0,0,0,0
1,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
1,0,0,2020-03-03 21:00:00,2020-03-03,1,0,0,0,0
0,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
0,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
0,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
0,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
0,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
0,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
0,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
0,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
0,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
0,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
0,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0,0,0
0,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0,0
0,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0,0
0,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0,0
0,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0,0,0
0,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0,0,0
0,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0,0,0
0,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0,0,0
0,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0,0,0
0,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0,0,0
0,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0,0,0
0,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0,0,0
0,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0,0,0
0,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0,0,0
0,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0,0,0
0,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0,0,0
0,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0,0,0
0,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0,0,0
0,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0,0,0
0,0,0,2020-01-23 15:00:00,2020-01-23,0,0,0,0,0
0,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0,0,0
0,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0,0,0
