Confirmed,Deaths,date_day,New,DayElapsed,New_death,DayElapsed_death,Recovered,New_recover
0,0,2020-01-21,0,0,0,0,0,0
0,0,2020-01-22,0,0,0,0,0,0
0,0,2020-01-23,0,0,0,0,0,0
0,0,2020-01-24,0,0,0,0,0,0
0,0,2020-01-25,0,0,0,0,0,0
0,0,2020-01-26,0,0,0,0,0,0
0,0,2020-01-27,0,0,0,0,0,0
0,0,2020-01-28,0,0,0,0,0,0
0,0,2020-01-29,0,0,0,0,0,0
0,0,2020-01-30,0,0,0,0,0,0
0,0,2020-01-31,0,0,0,0,0,0
0,0,2020-02-01,0,0,0,0,0,0
0,0,2020-02-02,0,0,0,0,0,0
0,0,2020-02-03,0,0,0,0,0,0
0,0,2020-02-04,0,0,0,0,0,0
0,0,2020-02-05,0,0,0,0,0,0
0,0,2020-02-06,0,0,0,0,0,0
0,0,2020-02-07,0,0,0,0,0,0
0,0,2020-02-08,0,0,0,0,0,0
0,0,2020-02-09,0,0,0,0,0,0
0,0,2020-02-10,0,0,0,0,0,0
0,0,2020-02-11,0,0,0,0,0,0
0,0,2020-02-12,0,0,0,0,0,0
0,0,2020-02-13,0,0,0,0,0,0
0,0,2020-02-14,0,0,0,0,0,0
0,0,2020-02-15,0,0,0,0,0,0
0,0,2020-02-16,0,0,0,0,0,0
0,0,2020-02-17,0,0,0,0,0,0
0,0,2020-02-18,0,0,0,0,0,0
0,0,2020-02-19,0,0,0,0,0,0
0,0,2020-02-20,0,0,0,0,0,0
0,0,2020-02-21,0,0,0,0,0,0
0,0,2020-02-22,0,0,0,0,0,0
0,0,2020-02-23,0,0,0,0,0,0
0,0,2020-02-24,0,0,0,0,0,0
0,0,2020-02-25,0,0,0,0,0,0
0,0,2020-02-26,0,0,0,0,0,0
0,0,2020-02-27,0,0,0,0,0,0
1,0,2020-02-28,1,0,0,0,0,0
1,0,2020-02-29,0,0,0,0,0,0
2,0,2020-03-01,1,0,0,0,0,0
2,0,2020-03-02,0,0,0,0,0,0
2,0,2020-03-03,0,0,0,0,0,0
2,0,2020-03-04,0,0,0,0,0,0
3,0,2020-03-05,1,0,0,0,0,0
7,0,2020-03-06,4,0,0,0,0,0
8,0,2020-03-07,1,0,0,0,0,0
8,0,2020-03-08,0,0,0,0,0,0
9,0,2020-03-09,1,0,0,0,0,0
9,0,2020-03-10,0,0,0,0,0,0
27,0,2020-03-11,18,0,0,0,0,0
31,0,2020-03-12,4,0,0,0,0,0
48,0,2020-03-13,17,0,0,0,0,0
60,0,2020-03-14,12,0,0,0,0,0
103,0,2020-03-15,43,1,0,0,0,0
123,0,2020-03-16,20,2,0,0,0,0
127,0,2020-03-17,4,3,0,0,0,0
159,0,2020-03-18,32,4,0,0,0,0
202,0,2020-03-19,43,5,0,0,0,0
266,1,2020-03-20,64,6,1,0,0,0
308,1,2020-03-21,42,7,0,0,0,0
347,1,2020-03-22,39,8,0,0,0,0
383,1,2020-03-23,36,9,0,0,0,0
478,2,2020-03-24,95,10,1,0,0,0
577,3,2020-03-25,99,11,1,1,0,0
675,3,2020-03-26,98,12,0,2,0,0
812,4,2020-03-27,137,13,1,3,0,0
915,4,2020-03-28,103,14,0,4,0,0
1005,6,2020-03-29,90,15,2,5,0,0
1049,7,2020-03-30,44,16,1,6,0,0
1120,9,2020-03-31,71,17,2,7,0,0
1246,10,2020-04-01,126,18,1,8,0,0
1335,11,2020-04-02,89,19,1,9,0,0
1443,15,2020-04-03,108,20,4,10,0,0
1559,17,2020-04-04,116,21,2,11,0,0
1631,18,2020-04-05,72,22,1,12,0,0
1671,20,2020-04-06,40,23,2,13,0,0
1730,24,2020-04-07,59,24,4,14,0,0
1827,28,2020-04-08,97,25,4,15,0,0
1932,34,2020-04-09,105,26,6,16,0,0
2029,38,2020-04-10,97,27,4,17,0,0
2065,39,2020-04-11,36,28,1,18,0,0
2118,41,2020-04-12,53,29,2,19,0,0
2134,44,2020-04-13,16,30,3,20,0,0
2164,49,2020-04-14,30,31,5,21,0,0
2245,54,2020-04-15,81,32,5,22,0,0
2294,55,2020-04-16,49,33,1,23,0,0
2349,59,2020-04-17,55,34,4,24,0,0
2387,61,2020-04-18,38,35,2,25,0,0
2417,62,2020-04-19,30,36,1,26,0,0
2426,67,2020-04-20,9,37,5,27,0,0
2414,70,2020-04-21,-12,38,3,28,0,0
2496,79,2020-04-22,82,39,9,29,0,0
2530,84,2020-04-23,34,40,5,30,0,0
2557,88,2020-04-24,27,41,4,31,0,0
2612,95,2020-04-25,55,42,7,32,0,0
2630,96,2020-04-26,18,43,1,33,0,0
2638,98,2020-04-27,8,44,2,34,0,0
2653,101,2020-04-28,15,45,3,35,0,0
2679,103,2020-04-29,26,46,2,36,0,0
2690,106,2020-04-30,11,47,3,37,0,0
2714,110,2020-05-01,24,48,4,38,0,0
2728,112,2020-05-02,14,49,2,39,0,0
2738,113,2020-05-03,10,50,1,40,0,0
2788,113,2020-05-04,50,51,0,41,0,0
2799,118,2020-05-05,11,52,5,42,0,0
2815,119,2020-05-06,16,53,1,43,0,0
2834,120,2020-05-07,19,54,1,44,0,0
2860,122,2020-05-08,26,55,2,45,0,0
2898,122,2020-05-09,38,56,0,46,0,0
2938,123,2020-05-10,40,57,1,47,0,0
2957,124,2020-05-11,19,58,1,48,0,0
2956,125,2020-05-12,-1,59,1,49,0,0
2972,125,2020-05-13,16,60,0,50,0,0
2982,125,2020-05-14,10,61,0,51,0,0
2998,126,2020-05-15,16,62,1,52,0,0
2998,126,2020-05-16,0,63,0,53,0,0
3000,126,2020-05-17,2,64,0,54,0,0
3002,126,2020-05-18,2,65,0,55,0,0
3002,128,2020-05-19,0,66,2,56,0,0
3014,131,2020-05-20,12,67,3,57,0,0
3021,134,2020-05-21,7,68,3,58,0,0
3039,134,2020-05-22,18,69,0,59,0,0
3062,136,2020-05-23,23,70,2,60,0,0
3062,137,2020-05-24,0,71,1,61,0,0
3062,137,2020-05-25,0,72,0,62,0,0
3067,139,2020-05-26,5,73,2,63,0,0
3070,140,2020-05-27,3,74,1,64,0,0
3072,143,2020-05-28,2,75,3,65,0,0
3078,144,2020-05-29,6,76,1,66,0,0
3090,145,2020-05-30,12,77,1,67,0,0
3094,145,2020-05-31,4,78,0,68,0,0
3097,145,2020-06-01,3,79,0,69,0,0
3103,145,2020-06-02,6,80,0,70,0,0
3106,146,2020-06-03,3,81,1,71,0,0
3103,146,2020-06-04,-3,82,0,72,0,0
3103,146,2020-06-05,0,83,0,73,0,0
3107,147,2020-06-06,4,84,1,74,0,0
3109,147,2020-06-07,2,85,0,75,0,0
3110,147,2020-06-08,1,86,0,76,0,0
3114,148,2020-06-09,4,87,1,77,0,0
3115,148,2020-06-10,1,88,0,78,0,0
3117,148,2020-06-11,2,89,0,79,0,0
3120,148,2020-06-12,3,90,0,80,0,0
3120,150,2020-06-13,0,91,2,81,0,0
3121,151,2020-06-14,1,92,1,82,0,0
3121,151,2020-06-15,0,93,0,83,0,0
3122,151,2020-06-16,1,94,0,84,0,0
3122,152,2020-06-17,0,95,1,85,0,0
3122,152,2020-06-18,0,96,0,86,0,0
