Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
10344,6838,209,2020-08-02 22:00:00,2020-08-02,60,130,0,107,16
10284,6822,209,2020-08-01 22:00:00,2020-08-01,178,129,5,106,97
10106,6725,204,2020-07-31 22:00:00,2020-07-31,145,128,4,105,70
9961,6655,200,2020-07-30 22:00:00,2020-07-30,156,127,2,104,64
9805,6591,198,2020-07-29 22:00:00,2020-07-29,0,126,0,103,0
9805,6591,198,2020-07-28 22:00:00,2020-07-28,41,125,4,102,114
9764,6477,194,2020-07-27 22:00:00,2020-07-27,212,124,7,101,113
9552,6364,187,2020-07-26 22:00:00,2020-07-26,130,123,5,100,73
9422,6291,182,2020-07-25 22:00:00,2020-07-25,0,122,0,99,0
9422,6291,182,2020-07-24 22:00:00,2020-07-24,156,121,4,98,121
9266,6170,178,2020-07-23 22:00:00,2020-07-23,281,120,4,97,126
8985,6044,174,2020-07-22 22:00:00,2020-07-22,37,119,4,96,42
8948,6002,170,2020-07-21 22:00:00,2020-07-21,138,118,3,95,54
8810,5948,167,2020-07-20 22:00:00,2020-07-20,141,117,4,94,89
8669,5859,163,2020-07-19 22:00:00,2020-07-19,0,116,0,93,0
8669,5859,163,2020-07-18 22:00:00,2020-07-18,125,115,3,92,50
8544,5809,160,2020-07-17 22:00:00,2020-07-17,63,114,4,91,74
8481,5735,156,2020-07-16 22:00:00,2020-07-16,112,113,3,90,130
8369,5605,153,2020-07-15 22:00:00,2020-07-15,171,112,3,89,91
8198,5514,150,2020-07-14 22:00:00,2020-07-14,0,111,0,88,0
8198,5514,150,2020-07-13 22:00:00,2020-07-13,63,110,2,87,68
8135,5446,148,2020-07-12 22:00:00,2020-07-12,121,109,3,86,65
8014,5381,145,2020-07-11 22:00:00,2020-07-11,132,108,0,85,70
7882,5311,145,2020-07-10 22:00:00,2020-07-10,98,107,2,84,142
7784,5169,143,2020-07-09 22:00:00,2020-07-09,127,106,2,83,72
7657,5097,141,2020-07-08 22:00:00,2020-07-08,110,105,4,82,74
7547,5023,137,2020-07-07 22:00:00,2020-07-07,147,104,4,81,153
7400,4870,133,2020-07-06 22:00:00,2020-07-06,128,103,4,80,157
7272,4713,129,2020-07-05 22:00:00,2020-07-05,108,102,4,79,47
7164,4666,125,2020-07-04 22:00:00,2020-07-04,0,101,0,78,0
7164,4666,125,2020-07-03 22:00:00,2020-07-03,110,100,4,77,67
7054,4599,121,2020-07-02 22:00:00,2020-07-02,129,99,5,76,54
6925,4545,116,2020-07-01 22:00:00,2020-07-01,227,98,8,75,204
6698,4341,108,2020-06-30 22:00:00,2020-06-30,0,97,3,74,0
6698,4341,105,2020-06-29 22:00:00,2020-06-29,112,96,0,73,50
6586,4291,105,2020-06-28 22:00:00,2020-06-28,232,95,7,72,98
6354,4193,98,2020-06-27 22:00:00,2020-06-27,0,94,0,71,0
6354,4193,98,2020-06-26 22:00:00,2020-06-26,121,93,4,70,31
6233,4162,94,2020-06-25 22:00:00,2020-06-25,104,92,1,69,90
6129,4072,93,2020-06-24 22:00:00,2020-06-24,95,91,4,68,26
6034,4046,89,2020-06-23 22:00:00,2020-06-23,64,90,3,67,93
5970,3953,86,2020-06-22 22:00:00,2020-06-22,187,89,4,66,94
5783,3859,82,2020-06-21 22:00:00,2020-06-21,144,88,3,65,71
5639,3788,79,2020-06-20 22:00:00,2020-06-20,0,87,0,64,0
5639,3788,79,2020-06-19 22:00:00,2020-06-19,270,86,6,63,182
5369,3606,73,2020-06-18 22:00:00,2020-06-18,0,85,0,62,0
5369,3606,73,2020-06-17 22:00:00,2020-06-17,122,84,3,61,81
5247,3525,70,2020-06-16 22:00:00,2020-06-16,74,83,6,60,101
5173,3424,64,2020-06-15 22:00:00,2020-06-15,177,82,4,59,196
4996,3228,60,2020-06-14 22:00:00,2020-06-14,145,81,4,58,128
4851,3100,56,2020-06-13 22:00:00,2020-06-13,0,80,0,57,0
4851,3100,56,2020-06-12 22:00:00,2020-06-12,92,79,1,56,106
4759,2994,55,2020-06-11 22:00:00,2020-06-11,119,78,3,55,109
4640,2885,52,2020-06-10 22:00:00,2020-06-10,124,77,0,54,76
4516,2809,52,2020-06-09 22:00:00,2020-06-09,89,76,3,53,110
4427,2699,49,2020-06-08 22:00:00,2020-06-08,99,75,0,52,111
4328,2588,49,2020-06-07 22:00:00,2020-06-07,79,74,2,51,76
4249,2512,47,2020-06-06 22:00:00,2020-06-06,94,73,2,50,236
