Confirmed,Deaths,date_day,New,DayElapsed,New_death,DayElapsed_death,Recovered,New_recover
0,0,2020-01-21,0,0,0,0,0,0
0,0,2020-01-22,0,0,0,0,0,0
0,0,2020-01-23,0,0,0,0,0,0
0,0,2020-01-24,0,0,0,0,0,0
0,0,2020-01-25,0,0,0,0,0,0
0,0,2020-01-26,0,0,0,0,0,0
0,0,2020-01-27,0,0,0,0,0,0
0,0,2020-01-28,0,0,0,0,0,0
0,0,2020-01-29,0,0,0,0,0,0
0,0,2020-01-30,0,0,0,0,0,0
0,0,2020-01-31,0,0,0,0,0,0
0,0,2020-02-01,0,0,0,0,0,0
0,0,2020-02-02,0,0,0,0,0,0
0,0,2020-02-03,0,0,0,0,0,0
0,0,2020-02-04,0,0,0,0,0,0
0,0,2020-02-05,0,0,0,0,0,0
0,0,2020-02-06,0,0,0,0,0,0
0,0,2020-02-07,0,0,0,0,0,0
0,0,2020-02-08,0,0,0,0,0,0
0,0,2020-02-09,0,0,0,0,0,0
0,0,2020-02-10,0,0,0,0,0,0
0,0,2020-02-11,0,0,0,0,0,0
0,0,2020-02-12,0,0,0,0,0,0
0,0,2020-02-13,0,0,0,0,0,0
0,0,2020-02-14,0,0,0,0,0,0
0,0,2020-02-15,0,0,0,0,0,0
0,0,2020-02-16,0,0,0,0,0,0
0,0,2020-02-17,0,0,0,0,0,0
0,0,2020-02-18,0,0,0,0,0,0
0,0,2020-02-19,0,0,0,0,0,0
0,0,2020-02-20,0,0,0,0,0,0
0,0,2020-02-21,0,0,0,0,0,0
0,0,2020-02-22,0,0,0,0,0,0
0,0,2020-02-23,0,0,0,0,0,0
0,0,2020-02-24,0,0,0,0,0,0
0,0,2020-02-25,0,0,0,0,0,0
0,0,2020-02-26,0,0,0,0,0,0
0,0,2020-02-27,0,0,0,0,0,0
0,0,2020-02-28,0,0,0,0,0,0
0,0,2020-02-29,0,0,0,0,0,0
0,0,2020-03-01,0,0,0,0,0,0
0,0,2020-03-02,0,0,0,0,0,0
0,0,2020-03-03,0,0,0,0,0,0
0,0,2020-03-04,0,0,0,0,0,0
0,0,2020-03-05,0,0,0,0,0,0
0,0,2020-03-06,0,0,0,0,0,0
0,0,2020-03-07,0,0,0,0,0,0
0,0,2020-03-08,0,0,0,0,0,0
0,0,2020-03-09,0,0,0,0,0,0
0,0,2020-03-10,0,0,0,0,0,0
0,0,2020-03-11,0,0,0,0,0,0
0,0,2020-03-12,0,0,0,0,0,0
0,0,2020-03-13,0,0,0,0,0,0
0,0,2020-03-14,0,0,0,0,0,0
1,0,2020-03-15,1,0,0,0,0,0
1,0,2020-03-16,0,0,0,0,0,0
4,0,2020-03-17,3,0,0,0,0,0
5,0,2020-03-18,1,0,0,0,0,0
6,0,2020-03-19,1,0,0,0,0,0
6,0,2020-03-20,0,0,0,0,0,0
10,0,2020-03-21,4,0,0,0,0,0
10,0,2020-03-22,0,0,0,0,0,0
10,0,2020-03-23,0,0,0,0,0,0
15,0,2020-03-24,5,0,0,0,0,0
16,0,2020-03-25,1,0,0,0,0,0
16,0,2020-03-26,0,0,0,0,0,0
16,0,2020-03-27,0,0,0,0,0,0
16,0,2020-03-28,0,0,0,0,0,0
16,0,2020-03-29,0,0,0,0,0,0
16,0,2020-03-30,0,0,0,0,0,0
19,0,2020-03-31,3,0,0,0,0,0
20,0,2020-04-01,1,0,0,0,0,0
23,2,2020-04-02,3,0,2,0,0,0
25,2,2020-04-03,2,0,0,0,0,0
27,2,2020-04-04,2,0,0,0,0,0
32,3,2020-04-05,5,0,1,1,0,0
32,4,2020-04-06,0,0,1,2,0,0
36,4,2020-04-07,4,0,0,3,0,0
36,4,2020-04-08,0,0,0,4,0,0
39,4,2020-04-09,3,0,0,5,0,0
42,4,2020-04-10,3,0,0,6,0,0
42,4,2020-04-11,0,0,0,7,0,0
44,4,2020-04-12,2,0,0,8,0,0
44,4,2020-04-13,0,0,0,9,0,0
45,4,2020-04-14,1,0,0,10,0,0
46,4,2020-04-15,1,0,0,11,0,0
48,4,2020-04-16,2,0,0,12,0,0
53,4,2020-04-17,5,0,0,13,0,0
71,5,2020-04-18,18,0,1,14,0,0
83,5,2020-04-19,12,0,0,15,0,0
86,5,2020-04-20,3,0,0,16,0,0
92,5,2020-04-21,6,0,0,17,0,0
117,7,2020-04-22,25,1,2,18,0,0
124,8,2020-04-23,7,2,1,19,0,0
144,8,2020-04-24,20,3,0,20,0,0
153,9,2020-04-25,9,4,1,21,0,0
159,9,2020-04-26,6,5,0,22,0,0
197,10,2020-04-27,38,6,1,23,0,0
280,11,2020-04-28,83,7,1,24,0,0
337,12,2020-04-29,57,8,1,25,0,0
447,12,2020-04-30,110,9,0,26,0,0
517,14,2020-05-01,70,10,2,27,0,0
601,14,2020-05-02,84,11,0,28,0,0
730,14,2020-05-03,129,12,0,29,0,0
772,17,2020-05-04,42,13,3,30,0,0
898,21,2020-05-05,126,14,4,31,0,0
998,23,2020-05-06,100,15,2,32,0,0
1214,25,2020-05-07,216,16,2,33,0,0
1438,28,2020-05-08,224,17,3,34,0,0
1588,33,2020-05-09,150,18,5,35,0,0
1771,34,2020-05-10,183,19,1,36,0,0
1800,37,2020-05-11,29,20,3,37,0,0
2032,37,2020-05-12,232,21,0,38,0,0
2032,37,2020-05-13,0,22,0,39,0,0
2268,42,2020-05-14,236,23,5,40,0,0
2494,47,2020-05-15,226,24,5,41,0,0
2868,50,2020-05-16,374,25,3,42,0,0
3135,53,2020-05-17,267,26,3,43,0,0
3566,59,2020-05-18,431,27,6,44,0,0
3566,59,2020-05-19,0,28,0,45,0,0
3967,63,2020-05-20,401,29,4,46,0,0
4277,69,2020-05-21,310,30,6,47,0,0
4734,76,2020-05-22,457,31,7,48,0,0
4922,82,2020-05-23,188,32,6,49,0,0
5314,93,2020-05-24,392,33,11,50,0,0
5314,93,2020-05-25,0,34,0,51,0,0
5735,116,2020-05-26,421,35,23,52,0,0
5735,116,2020-05-27,0,36,0,53,0,0
6156,135,2020-05-28,421,37,19,54,0,0
6462,142,2020-05-29,306,38,7,55,0,0
6805,149,2020-05-30,343,39,7,56,0,0
6999,158,2020-05-31,194,40,9,57,0,0
7233,166,2020-06-01,234,41,8,58,0,0
7555,172,2020-06-02,322,42,6,59,0,0
7989,180,2020-06-03,434,43,8,60,0,0
8204,186,2020-06-04,215,44,6,61,0,0
8577,198,2020-06-05,373,45,12,62,0,0
8972,208,2020-06-06,395,46,10,63,0,0
9290,217,2020-06-07,318,47,9,64,0,0
9727,234,2020-06-08,437,48,17,65,0,0
10126,252,2020-06-09,399,49,18,66,0,0
10615,264,2020-06-10,489,50,12,67,0,0
11056,283,2020-06-11,441,51,19,68,0,0
11534,305,2020-06-12,478,52,22,69,0,0
12866,316,2020-06-13,1332,53,11,70,0,0
13968,330,2020-06-14,1102,54,14,71,0,0
15675,352,2020-06-15,1707,55,22,72,0,0
16310,364,2020-06-16,635,56,12,73,0,0
16807,383,2020-06-17,497,57,19,74,0,0
17338,400,2020-06-18,531,58,17,75,0,0
17808,426,2020-06-19,470,59,26,76,0,0
17808,426,2020-06-20,0,60,0,77,0,0
18985,462,2020-06-21,1177,61,36,78,0,0
19384,491,2020-06-22,399,62,29,79,0,0
19883,511,2020-06-23,499,63,20,80,0,0
20353,524,2020-06-24,470,64,13,81,0,0
21081,554,2020-06-25,728,65,30,82,0,0
21908,579,2020-06-26,827,66,25,83,0,0
23319,605,2020-06-27,1411,67,26,84,0,0
24421,620,2020-06-28,1102,68,15,85,0,0
24817,653,2020-06-29,396,69,33,86,0,0
25411,676,2020-06-30,594,70,23,87,0,0
25915,702,2020-07-01,504,71,26,88,0,0
26612,725,2020-07-02,697,72,23,89,0,0
28186,764,2020-07-03,1574,73,39,90,0,0
29761,783,2020-07-04,1575,74,19,91,0,0
30217,798,2020-07-05,456,75,15,92,0,0
30718,826,2020-07-06,501,76,28,93,0,0
31640,851,2020-07-07,922,77,25,94,0,0
32490,875,2020-07-08,850,78,24,95,0,0
33416,901,2020-07-09,926,79,26,96,0,0
34713,931,2020-07-10,1297,80,30,97,0,0
36046,954,2020-07-11,1333,81,23,98,0,0
36046,954,2020-07-12,0,82,0,99,0,0
