Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death
256,246,3,2020-04-06 22:00:00,2020-04-06,0,65,0
256,245,3,2020-04-05 22:00:00,2020-04-05,0,64,0
256,245,3,2020-04-04 21:00:00,2020-04-04,1,63,0
255,242,3,2020-04-03 21:00:00,2020-04-03,0,62,0
255,242,3,2020-04-02 21:00:00,2020-04-02,0,61,0
255,242,3,2020-04-01 21:00:00,2020-04-01,2,60,0
253,242,3,2020-03-31 21:00:00,2020-03-31,0,59,0
253,242,3,2020-03-30 21:00:00,2020-03-30,0,58,0
253,242,3,2020-03-29 21:00:00,2020-03-29,0,57,0
253,242,3,2020-03-28 21:00:00,2020-03-28,0,56,0
253,242,3,2020-03-27 21:10:00,2020-03-27,3,55,0
250,240,3,2020-03-26 22:20:00,2020-03-26,0,54,0
250,240,3,2020-03-25 23:20:00,2020-03-25,1,53,0
249,240,3,2020-03-24 21:20:00,2020-03-24,1,52,0
248,239,3,2020-03-23 21:40:00,2020-03-23,0,51,0
248,239,3,2020-03-22 21:00:00,2020-03-22,0,50,0
248,239,3,2020-03-21 21:00:00,2020-03-21,1,49,0
247,237,3,2020-03-20 21:20:00,2020-03-20,1,48,0
246,237,3,2020-03-19 21:30:00,2020-03-19,0,47,0
246,237,3,2020-03-18 22:00:00,2020-03-18,0,46,1
246,236,2,2020-03-17 21:00:00,2020-03-17,1,45,0
245,233,2,2020-03-16 21:00:00,2020-03-16,0,44,0
245,232,2,2020-03-15 21:00:00,2020-03-15,0,43,0
245,232,2,2020-03-14 21:00:00,2020-03-14,0,42,0
245,232,2,2020-03-13 21:00:00,2020-03-13,0,41,0
245,232,2,2020-03-12 21:00:00,2020-03-12,0,40,1
245,231,1,2020-03-11 21:00:00,2020-03-11,0,39,0
245,227,1,2020-03-10 21:00:00,2020-03-10,0,38,0
245,227,1,2020-03-09 21:00:00,2020-03-09,0,37,0
245,226,1,2020-03-08 21:00:00,2020-03-08,0,36,0
245,226,1,2020-03-07 21:00:00,2020-03-07,0,35,0
245,226,1,2020-03-06 21:00:00,2020-03-06,0,34,0
245,224,1,2020-03-05 21:00:00,2020-03-05,0,33,0
245,218,1,2020-03-04 21:00:00,2020-03-04,0,32,0
245,216,1,2020-03-03 21:00:00,2020-03-03,0,31,0
245,216,1,2020-03-02 21:00:00,2020-03-02,0,30,0
245,208,1,2020-03-01 21:00:00,2020-03-01,0,29,0
245,207,1,2020-02-29 21:00:00,2020-02-29,0,28,0
245,199,1,2020-02-28 21:00:00,2020-02-28,0,27,0
245,194,1,2020-02-27 21:00:00,2020-02-27,0,26,0
245,189,1,2020-02-26 21:00:00,2020-02-26,0,25,0
245,184,1,2020-02-25 21:00:00,2020-02-25,0,24,0
245,164,1,2020-02-24 21:00:00,2020-02-24,0,23,0
245,158,1,2020-02-23 21:00:00,2020-02-23,0,22,0
245,149,1,2020-02-22 21:00:00,2020-02-22,0,21,0
245,130,1,2020-02-21 21:00:00,2020-02-21,0,20,0
245,117,1,2020-02-20 21:00:00,2020-02-20,3,19,1
242,102,0,2020-02-19 21:00:00,2020-02-19,2,18,0
240,85,0,2020-02-18 21:00:00,2020-02-18,0,17,0
240,76,0,2020-02-17 21:00:00,2020-02-17,4,16,0
236,70,0,2020-02-16 21:00:00,2020-02-16,4,15,0
232,56,0,2020-02-15 21:00:00,2020-02-15,2,14,0
230,49,0,2020-02-14 21:00:00,2020-02-14,1,13,0
229,46,0,2020-02-13 21:00:00,2020-02-13,4,12,0
225,40,0,2020-02-12 21:00:00,2020-02-12,6,11,0
219,32,0,2020-02-11 20:30:00,2020-02-11,6,10,0
213,27,0,2020-02-10 21:00:00,2020-02-10,5,9,0
208,25,0,2020-02-09 21:00:00,2020-02-09,13,8,0
195,20,0,2020-02-08 21:00:00,2020-02-08,11,7,0
184,17,0,2020-02-07 21:00:00,2020-02-07,11,6,0
173,7,0,2020-02-06 21:00:00,2020-02-06,8,5,0
165,6,0,2020-02-05 21:00:00,2020-02-05,23,4,0
142,1,0,2020-02-04 20:00:00,2020-02-04,14,3,0
128,0,0,2020-02-03 20:00:00,2020-02-03,12,2,0
116,0,0,2020-02-02 20:00:00,2020-02-02,29,1,0
87,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0
87,0,0,2020-01-31 12:30:00,2020-01-31,31,0,0
56,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0
56,0,0,2020-01-29 14:00:00,2020-01-29,21,0,0
35,0,0,2020-01-28 11:30:00,2020-01-28,13,0,0
22,0,0,2020-01-27 14:00:00,2020-01-27,7,0,0
15,0,0,2020-01-26 13:00:00,2020-01-26,10,0,0
5,0,0,2020-01-25 15:00:00,2020-01-25,2,0,0
3,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0
3,0,0,2020-01-23 15:00:00,2020-01-23,3,0,0
0,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0
0,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0
