Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
783,756,7,2020-04-10 22:00:00,2020-04-10,0,73,0,52,0
783,756,7,2020-04-09 22:00:00,2020-04-09,0,72,0,51,1
783,755,7,2020-04-08 22:00:00,2020-04-08,2,71,0,50,0
781,755,7,2020-04-07 22:00:00,2020-04-07,1,70,0,49,0
780,755,7,2020-04-06 22:00:00,2020-04-06,1,69,0,48,0
779,755,7,2020-04-05 22:00:00,2020-04-05,1,68,0,47,0
778,755,7,2020-04-04 21:00:00,2020-04-04,0,67,0,46,1
778,754,7,2020-04-03 21:00:00,2020-04-03,3,66,0,45,1
775,753,7,2020-04-02 21:00:00,2020-04-02,1,65,0,44,0
774,753,7,2020-04-01 21:00:00,2020-04-01,0,64,0,43,0
774,753,7,2020-03-31 21:00:00,2020-03-31,1,63,0,42,0
773,753,7,2020-03-30 21:00:00,2020-03-30,1,62,0,41,1
772,752,7,2020-03-29 21:00:00,2020-03-29,0,61,0,40,0
772,752,7,2020-03-28 21:00:00,2020-03-28,1,60,0,39,0
771,752,7,2020-03-27 21:10:00,2020-03-27,2,59,0,38,0
769,752,7,2020-03-26 22:20:00,2020-03-26,0,58,0,37,0
769,752,7,2020-03-25 23:20:00,2020-03-25,1,57,0,36,0
768,752,7,2020-03-24 21:20:00,2020-03-24,0,56,0,35,0
768,752,7,2020-03-23 21:40:00,2020-03-23,2,55,0,34,2
766,750,7,2020-03-22 21:00:00,2020-03-22,2,54,0,33,1
764,749,7,2020-03-21 21:00:00,2020-03-21,2,53,0,32,1
762,748,7,2020-03-20 21:20:00,2020-03-20,1,52,0,31,1
761,747,7,2020-03-19 21:30:00,2020-03-19,0,51,0,30,1
761,746,7,2020-03-18 22:00:00,2020-03-18,0,50,0,29,0
761,746,7,2020-03-17 21:00:00,2020-03-17,1,49,0,28,0
760,746,7,2020-03-16 21:00:00,2020-03-16,0,48,0,27,5
760,741,7,2020-03-15 21:00:00,2020-03-15,0,47,0,26,0
760,741,7,2020-03-14 21:00:00,2020-03-14,0,46,0,25,2
760,739,7,2020-03-13 21:00:00,2020-03-13,0,45,1,24,5
760,734,6,2020-03-12 21:00:00,2020-03-12,1,44,0,23,9
759,725,6,2020-03-11 21:00:00,2020-03-11,1,43,0,22,6
758,719,6,2020-03-10 21:00:00,2020-03-10,0,42,0,21,19
758,700,6,2020-03-09 21:00:00,2020-03-09,0,41,0,20,58
758,642,6,2020-03-08 21:00:00,2020-03-08,0,40,0,19,17
758,625,6,2020-03-07 21:00:00,2020-03-07,0,39,0,18,7
758,618,6,2020-03-06 21:00:00,2020-03-06,0,38,0,17,41
758,577,6,2020-03-05 21:00:00,2020-03-05,0,37,0,16,62
758,515,6,2020-03-04 21:00:00,2020-03-04,0,36,0,15,4
758,511,6,2020-03-03 21:00:00,2020-03-03,0,35,0,14,51
758,460,6,2020-03-02 21:00:00,2020-03-02,2,34,0,13,21
756,439,6,2020-03-01 21:00:00,2020-03-01,0,33,0,12,21
756,418,6,2020-02-29 21:00:00,2020-02-29,0,32,0,11,13
756,405,6,2020-02-28 21:00:00,2020-02-28,0,31,0,10,21
756,384,6,2020-02-27 21:00:00,2020-02-27,0,30,0,9,9
756,375,6,2020-02-26 21:00:00,2020-02-26,0,29,0,8,26
756,349,6,2020-02-25 21:00:00,2020-02-25,1,28,2,7,6
755,343,4,2020-02-24 21:00:00,2020-02-24,1,27,0,6,24
754,319,4,2020-02-23 21:00:00,2020-02-23,4,26,0,5,17
750,302,4,2020-02-22 21:00:00,2020-02-22,1,25,0,4,21
749,281,4,2020-02-21 21:00:00,2020-02-21,203,24,0,3,30
546,251,4,2020-02-20 21:00:00,2020-02-20,2,23,1,2,24
544,227,3,2020-02-19 21:00:00,2020-02-19,1,22,1,1,17
543,210,2,2020-02-18 21:00:00,2020-02-18,2,21,0,0,19
541,191,2,2020-02-17 21:00:00,2020-02-17,4,20,0,0,23
537,168,2,2020-02-16 21:00:00,2020-02-16,5,19,0,0,13
532,155,2,2020-02-15 21:00:00,2020-02-15,9,18,0,0,29
523,126,2,2020-02-14 21:00:00,2020-02-14,14,17,0,0,22
509,104,2,2020-02-13 21:00:00,2020-02-13,12,16,0,0,13
497,91,2,2020-02-12 21:00:00,2020-02-12,10,15,1,0,13
487,78,1,2020-02-11 20:30:00,2020-02-11,21,14,0,0,12
466,66,1,2020-02-10 21:00:00,2020-02-10,22,13,0,0,9
444,57,1,2020-02-09 21:00:00,2020-02-09,28,12,1,0,15
416,42,0,2020-02-08 21:00:00,2020-02-08,30,11,0,0,6
386,36,0,2020-02-07 21:00:00,2020-02-07,39,10,0,0,12
347,24,0,2020-02-06 21:00:00,2020-02-06,40,9,0,0,9
307,15,0,2020-02-05 21:00:00,2020-02-05,32,8,0,0,6
275,9,0,2020-02-04 20:00:00,2020-02-04,16,7,0,0,3
259,6,0,2020-02-03 20:00:00,2020-02-03,29,6,0,0,1
230,5,0,2020-02-02 20:00:00,2020-02-02,46,5,0,0,3
184,2,0,2020-02-01 10:00:00,2020-02-01,6,4,0,0,0
178,2,0,2020-01-31 12:30:00,2020-01-31,33,3,0,0,1
145,1,0,2020-01-30 12:00:00,2020-01-30,24,2,0,0,1
121,0,0,2020-01-29 14:00:00,2020-01-29,34,1,0,0,0
87,0,0,2020-01-28 11:30:00,2020-01-28,24,0,0,0,0
63,0,0,2020-01-27 14:00:00,2020-01-27,24,0,0,0,0
39,0,0,2020-01-26 13:00:00,2020-01-26,18,0,0,0,0
21,0,0,2020-01-25 15:00:00,2020-01-25,12,0,0,0,0
9,0,0,2020-01-24 15:00:00,2020-01-24,3,0,0,0,0
6,0,0,2020-01-23 15:00:00,2020-01-23,4,0,0,0,0
2,0,0,2020-01-22 15:00:00,2020-01-22,1,0,0,0,0
1,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0,0,0
