Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed
134,133,0,2020-03-26 07:35:00,2020-03-26,0,48
134,133,0,2020-03-25 23:00:00,2020-03-25,0,47
134,133,0,2020-03-24 22:20:00,2020-03-24,1,46
133,133,0,2020-03-23 22:40:00,2020-03-23,0,45
133,133,0,2020-03-22 22:00:00,2020-03-22,0,44
133,133,0,2020-03-21 22:00:00,2020-03-21,0,43
133,133,0,2020-03-20 22:20:00,2020-03-20,0,42
133,133,0,2020-03-19 22:30:00,2020-03-19,0,41
133,133,0,2020-03-18 23:00:00,2020-03-18,0,40
133,133,0,2020-03-17 22:00:00,2020-03-17,0,39
133,133,0,2020-03-16 22:00:00,2020-03-16,0,38
133,133,0,2020-03-15 22:00:00,2020-03-15,0,37
133,133,0,2020-03-14 22:00:00,2020-03-14,0,36
133,133,0,2020-03-13 22:00:00,2020-03-13,0,35
133,132,0,2020-03-12 22:00:00,2020-03-12,0,34
133,131,0,2020-03-11 22:00:00,2020-03-11,0,33
133,128,0,2020-03-10 22:00:00,2020-03-10,0,32
133,126,0,2020-03-09 22:00:00,2020-03-09,0,31
133,126,0,2020-03-08 22:00:00,2020-03-08,0,30
133,126,0,2020-03-07 22:00:00,2020-03-07,0,29
133,126,0,2020-03-06 22:00:00,2020-03-06,0,28
133,124,0,2020-03-05 22:00:00,2020-03-05,0,27
133,124,0,2020-03-04 22:00:00,2020-03-04,0,26
133,120,0,2020-03-03 22:00:00,2020-03-03,0,25
133,116,0,2020-03-02 22:00:00,2020-03-02,0,24
133,115,0,2020-03-01 22:00:00,2020-03-01,0,23
133,113,0,2020-02-29 22:00:00,2020-02-29,0,22
133,109,0,2020-02-28 22:00:00,2020-02-28,0,21
133,104,0,2020-02-27 22:00:00,2020-02-27,0,20
133,102,0,2020-02-26 22:00:00,2020-02-26,0,19
133,96,0,2020-02-25 22:00:00,2020-02-25,1,18
132,89,0,2020-02-24 22:00:00,2020-02-24,0,17
132,85,0,2020-02-23 22:00:00,2020-02-23,0,16
132,79,0,2020-02-22 22:00:00,2020-02-22,0,15
132,76,0,2020-02-21 22:00:00,2020-02-21,1,14
131,73,0,2020-02-20 22:00:00,2020-02-20,0,13
131,62,0,2020-02-19 22:00:00,2020-02-19,1,12
130,53,0,2020-02-18 22:00:00,2020-02-18,1,11
129,50,0,2020-02-17 22:00:00,2020-02-17,1,10
128,48,0,2020-02-16 22:00:00,2020-02-16,1,9
127,42,0,2020-02-15 22:00:00,2020-02-15,1,8
126,38,0,2020-02-14 22:00:00,2020-02-14,0,7
126,33,0,2020-02-13 22:00:00,2020-02-13,2,6
124,33,0,2020-02-12 22:00:00,2020-02-12,2,5
122,28,0,2020-02-11 21:30:00,2020-02-11,3,4
119,25,0,2020-02-10 22:00:00,2020-02-10,4,3
115,22,0,2020-02-09 22:00:00,2020-02-09,11,2
104,20,0,2020-02-08 22:00:00,2020-02-08,8,1
96,12,0,2020-02-07 22:00:00,2020-02-07,6,0
90,8,0,2020-02-06 22:00:00,2020-02-06,9,0
81,6,0,2020-02-05 22:00:00,2020-02-05,7,0
74,2,0,2020-02-04 21:00:00,2020-02-04,8,0
66,2,0,2020-02-03 21:00:00,2020-02-03,10,0
56,1,0,2020-02-02 21:00:00,2020-02-02,9,0
47,1,0,2020-02-01 11:00:00,2020-02-01,8,0
39,1,0,2020-01-31 13:30:00,2020-01-31,4,0
35,1,0,2020-01-30 13:00:00,2020-01-30,8,0
27,0,0,2020-01-29 15:00:00,2020-01-29,7,0
20,0,0,2020-01-28 12:30:00,2020-01-28,7,0
13,0,0,2020-01-27 15:00:00,2020-01-27,4,0
9,0,0,2020-01-26 14:00:00,2020-01-26,3,0
6,0,0,2020-01-25 16:00:00,2020-01-25,5,0
1,0,0,2020-01-24 16:00:00,2020-01-24,0,0
1,0,0,2020-01-23 16:00:00,2020-01-23,0,0
1,0,0,2020-01-22 16:00:00,2020-01-22,1,0
0,0,0,2020-01-21 16:00:00,2020-01-21,0,0
