Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
1818,1362,67,2020-07-31 22:00:00,2020-07-31,15,94,0,97,7
1803,1355,67,2020-07-30 22:00:00,2020-07-30,17,93,1,96,19
1786,1336,66,2020-07-29 22:00:00,2020-07-29,3,92,0,95,19
1783,1317,66,2020-07-28 22:00:00,2020-07-28,0,91,0,94,4
1783,1313,66,2020-07-27 22:00:00,2020-07-27,15,90,0,93,16
1768,1297,66,2020-07-26 22:00:00,2020-07-26,3,89,0,92,0
1765,1297,66,2020-07-25 22:00:00,2020-07-25,13,88,0,91,5
1752,1292,66,2020-07-24 22:00:00,2020-07-24,21,87,0,90,4
1731,1288,66,2020-07-23 22:00:00,2020-07-23,4,86,0,89,15
1727,1273,66,2020-07-22 22:00:00,2020-07-22,16,85,0,88,12
1711,1261,66,2020-07-21 22:00:00,2020-07-21,0,84,1,87,24
1711,1237,65,2020-07-20 22:00:00,2020-07-20,10,83,0,86,0
1701,1237,65,2020-07-19 22:00:00,2020-07-19,13,82,0,85,18
1688,1219,65,2020-07-18 22:00:00,2020-07-18,10,81,1,84,6
1678,1213,64,2020-07-17 22:00:00,2020-07-17,10,80,0,83,13
1668,1200,64,2020-07-16 22:00:00,2020-07-16,17,79,0,82,10
1651,1190,64,2020-07-15 22:00:00,2020-07-15,9,78,1,81,15
1642,1175,63,2020-07-14 22:00:00,2020-07-14,7,77,0,80,21
1635,1154,63,2020-07-13 22:00:00,2020-07-13,17,76,0,79,13
1618,1141,63,2020-07-12 22:00:00,2020-07-12,5,75,0,78,8
1613,1133,63,2020-07-11 22:00:00,2020-07-11,15,74,0,77,10
1598,1123,63,2020-07-10 22:00:00,2020-07-10,14,73,0,76,1
1584,1122,63,2020-07-09 22:00:00,2020-07-09,12,72,0,75,34
1572,1088,63,2020-07-08 22:00:00,2020-07-08,25,71,1,74,2
1547,1086,62,2020-07-07 22:00:00,2020-07-07,5,70,0,73,24
1542,1062,62,2020-07-06 22:00:00,2020-07-06,9,69,0,72,11
1533,1051,62,2020-07-05 22:00:00,2020-07-05,9,68,0,71,9
1524,1042,62,2020-07-04 22:00:00,2020-07-04,6,67,2,70,35
1518,1007,60,2020-07-03 22:00:00,2020-07-03,20,66,0,69,8
1498,999,60,2020-07-02 22:00:00,2020-07-02,36,65,0,68,25
1462,974,60,2020-07-01 22:00:00,2020-07-01,12,64,0,67,13
1450,961,60,2020-06-30 22:00:00,2020-06-30,23,63,0,66,18
1427,943,60,2020-06-29 22:00:00,2020-06-29,17,62,1,65,6
1410,937,59,2020-06-28 22:00:00,2020-06-28,16,61,0,64,23
1394,914,59,2020-06-27 22:00:00,2020-06-27,40,60,3,63,45
1354,869,56,2020-06-26 22:00:00,2020-06-26,0,59,1,62,0
1354,869,55,2020-06-25 22:00:00,2020-06-25,7,58,0,61,16
1347,853,55,2020-06-24 22:00:00,2020-06-24,7,57,0,60,65
1340,788,55,2020-06-23 22:00:00,2020-06-23,13,56,0,59,0
1327,788,55,2020-06-22 22:00:00,2020-06-22,18,55,2,58,42
1309,746,53,2020-06-21 22:00:00,2020-06-21,11,54,0,57,14
1298,732,53,2020-06-20 22:00:00,2020-06-20,26,53,2,56,22
1272,710,51,2020-06-19 22:00:00,2020-06-19,23,52,0,55,3
1249,707,51,2020-06-18 22:00:00,2020-06-18,24,51,0,54,21
1225,686,51,2020-06-17 22:00:00,2020-06-17,49,50,0,53,3
1176,683,51,2020-06-16 22:00:00,2020-06-16,7,49,0,52,3
1169,680,51,2020-06-15 22:00:00,2020-06-15,37,48,0,51,10
1132,670,51,2020-06-14 22:00:00,2020-06-14,29,47,0,50,22
1103,648,51,2020-06-13 22:00:00,2020-06-13,18,46,1,49,6
1085,642,50,2020-06-12 22:00:00,2020-06-12,23,45,0,48,5
1062,637,50,2020-06-11 22:00:00,2020-06-11,37,44,0,47,16
1025,621,50,2020-06-10 22:00:00,2020-06-10,24,43,1,46,10
1001,611,49,2020-06-09 22:00:00,2020-06-09,32,42,1,45,3
969,608,48,2020-06-08 22:00:00,2020-06-08,23,41,0,44,8
946,600,48,2020-06-07 22:00:00,2020-06-07,17,40,1,43,20
929,580,47,2020-06-06 22:00:00,2020-06-06,15,39,0,42,89
914,491,47,2020-06-05 22:00:00,2020-06-05,5,38,0,41,0
909,491,47,2020-06-04 22:00:00,2020-06-04,13,37,1,40,11
896,480,46,2020-06-03 22:00:00,2020-06-03,31,36,0,39,5
865,475,46,2020-06-02 22:00:00,2020-06-02,4,35,0,38,21
861,454,46,2020-06-01 22:00:00,2020-06-01,9,34,0,37,39
852,415,46,2020-05-31 22:00:00,2020-05-31,23,33,1,36,29
829,386,45,2020-05-30 22:00:00,2020-05-30,17,32,0,35,25
812,361,45,2020-05-29 22:00:00,2020-05-29,30,31,0,34,64
782,297,45,2020-05-28 22:00:00,2020-05-28,28,30,1,33,0
754,297,44,2020-05-27 22:00:00,2020-05-27,19,29,2,32,4
735,293,42,2020-05-26 22:00:00,2020-05-26,28,28,2,31,52
707,241,40,2020-05-25 22:00:00,2020-05-25,86,27,1,30,0
621,241,39,2020-05-24 22:00:00,2020-05-24,15,26,1,29,11
606,230,38,2020-05-23 22:00:00,2020-05-23,21,25,3,28,25
585,205,35,2020-05-22 22:00:00,2020-05-22,15,24,1,27,0
570,205,34,2020-05-21 22:00:00,2020-05-21,36,23,1,26,38
534,167,33,2020-05-20 22:00:00,2020-05-20,15,22,0,25,19
