Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
8014,768,11,2020-04-20 22:00:00,2020-04-20,1426,51,0,23,28
6588,740,11,2020-04-19 22:00:00,2020-04-19,596,50,0,22,32
5992,708,11,2020-04-18 22:00:00,2020-04-18,942,49,1,21,25
5050,683,10,2020-04-17 22:00:00,2020-04-17,1351,48,0,20,31
3699,652,10,2020-04-16 22:00:00,2020-04-16,447,47,0,19,41
3252,611,10,2020-04-15 22:00:00,2020-04-15,334,46,1,18,25
2918,586,9,2020-04-14 22:00:00,2020-04-14,386,45,1,17,26
2532,560,8,2020-04-13 22:00:00,2020-04-13,233,44,0,16,32
2299,528,8,2020-04-12 22:00:00,2020-04-12,191,43,1,15,36
2108,492,7,2020-04-11 22:00:00,2020-04-11,198,42,1,14,32
1910,460,6,2020-04-10 22:00:00,2020-04-10,287,41,0,13,54
1623,406,6,2020-04-09 22:00:00,2020-04-09,142,40,0,12,29
1481,377,6,2020-04-08 22:00:00,2020-04-08,106,39,0,11,33
1375,344,6,2020-04-07 22:00:00,2020-04-07,66,38,0,10,24
1309,320,6,2020-04-06 22:00:00,2020-04-06,0,37,0,9,23
1309,297,6,2020-04-05 22:00:00,2020-04-05,195,36,0,8,15
1114,282,6,2020-04-04 21:00:00,2020-04-04,0,35,1,7,16
1114,266,5,2020-04-03 21:00:00,2020-04-03,114,34,1,6,21
1000,245,4,2020-04-02 21:00:00,2020-04-02,74,33,1,5,5
926,240,3,2020-04-01 21:00:00,2020-04-01,47,32,0,4,12
879,228,3,2020-03-31 21:00:00,2020-03-31,35,31,0,3,16
844,212,3,2020-03-30 21:00:00,2020-03-30,42,30,0,2,14
802,198,3,2020-03-29 21:00:00,2020-03-29,70,29,1,1,15
732,183,2,2020-03-28 21:00:00,2020-03-28,49,28,0,0,11
683,172,2,2020-03-27 21:10:00,2020-03-27,52,27,0,0,12
631,160,2,2020-03-26 22:20:00,2020-03-26,73,26,0,0,4
558,156,2,2020-03-25 23:20:00,2020-03-25,49,25,0,0,4
509,152,2,2020-03-24 21:20:00,2020-03-24,54,24,0,0,8
455,144,2,2020-03-23 21:40:00,2020-03-23,23,23,0,0,4
432,140,2,2020-03-22 21:00:00,2020-03-22,47,22,0,0,9
385,131,2,2020-03-21 21:00:00,2020-03-21,0,21,2,0,7
385,124,0,2020-03-20 21:20:00,2020-03-20,72,20,0,0,7
313,117,0,2020-03-19 21:30:00,2020-03-19,47,19,0,0,3
266,114,0,2020-03-18 22:00:00,2020-03-18,23,18,0,0,5
243,109,0,2020-03-17 21:00:00,2020-03-17,17,17,0,0,4
226,105,0,2020-03-16 21:00:00,2020-03-16,14,16,0,0,0
212,105,0,2020-03-15 21:00:00,2020-03-15,12,15,0,0,8
200,97,0,2020-03-14 21:00:00,2020-03-14,13,14,0,0,1
187,96,0,2020-03-13 21:00:00,2020-03-13,9,13,0,0,0
178,96,0,2020-03-12 21:00:00,2020-03-12,12,12,0,0,3
166,93,0,2020-03-11 21:00:00,2020-03-11,6,11,0,0,0
160,93,0,2020-03-10 21:00:00,2020-03-10,10,10,0,0,3
150,90,0,2020-03-09 21:00:00,2020-03-09,12,9,0,0,0
138,90,0,2020-03-08 21:00:00,2020-03-08,8,8,0,0,8
130,82,0,2020-03-07 21:00:00,2020-03-07,13,7,0,0,1
117,81,0,2020-03-06 21:00:00,2020-03-06,5,6,0,0,2
112,79,0,2020-03-05 21:00:00,2020-03-05,2,5,0,0,1
110,78,0,2020-03-04 21:00:00,2020-03-04,2,4,0,0,0
108,78,0,2020-03-03 21:00:00,2020-03-03,2,3,0,0,4
106,74,0,2020-03-02 21:00:00,2020-03-02,4,2,0,0,2
102,72,0,2020-03-01 21:00:00,2020-03-01,4,1,0,0,3
98,69,0,2020-02-29 21:00:00,2020-02-29,2,0,0,0,3
96,66,0,2020-02-28 21:00:00,2020-02-28,3,0,0,0,4
93,62,0,2020-02-27 21:00:00,2020-02-27,2,0,0,0,4
91,58,0,2020-02-26 21:00:00,2020-02-26,1,0,0,0,5
90,53,0,2020-02-25 21:00:00,2020-02-25,1,0,0,0,4
89,49,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
89,49,0,2020-02-23 21:00:00,2020-02-23,3,0,0,0,2
86,47,0,2020-02-22 21:00:00,2020-02-22,1,0,0,0,10
85,37,0,2020-02-21 21:00:00,2020-02-21,1,0,0,0,3
84,34,0,2020-02-20 21:00:00,2020-02-20,3,0,0,0,5
81,29,0,2020-02-19 21:00:00,2020-02-19,4,0,0,0,5
77,24,0,2020-02-18 21:00:00,2020-02-18,2,0,0,0,5
75,19,0,2020-02-17 21:00:00,2020-02-17,3,0,0,0,1
72,18,0,2020-02-16 21:00:00,2020-02-16,5,0,0,0,1
67,17,0,2020-02-15 21:00:00,2020-02-15,9,0,0,0,2
58,15,0,2020-02-14 21:00:00,2020-02-14,8,0,0,0,0
50,15,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0,6
50,9,0,2020-02-12 21:00:00,2020-02-12,5,0,0,0,2
45,7,0,2020-02-11 20:30:00,2020-02-11,2,0,0,0,1
43,6,0,2020-02-10 21:00:00,2020-02-10,3,0,0,0,4
40,2,0,2020-02-09 21:00:00,2020-02-09,7,0,0,0,0
33,2,0,2020-02-08 21:00:00,2020-02-08,3,0,0,0,1
30,1,0,2020-02-07 21:00:00,2020-02-07,2,0,0,0,0
28,1,0,2020-02-06 21:00:00,2020-02-06,4,0,0,0,0
24,1,0,2020-02-05 21:00:00,2020-02-05,6,0,0,0,1
18,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0,0,0
18,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0,0,0
18,0,0,2020-02-02 20:00:00,2020-02-02,2,0,0,0,0
16,0,0,2020-02-01 10:00:00,2020-02-01,6,0,0,0,0
10,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0,0,0
10,0,0,2020-01-30 12:00:00,2020-01-30,3,0,0,0,0
7,0,0,2020-01-29 14:00:00,2020-01-29,2,0,0,0,0
5,0,0,2020-01-28 11:30:00,2020-01-28,1,0,0,0,0
4,0,0,2020-01-27 14:00:00,2020-01-27,1,0,0,0,0
3,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0,0,0
3,0,0,2020-01-25 15:00:00,2020-01-25,2,0,0,0,0
1,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0,0,0
1,0,0,2020-01-23 15:00:00,2020-01-23,1,0,0,0,0
0,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0,0,0
0,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0,0,0
