Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
24264,12741,524,2020-05-27 22:00:00,2020-05-27,649,71,43,58,824
23615,11917,481,2020-05-26 22:00:00,2020-05-26,1032,70,52,57,817
22583,11100,429,2020-05-25 22:00:00,2020-05-25,1240,69,22,56,996
21343,10104,407,2020-05-24 22:00:00,2020-05-24,1218,68,10,55,0
20125,10104,397,2020-05-23 22:00:00,2020-05-23,988,67,28,54,1154
19137,8950,369,2020-05-22 22:00:00,2020-05-22,1134,66,30,53,0
18003,8950,339,2020-05-21 22:00:00,2020-05-21,803,65,27,52,990
17200,7960,312,2020-05-20 22:00:00,2020-05-20,767,64,26,51,662
16433,7298,286,2020-05-19 22:00:00,2020-05-19,918,63,22,50,292
15515,7006,264,2020-05-18 22:00:00,2020-05-18,1160,62,3,49,528
14355,6478,261,2020-05-17 22:00:00,2020-05-17,831,61,14,48,395
13524,6083,247,2020-05-16 22:00:00,2020-05-16,785,60,9,47,407
12739,5676,238,2020-05-15 22:00:00,2020-05-15,665,59,19,46,931
12074,4745,219,2020-05-14 22:00:00,2020-05-14,724,58,13,45,388
11350,4357,206,2020-05-13 22:00:00,2020-05-13,0,57,0,44,0
11350,4357,206,2020-05-12 22:00:00,2020-05-12,1335,56,12,43,184
10015,4173,194,2020-05-11 22:00:00,2020-05-11,595,55,8,42,190
9420,3983,186,2020-05-10 22:00:00,2020-05-10,525,54,8,41,830
8895,3153,178,2020-05-09 22:00:00,2020-05-09,663,53,17,40,0
8232,3153,161,2020-05-08 22:00:00,2020-05-08,424,52,8,39,0
7808,3153,153,2020-05-07 22:00:00,2020-05-07,236,51,5,38,407
7572,2746,148,2020-05-06 22:00:00,2020-05-06,352,50,10,37,0
7220,2746,138,2020-05-05 22:00:00,2020-05-05,437,49,7,36,197
6783,2549,131,2020-05-04 22:00:00,2020-05-04,447,48,8,35,0
6336,2549,123,2020-05-03 22:00:00,2020-05-03,385,47,7,34,167
5951,2382,116,2020-05-02 22:00:00,2020-05-02,304,46,13,33,309
5647,2073,103,2020-05-01 22:00:00,2020-05-01,297,45,0,32,0
5350,2073,103,2020-04-30 22:00:00,2020-04-30,354,44,10,31,0
4996,2073,93,2020-04-29 22:00:00,2020-04-29,203,43,3,30,600
4793,1473,90,2020-04-28 22:00:00,2020-04-28,247,42,3,29,0
4546,1473,87,2020-04-27 22:00:00,2020-04-27,185,41,1,28,0
4361,1473,86,2020-04-26 22:00:00,2020-04-26,141,40,7,27,0
4220,1473,79,2020-04-25 22:00:00,2020-04-25,267,39,4,26,0
3953,1473,75,2020-04-24 22:00:00,2020-04-24,318,38,10,25,418
3635,1055,65,2020-04-23 22:00:00,2020-04-23,170,37,7,24,0
3465,1055,58,2020-04-22 22:00:00,2020-04-22,165,36,0,23,0
3300,1055,58,2020-04-21 22:00:00,2020-04-21,142,35,4,22,152
3158,903,54,2020-04-20 22:00:00,2020-04-20,124,34,2,21,0
3034,903,52,2020-04-19 22:00:00,2020-04-19,251,33,2,20,0
2783,903,50,2020-04-18 22:00:00,2020-04-18,178,32,2,19,0
2605,903,48,2020-04-17 22:00:00,2020-04-17,99,31,14,18,493
2506,410,34,2020-04-16 22:00:00,2020-04-16,91,30,7,17,0
2415,410,27,2020-04-15 22:00:00,2020-04-15,143,29,0,16,0
2272,410,27,2020-04-14 22:00:00,2020-04-14,99,28,2,15,0
2173,410,25,2020-04-13 22:00:00,2020-04-13,145,27,0,14,0
2028,410,25,2020-04-12 22:00:00,2020-04-12,25,26,1,13,0
2003,410,24,2020-04-11 22:00:00,2020-04-11,69,25,6,12,315
1934,95,18,2020-04-10 22:00:00,2020-04-10,89,24,0,11,0
1845,95,18,2020-04-09 22:00:00,2020-04-09,96,23,5,10,0
1749,95,13,2020-04-08 22:00:00,2020-04-08,63,22,1,9,0
1686,95,12,2020-04-07 22:00:00,2020-04-07,31,21,1,8,0
1655,95,11,2020-04-06 22:00:00,2020-04-06,70,20,2,7,0
1585,95,9,2020-04-05 22:00:00,2020-04-05,80,19,0,6,0
1505,95,9,2020-04-04 21:00:00,2020-04-04,43,18,4,5,0
1462,95,5,2020-04-03 21:00:00,2020-04-03,82,17,0,4,45
1380,50,5,2020-04-02 21:00:00,2020-04-02,27,16,0,3,0
1353,50,5,2020-04-01 21:00:00,2020-04-01,27,15,2,2,19
1326,31,3,2020-03-31 21:00:00,2020-03-31,46,14,1,1,0
1280,31,2,2020-03-30 21:00:00,2020-03-30,93,13,1,0,0
1187,31,1,2020-03-29 21:00:00,2020-03-29,17,12,0,0,0
1170,31,1,2020-03-28 21:00:00,2020-03-28,243,11,-1,0,19
927,12,2,2020-03-27 21:10:00,2020-03-27,218,10,2,0,0
709,12,0,2020-03-26 22:20:00,2020-03-26,0,9,0,0,0
709,12,0,2020-03-25 23:20:00,2020-03-25,155,8,0,0,8
554,4,0,2020-03-24 21:20:00,2020-03-24,280,7,0,0,2
274,2,0,2020-03-23 21:40:00,2020-03-23,34,6,0,0,0
240,2,0,2020-03-22 21:00:00,2020-03-22,0,5,0,0,1
240,1,0,2020-03-21 21:00:00,2020-03-21,38,4,0,0,1
202,0,0,2020-03-20 21:20:00,2020-03-20,86,3,0,0,0
116,0,0,2020-03-19 21:30:00,2020-03-19,0,2,0,0,0
116,0,0,2020-03-18 22:00:00,2020-03-18,54,1,0,0,0
62,0,0,2020-03-17 21:00:00,2020-03-17,1,0,0,0,0
61,0,0,2020-03-16 21:00:00,2020-03-16,10,0,0,0,0
51,0,0,2020-03-15 21:00:00,2020-03-15,27,0,0,0,0
24,0,0,2020-03-14 21:00:00,2020-03-14,8,0,0,0,0
16,0,0,2020-03-13 21:00:00,2020-03-13,-1,0,0,0,0
17,0,0,2020-03-12 21:00:00,2020-03-12,4,0,0,0,0
13,0,0,2020-03-11 21:00:00,2020-03-11,6,0,0,0,0
7,0,0,2020-03-10 21:00:00,2020-03-10,4,0,0,0,0
3,0,0,2020-03-09 21:00:00,2020-03-09,0,0,0,0,0
3,0,0,2020-03-08 21:00:00,2020-03-08,2,0,0,0,0
1,0,0,2020-03-07 21:00:00,2020-03-07,0,0,0,0,0
1,0,0,2020-03-06 21:00:00,2020-03-06,1,0,0,0,0
0,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0,0,0
0,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
0,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
0,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
0,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
0,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
0,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
0,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
0,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
0,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
0,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
0,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
0,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
0,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0,0,0
0,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0,0
0,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0,0
0,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0,0
0,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0,0,0
0,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0,0,0
0,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0,0,0
0,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0,0,0
0,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0,0,0
0,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0,0,0
0,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0,0,0
0,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0,0,0
0,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0,0,0
0,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0,0,0
0,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0,0,0
0,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0,0,0
0,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0,0,0
0,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0,0,0
0,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0,0,0
0,0,0,2020-01-23 15:00:00,2020-01-23,0,0,0,0,0
0,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0,0,0
0,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0,0,0
