Confirmed,DayElapsed_death,Deaths,New,New_death,New_recover,Recovered,Date_last_updated_AEDT,date_day,DayElapsed
200633,51,10259,9820,751,5153,69119,2020-05-03 22:00:00,2020-05-03,54
190813,50,9508,12055,697,3801,63966,2020-05-02 22:00:00,2020-05-02,53
178758,49,8811,12226,661,2816,60165,2020-05-01 22:00:00,2020-05-01,52
166532,48,8150,10877,560,3006,57349,2020-04-30 22:00:00,2020-04-30,51
155655,47,7590,10380,797,2648,54343,2020-04-29 22:00:00,2020-04-29,50
145275,46,6793,6958,484,1988,51695,2020-04-28 22:00:00,2020-04-28,49
138317,45,6309,6880,288,1742,49707,2020-04-27 22:00:00,2020-04-27,48
131437,44,6021,10053,448,2351,47965,2020-04-26 22:00:00,2020-04-26,47
121384,43,5573,17197,466,1898,45614,2020-04-25 22:00:00,2020-04-25,46
104187,42,5107,6809,501,2270,43716,2020-04-24 22:00:00,2020-04-24,45
97378,41,4606,5751,270,1631,41446,2020-04-23 22:00:00,2020-04-23,44
91627,40,4336,4974,254,1856,39815,2020-04-22 22:00:00,2020-04-22,43
86653,39,4082,3793,210,1618,37959,2020-04-21 22:00:00,2020-04-21,42
82860,38,3872,4595,207,8641,36341,2020-04-20 22:00:00,2020-04-20,41
78265,37,3665,4988,311,820,27700,2020-04-19 22:00:00,2020-04-19,40
73277,36,3354,5359,290,886,26880,2020-04-18 22:00:00,2020-04-18,39
67918,35,3064,4096,263,3602,25994,2020-04-17 22:00:00,2020-04-17,38
63822,34,2801,5360,261,775,22392,2020-04-16 22:00:00,2020-04-16,37
58462,33,2540,3381,263,11746,21617,2020-04-15 22:00:00,2020-04-15,36
55081,32,2277,4241,180,4190,9871,2020-04-14 22:00:00,2020-04-14,35
50840,31,2097,2683,145,435,5681,2020-04-13 22:00:00,2020-04-13,34
48157,30,1952,2946,137,619,5246,2020-04-12 22:00:00,2020-04-12,33
45211,29,1815,5496,195,498,4627,2020-04-11 22:00:00,2020-04-11,32
39715,28,1620,4091,220,554,4129,2020-04-10 22:00:00,2020-04-10,31
35624,27,1400,4902,189,394,3575,2020-04-09 22:00:00,2020-04-09,30
30722,26,1211,3104,188,569,3181,2020-04-08 22:00:00,2020-04-08,29
27618,25,1023,1887,124,213,2612,2020-04-07 22:00:00,2020-04-07,28
25731,24,899,2188,77,185,2399,2020-04-06 22:00:00,2020-04-06,27
23543,23,822,2101,133,564,2214,2020-04-05 22:00:00,2020-04-05,26
21442,22,689,2111,88,144,1650,2020-04-04 21:00:00,2020-04-04,25
19331,21,601,2277,127,283,1506,2020-04-03 21:00:00,2020-04-03,24
17054,20,474,2400,92,118,1223,2020-04-02 21:00:00,2020-04-02,23
14654,19,382,2142,71,401,1105,2020-04-01 21:00:00,2020-04-01,22
12512,18,311,1142,53,457,704,2020-03-31 21:00:00,2020-03-31,21
11370,17,258,1076,42,33,247,2020-03-30 21:00:00,2020-03-30,20
10294,16,216,1128,37,26,214,2020-03-29 21:00:00,2020-03-29,19
9166,15,179,1280,32,41,188,2020-03-28 21:00:00,2020-03-28,18
7886,14,147,1049,30,34,147,2020-03-27 21:10:00,2020-03-27,17
6837,13,117,972,21,11,113,2020-03-26 22:20:00,2020-03-26,16
5865,12,96,803,27,7,102,2020-03-25 23:20:00,2020-03-25,15
5062,11,69,814,16,36,95,2020-03-24 21:20:00,2020-03-24,14
4248,10,53,946,15,0,59,2020-03-23 21:40:00,2020-03-23,13
3302,9,38,625,11,42,59,2020-03-22 21:00:00,2020-03-22,12
2677,8,27,737,9,9,17,2020-03-21 21:00:00,2020-03-21,11
1940,7,18,487,7,0,8,2020-03-20 21:20:00,2020-03-20,10
1453,6,11,386,4,1,8,2020-03-19 21:30:00,2020-03-19,9
1067,5,7,307,2,0,7,2020-03-18 22:00:00,2020-03-18,8
760,4,5,211,0,2,7,2020-03-17 21:00:00,2020-03-17,7
549,3,5,152,0,4,5,2020-03-16 21:00:00,2020-03-16,6
397,2,5,56,1,0,1,2020-03-15 21:00:00,2020-03-15,5
341,1,4,131,2,1,1,2020-03-14 21:00:00,2020-03-14,4
210,0,2,56,0,0,0,2020-03-13 21:00:00,2020-03-13,3
154,0,2,41,1,0,0,2020-03-12 21:00:00,2020-03-12,2
113,0,1,25,0,0,0,2020-03-11 21:00:00,2020-03-11,1
88,0,1,12,0,0,0,2020-03-10 21:00:00,2020-03-10,0
76,0,1,14,0,0,0,2020-03-09 21:00:00,2020-03-09,0
62,0,1,19,1,0,0,2020-03-08 21:00:00,2020-03-08,0
43,0,0,16,0,0,0,2020-03-07 21:00:00,2020-03-07,0
27,0,0,10,0,0,0,2020-03-06 21:00:00,2020-03-06,0
17,0,0,6,0,0,0,2020-03-05 21:00:00,2020-03-05,0
11,0,0,2,0,0,0,2020-03-04 21:00:00,2020-03-04,0
9,0,0,1,0,0,0,2020-03-03 21:00:00,2020-03-03,0
8,0,0,5,0,0,0,2020-03-02 21:00:00,2020-03-02,0
3,0,0,2,0,0,0,2020-03-01 21:00:00,2020-03-01,0
1,0,0,0,0,0,0,2020-02-29 21:00:00,2020-02-29,0
1,0,0,0,0,0,0,2020-02-28 21:00:00,2020-02-28,0
1,0,0,0,0,0,0,2020-02-27 21:00:00,2020-02-27,0
1,0,0,1,0,0,0,2020-02-26 21:00:00,2020-02-26,0
0,0,0,0,0,0,0,2020-02-25 21:00:00,2020-02-25,0
0,0,0,0,0,0,0,2020-02-24 21:00:00,2020-02-24,0
0,0,0,0,0,0,0,2020-02-23 21:00:00,2020-02-23,0
0,0,0,0,0,0,0,2020-02-22 21:00:00,2020-02-22,0
0,0,0,0,0,0,0,2020-02-21 21:00:00,2020-02-21,0
0,0,0,0,0,0,0,2020-02-20 21:00:00,2020-02-20,0
0,0,0,0,0,0,0,2020-02-19 21:00:00,2020-02-19,0
0,0,0,0,0,0,0,2020-02-18 21:00:00,2020-02-18,0
0,0,0,0,0,0,0,2020-02-17 21:00:00,2020-02-17,0
0,0,0,0,0,0,0,2020-02-16 21:00:00,2020-02-16,0
0,0,0,0,0,0,0,2020-02-15 21:00:00,2020-02-15,0
0,0,0,0,0,0,0,2020-02-14 21:00:00,2020-02-14,0
0,0,0,0,0,0,0,2020-02-13 21:00:00,2020-02-13,0
0,0,0,0,0,0,0,2020-02-12 21:00:00,2020-02-12,0
0,0,0,0,0,0,0,2020-02-11 20:30:00,2020-02-11,0
0,0,0,0,0,0,0,2020-02-10 21:00:00,2020-02-10,0
0,0,0,0,0,0,0,2020-02-09 21:00:00,2020-02-09,0
0,0,0,0,0,0,0,2020-02-08 21:00:00,2020-02-08,0
0,0,0,0,0,0,0,2020-02-07 21:00:00,2020-02-07,0
0,0,0,0,0,0,0,2020-02-06 21:00:00,2020-02-06,0
0,0,0,0,0,0,0,2020-02-05 21:00:00,2020-02-05,0
0,0,0,0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,0,0,0,2020-02-02 20:00:00,2020-02-02,0
0,0,0,0,0,0,0,2020-02-01 10:00:00,2020-02-01,0
0,0,0,0,0,0,0,2020-01-31 12:30:00,2020-01-31,0
0,0,0,0,0,0,0,2020-01-30 12:00:00,2020-01-30,0
0,0,0,0,0,0,0,2020-01-29 14:00:00,2020-01-29,0
0,0,0,0,0,0,0,2020-01-28 11:30:00,2020-01-28,0
0,0,0,0,0,0,0,2020-01-27 14:00:00,2020-01-27,0
0,0,0,0,0,0,0,2020-01-26 13:00:00,2020-01-26,0
0,0,0,0,0,0,0,2020-01-25 15:00:00,2020-01-25,0
0,0,0,0,0,0,0,2020-01-24 15:00:00,2020-01-24,0
0,0,0,0,0,0,0,2020-01-23 15:00:00,2020-01-23,0
0,0,0,0,0,0,0,2020-01-22 15:00:00,2020-01-22,0
0,0,0,0,0,0,0,2020-01-21 15:00:00,2020-01-21,0
