Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
4993,3837,62,2020-06-01 22:00:00,2020-06-01,33,63,0,56,32
4960,3805,62,2020-05-31 22:00:00,2020-05-31,94,62,3,55,61
4866,3744,59,2020-05-30 22:00:00,2020-05-30,73,61,5,54,46
4793,3698,54,2020-05-29 22:00:00,2020-05-29,83,60,0,53,79
4710,3619,54,2020-05-28 22:00:00,2020-05-28,57,59,4,52,91
4653,3528,50,2020-05-27 22:00:00,2020-05-27,67,58,0,51,113
4586,3415,50,2020-05-26 22:00:00,2020-05-26,23,57,0,50,44
4563,3371,50,2020-05-25 22:00:00,2020-05-25,99,56,0,49,37
4464,3334,50,2020-05-24 22:00:00,2020-05-24,108,55,0,48,67
4356,3267,50,2020-05-23 22:00:00,2020-05-23,179,54,2,47,244
4177,3023,48,2020-05-22 22:00:00,2020-05-22,0,53,2,46,0
4177,3023,46,2020-05-21 22:00:00,2020-05-21,92,52,0,45,109
4085,2914,46,2020-05-20 22:00:00,2020-05-20,58,51,2,44,130
4027,2784,44,2020-05-19 22:00:00,2020-05-19,40,50,0,43,60
3987,2724,44,2020-05-18 22:00:00,2020-05-18,28,49,0,42,51
3959,2673,44,2020-05-17 22:00:00,2020-05-17,72,48,0,41,99
3887,2574,44,2020-05-16 22:00:00,2020-05-16,95,47,1,40,137
3792,2437,43,2020-05-15 22:00:00,2020-05-15,60,46,4,39,70
3732,2367,39,2020-05-14 22:00:00,2020-05-14,69,45,0,38,58
3663,2309,39,2020-05-13 22:00:00,2020-05-13,49,44,5,37,122
3614,2187,34,2020-05-12 22:00:00,2020-05-12,97,43,0,36,40
3517,2147,34,2020-05-11 22:00:00,2020-05-11,124,42,0,35,22
3393,2125,34,2020-05-10 22:00:00,2020-05-10,248,41,3,34,56
3145,2069,31,2020-05-09 22:00:00,2020-05-09,239,40,0,33,41
2906,2028,31,2020-05-08 22:00:00,2020-05-08,126,39,2,32,51
2780,1977,29,2020-05-07 22:00:00,2020-05-07,59,38,5,31,82
2721,1895,24,2020-05-06 22:00:00,2020-05-06,53,37,3,30,65
2668,1830,21,2020-05-05 22:00:00,2020-05-05,37,36,0,29,31
2631,1799,21,2020-05-04 22:00:00,2020-05-04,43,35,0,28,39
2588,1760,21,2020-05-03 22:00:00,2020-05-03,63,34,0,27,73
2525,1687,21,2020-05-02 22:00:00,2020-05-02,76,33,4,26,113
2449,1574,17,2020-05-01 22:00:00,2020-05-01,76,32,4,25,81
2373,1493,13,2020-04-30 22:00:00,2020-04-30,60,31,2,24,101
2313,1392,11,2020-04-29 22:00:00,2020-04-29,68,30,0,23,76
2245,1316,11,2020-04-28 22:00:00,2020-04-28,33,29,0,22,59
2212,1257,11,2020-04-27 22:00:00,2020-04-27,65,28,1,21,34
2147,1223,10,2020-04-26 22:00:00,2020-04-26,107,27,0,20,33
2040,1190,10,2020-04-25 22:00:00,2020-04-25,84,26,1,19,126
1956,1064,9,2020-04-24 22:00:00,2020-04-24,98,25,0,18,127
1858,937,9,2020-04-23 22:00:00,2020-04-23,103,24,1,17,113
1755,824,8,2020-04-22 22:00:00,2020-04-22,70,23,1,16,115
1685,709,7,2020-04-21 22:00:00,2020-04-21,50,22,0,15,63
1635,646,7,2020-04-20 22:00:00,2020-04-20,93,21,0,14,94
1542,552,7,2020-04-19 22:00:00,2020-04-19,131,20,0,13,95
1411,457,7,2020-04-18 22:00:00,2020-04-18,100,19,0,12,84
1311,373,7,2020-04-17 22:00:00,2020-04-17,143,18,1,11,44
1168,329,6,2020-04-16 22:00:00,2020-04-16,180,17,0,10,68
988,261,6,2020-04-15 22:00:00,2020-04-15,120,16,0,9,54
868,207,6,2020-04-14 22:00:00,2020-04-14,138,15,0,8,11
730,196,6,2020-04-13 22:00:00,2020-04-13,104,14,0,7,7
626,189,6,2020-04-12 22:00:00,2020-04-12,90,13,0,6,12
536,177,6,2020-04-11 22:00:00,2020-04-11,89,12,0,5,16
447,161,6,2020-04-10 22:00:00,2020-04-10,54,11,0,4,15
393,146,6,2020-04-09 22:00:00,2020-04-09,73,10,0,3,48
320,98,6,2020-04-08 22:00:00,2020-04-08,32,9,2,2,7
288,91,4,2020-04-07 22:00:00,2020-04-07,48,8,2,1,7
240,84,2,2020-04-06 22:00:00,2020-04-06,28,7,0,0,8
212,76,2,2020-04-05 22:00:00,2020-04-05,25,6,0,0,7
187,69,2,2020-04-04 21:00:00,2020-04-04,22,5,0,0,12
165,57,2,2020-04-03 21:00:00,2020-04-03,36,4,0,0,6
129,51,2,2020-04-02 21:00:00,2020-04-02,21,3,1,0,51
108,0,1,2020-04-01 21:00:00,2020-04-01,7,2,0,0,0
101,0,1,2020-03-31 21:00:00,2020-03-31,11,1,0,0,0
90,0,1,2020-03-30 21:00:00,2020-03-30,22,0,0,0,0
68,0,1,2020-03-29 21:00:00,2020-03-29,10,0,0,0,0
58,0,1,2020-03-28 21:00:00,2020-03-28,12,0,0,0,0
46,0,1,2020-03-27 21:10:00,2020-03-27,5,0,0,0,0
41,0,1,2020-03-26 22:20:00,2020-03-26,11,0,0,0,0
30,0,1,2020-03-25 23:20:00,2020-03-25,2,0,0,0,0
28,0,1,2020-03-24 21:20:00,2020-03-24,7,0,0,0,0
21,0,1,2020-03-23 21:40:00,2020-03-23,7,0,0,0,0
14,0,1,2020-03-22 21:00:00,2020-03-22,0,0,0,0,0
14,0,1,2020-03-21 21:00:00,2020-03-21,0,0,0,0,0
14,0,1,2020-03-20 21:20:00,2020-03-20,3,0,0,0,0
11,0,1,2020-03-19 21:30:00,2020-03-19,0,0,0,0,0
11,0,1,2020-03-18 22:00:00,2020-03-18,1,0,0,0,0
10,0,1,2020-03-17 21:00:00,2020-03-17,1,0,0,0,0
9,0,1,2020-03-16 21:00:00,2020-03-16,0,0,0,0,0
9,0,1,2020-03-15 21:00:00,2020-03-15,0,0,0,0,0
9,0,1,2020-03-14 21:00:00,2020-03-14,1,0,0,0,0
8,0,1,2020-03-13 21:00:00,2020-03-13,0,0,0,0,0
8,0,1,2020-03-12 21:00:00,2020-03-12,3,0,0,0,0
5,0,1,2020-03-11 21:00:00,2020-03-11,5,0,1,0,0
0,0,0,2020-03-10 21:00:00,2020-03-10,0,0,0,0,0
0,0,0,2020-03-09 21:00:00,2020-03-09,0,0,0,0,0
0,0,0,2020-03-08 21:00:00,2020-03-08,0,0,0,0,0
0,0,0,2020-03-07 21:00:00,2020-03-07,0,0,0,0,0
0,0,0,2020-03-06 21:00:00,2020-03-06,0,0,0,0,0
0,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0,0,0
0,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
0,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
0,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
0,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
0,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
0,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
0,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
0,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
0,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
0,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
0,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
0,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
0,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0,0,0
0,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0,0
0,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0,0
0,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0,0
0,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0,0,0
0,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0,0,0
0,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0,0,0
0,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0,0,0
0,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0,0,0
0,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0,0,0
0,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0,0,0
0,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0,0,0
0,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0,0,0
0,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0,0,0
0,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0,0,0
0,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0,0,0
0,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0,0,0
0,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0,0,0
0,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0,0,0
0,0,0,2020-01-23 15:00:00,2020-01-23,0,0,0,0,0
0,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0,0,0
0,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0,0,0
