Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed
9661,5228,158,2020-03-31 10:00:00,2020-03-31,0,42
9661,5228,158,2020-04-01 00:49:00,2020-04-01,0,41
9661,5228,158,2020-03-30 22:00:00,2020-03-30,78,40
9583,5033,152,2020-03-29 22:00:00,2020-03-29,105,39
9478,4811,144,2020-03-28 22:00:00,2020-03-28,146,38
9332,4528,139,2020-03-27 22:10:00,2020-03-27,91,37
9241,4144,131,2020-03-26 23:20:00,2020-03-26,104,36
9137,3730,126,2020-03-25 23:00:00,2020-03-25,100,35
9037,3507,120,2020-03-24 22:20:00,2020-03-24,76,34
8961,3166,111,2020-03-23 22:40:00,2020-03-23,64,33
8897,2909,104,2020-03-22 22:00:00,2020-03-22,98,32
8799,2612,102,2020-03-21 22:00:00,2020-03-21,147,31
8652,2233,94,2020-03-20 22:20:00,2020-03-20,87,30
8565,1947,91,2020-03-19 22:30:00,2020-03-19,152,29
8413,1540,84,2020-03-18 23:00:00,2020-03-18,93,28
8320,1401,81,2020-03-17 22:00:00,2020-03-17,84,27
8236,1137,75,2020-03-16 22:00:00,2020-03-16,74,26
8162,834,75,2020-03-15 22:00:00,2020-03-15,76,25
8086,714,72,2020-03-14 22:00:00,2020-03-14,107,24
7979,510,71,2020-03-13 22:00:00,2020-03-13,110,23
7869,333,66,2020-03-12 22:00:00,2020-03-12,114,22
7755,288,61,2020-03-11 22:00:00,2020-03-11,242,21
7513,247,54,2020-03-10 22:00:00,2020-03-10,35,20
7478,166,53,2020-03-09 22:00:00,2020-03-09,165,19
7313,130,50,2020-03-08 22:00:00,2020-03-08,272,18
7041,118,48,2020-03-07 22:00:00,2020-03-07,448,17
6593,135,42,2020-03-06 22:00:00,2020-03-06,827,16
5766,88,35,2020-03-05 22:00:00,2020-03-05,145,15
5621,41,33,2020-03-04 22:00:00,2020-03-04,435,14
5186,34,28,2020-03-03 22:00:00,2020-03-03,851,13
4335,30,26,2020-03-02 22:00:00,2020-03-02,809,12
3526,30,17,2020-03-01 22:00:00,2020-03-01,376,11
3150,24,17,2020-02-29 22:00:00,2020-02-29,813,10
2337,24,13,2020-02-28 22:00:00,2020-02-28,571,9
1766,24,13,2020-02-27 22:00:00,2020-02-27,505,8
1261,24,12,2020-02-26 22:00:00,2020-02-26,284,7
977,22,11,2020-02-25 22:00:00,2020-02-25,144,6
833,22,8,2020-02-24 22:00:00,2020-02-24,231,5
602,18,5,2020-02-23 22:00:00,2020-02-23,169,4
433,18,2,2020-02-22 22:00:00,2020-02-22,229,3
204,17,1,2020-02-21 22:00:00,2020-02-21,100,2
104,16,1,2020-02-20 22:00:00,2020-02-20,53,1
51,16,0,2020-02-19 22:00:00,2020-02-19,20,0
31,12,0,2020-02-18 22:00:00,2020-02-18,1,0
30,10,0,2020-02-17 22:00:00,2020-02-17,1,0
29,9,0,2020-02-16 22:00:00,2020-02-16,1,0
28,9,0,2020-02-15 22:00:00,2020-02-15,0,0
28,7,0,2020-02-14 22:00:00,2020-02-14,0,0
28,7,0,2020-02-13 22:00:00,2020-02-13,0,0
28,4,0,2020-02-12 22:00:00,2020-02-12,0,0
28,3,0,2020-02-11 21:30:00,2020-02-11,1,0
27,3,0,2020-02-10 22:00:00,2020-02-10,0,0
27,3,0,2020-02-09 22:00:00,2020-02-09,3,0
24,2,0,2020-02-08 22:00:00,2020-02-08,0,0
24,1,0,2020-02-07 22:00:00,2020-02-07,1,0
23,1,0,2020-02-06 22:00:00,2020-02-06,5,0
18,1,0,2020-02-05 22:00:00,2020-02-05,3,0
15,0,0,2020-02-04 21:00:00,2020-02-04,0,0
15,0,0,2020-02-03 21:00:00,2020-02-03,0,0
15,0,0,2020-02-02 21:00:00,2020-02-02,4,0
11,0,0,2020-02-01 11:00:00,2020-02-01,5,0
6,0,0,2020-01-31 13:30:00,2020-01-31,2,0
4,0,0,2020-01-30 13:00:00,2020-01-30,0,0
4,0,0,2020-01-29 15:00:00,2020-01-29,0,0
4,0,0,2020-01-28 12:30:00,2020-01-28,1,0
3,0,0,2020-01-27 15:00:00,2020-01-27,0,0
3,0,0,2020-01-26 14:00:00,2020-01-26,1,0
2,0,0,2020-01-25 16:00:00,2020-01-25,1,0
1,0,0,2020-01-24 16:00:00,2020-01-24,0,0
1,0,0,2020-01-23 16:00:00,2020-01-23,0,0
1,0,0,2020-01-22 16:00:00,2020-01-22,0,0
1,0,0,2020-01-21 16:00:00,2020-01-21,0,0
