Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
244,77,7,2020-04-18 07:30:00,2020-04-18,6,26,0,17,7
238,70,7,2020-04-17 22:00:00,2020-04-17,0,25,0,16,5
238,65,7,2020-04-16 22:00:00,2020-04-16,5,24,0,15,2
233,63,7,2020-04-15 22:00:00,2020-04-15,14,23,0,14,4
219,59,7,2020-04-14 22:00:00,2020-04-14,5,22,0,13,3
214,56,7,2020-04-13 22:00:00,2020-04-13,11,21,0,12,1
203,55,7,2020-04-12 22:00:00,2020-04-12,6,20,0,11,1
197,54,7,2020-04-11 22:00:00,2020-04-11,7,19,0,10,4
190,50,7,2020-04-10 22:00:00,2020-04-10,1,18,0,9,3
189,47,7,2020-04-09 22:00:00,2020-04-09,1,17,1,8,5
188,42,6,2020-04-08 22:00:00,2020-04-08,5,16,0,7,0
183,42,6,2020-04-07 22:00:00,2020-04-07,7,15,1,6,8
176,34,5,2020-04-06 22:00:00,2020-04-06,6,14,0,5,5
170,29,5,2020-04-05 22:00:00,2020-04-05,11,13,0,4,4
159,25,5,2020-04-04 21:00:00,2020-04-04,8,12,1,3,3
151,22,4,2020-04-03 21:00:00,2020-04-03,3,11,1,2,1
148,21,3,2020-04-02 21:00:00,2020-04-02,5,10,1,1,3
143,18,2,2020-04-01 21:00:00,2020-04-01,14,9,0,0,2
129,16,2,2020-03-31 21:00:00,2020-03-31,7,8,1,0,1
122,15,1,2020-03-30 21:00:00,2020-03-30,7,7,0,0,5
115,10,1,2020-03-29 21:00:00,2020-03-29,6,6,1,0,1
109,9,0,2020-03-28 21:00:00,2020-03-28,3,5,0,0,2
106,7,0,2020-03-27 21:10:00,2020-03-27,4,4,0,0,0
102,7,0,2020-03-26 22:20:00,2020-03-26,0,3,0,0,4
102,3,0,2020-03-25 23:20:00,2020-03-25,2,2,0,0,1
100,2,0,2020-03-24 21:20:00,2020-03-24,13,1,0,0,-1
87,3,0,2020-03-23 21:40:00,2020-03-23,10,0,0,0,0
77,3,0,2020-03-22 21:00:00,2020-03-22,4,0,0,0,0
73,3,0,2020-03-21 21:00:00,2020-03-21,7,0,0,0,0
66,3,0,2020-03-20 21:20:00,2020-03-20,10,0,0,0,0
56,3,0,2020-03-19 21:30:00,2020-03-19,6,0,0,0,0
50,3,0,2020-03-18 22:00:00,2020-03-18,21,0,0,0,1
29,2,0,2020-03-17 21:00:00,2020-03-17,8,0,0,0,1
21,1,0,2020-03-16 21:00:00,2020-03-16,10,0,0,0,0
11,1,0,2020-03-15 21:00:00,2020-03-15,3,0,0,0,0
8,1,0,2020-03-14 21:00:00,2020-03-14,5,0,0,0,0
3,1,0,2020-03-13 21:00:00,2020-03-13,1,0,0,0,0
2,1,0,2020-03-12 21:00:00,2020-03-12,0,0,0,0,0
2,1,0,2020-03-11 21:00:00,2020-03-11,1,0,0,0,0
1,1,0,2020-03-10 21:00:00,2020-03-10,0,0,0,0,0
1,1,0,2020-03-09 21:00:00,2020-03-09,0,0,0,0,0
1,1,0,2020-03-08 21:00:00,2020-03-08,0,0,0,0,0
1,1,0,2020-03-07 21:00:00,2020-03-07,0,0,0,0,0
