Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
1661,173,80,2020-05-13 22:00:00,2020-05-13,135,23,6,30,12
1526,161,74,2020-05-12 22:00:00,2020-05-12,161,22,4,29,12
1365,149,70,2020-05-11 22:00:00,2020-05-11,201,21,6,28,30
1164,119,64,2020-05-10 22:00:00,2020-05-10,53,20,5,27,17
1111,102,59,2020-05-09 22:00:00,2020-05-09,181,19,7,26,10
930,92,52,2020-05-08 22:00:00,2020-05-08,78,18,3,25,12
852,80,49,2020-05-07 22:00:00,2020-05-07,74,17,4,24,10
778,70,45,2020-05-06 22:00:00,2020-05-06,100,16,4,23,9
678,61,41,2020-05-05 22:00:00,2020-05-05,0,15,0,22,0
678,61,41,2020-05-04 22:00:00,2020-05-04,86,14,0,21,9
592,52,41,2020-05-03 22:00:00,2020-05-03,59,13,5,20,6
533,46,36,2020-05-02 22:00:00,2020-05-02,91,12,5,19,7
442,39,31,2020-05-01 22:00:00,2020-05-01,67,11,3,18,7
375,32,28,2020-04-30 22:00:00,2020-04-30,57,10,3,17,1
318,31,25,2020-04-29 22:00:00,2020-04-29,43,9,3,16,10
275,21,22,2020-04-28 22:00:00,2020-04-28,38,8,1,15,1
237,20,21,2020-04-27 22:00:00,2020-04-27,24,7,4,14,1
213,19,17,2020-04-26 22:00:00,2020-04-26,39,6,1,13,5
174,14,16,2020-04-25 22:00:00,2020-04-25,0,5,0,12,0
174,14,16,2020-04-24 22:00:00,2020-04-24,12,4,3,11,0
162,14,13,2020-04-23 22:00:00,2020-04-23,22,3,0,10,6
140,8,13,2020-04-22 22:00:00,2020-04-22,33,2,1,9,0
107,8,12,2020-04-21 22:00:00,2020-04-21,15,1,0,8,0
92,8,12,2020-04-20 22:00:00,2020-04-20,26,0,2,7,2
66,6,10,2020-04-19 22:00:00,2020-04-19,0,0,0,6,0
66,6,10,2020-04-18 22:00:00,2020-04-18,34,0,5,5,2
32,4,5,2020-04-17 22:00:00,2020-04-17,0,0,0,4,0
32,4,5,2020-04-16 22:00:00,2020-04-16,0,0,0,3,0
32,4,5,2020-04-15 22:00:00,2020-04-15,3,0,1,2,0
