Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
74898,4971,5526,2020-07-11 22:00:00,2020-07-11,565,128,26,118,0
74333,4971,5500,2020-07-10 22:00:00,2020-07-10,475,127,18,117,0
73858,4971,5482,2020-07-09 22:00:00,2020-07-09,514,126,35,116,0
73344,4971,5447,2020-07-08 22:00:00,2020-07-08,283,125,14,115,0
73061,4971,5433,2020-07-07 22:00:00,2020-07-07,1642,124,13,114,0
71419,4971,5420,2020-07-06 22:00:00,2020-07-06,0,123,0,113,0
71419,4971,5420,2020-07-05 22:00:00,2020-07-05,0,122,0,112,0
71419,4971,5420,2020-07-04 22:00:00,2020-07-04,780,121,9,111,0
70639,4971,5411,2020-07-03 22:00:00,2020-07-03,947,120,41,110,0
69692,4971,5370,2020-07-02 22:00:00,2020-07-02,1241,119,37,109,0
68451,4971,5333,2020-07-01 22:00:00,2020-07-01,784,118,23,108,0
67667,4971,5310,2020-06-30 22:00:00,2020-06-30,2530,117,30,107,0
65137,4971,5280,2020-06-29 22:00:00,2020-06-29,0,116,0,106,0
65137,4971,5280,2020-06-28 22:00:00,2020-06-28,0,115,0,105,0
65137,4971,5280,2020-06-27 22:00:00,2020-06-27,1247,114,50,104,0
63890,4971,5230,2020-06-26 22:00:00,2020-06-26,1566,113,21,103,0
62324,4971,5209,2020-06-25 22:00:00,2020-06-25,1487,112,48,102,0
60837,4971,5161,2020-06-24 22:00:00,2020-06-24,1905,111,39,101,0
58932,4971,5122,2020-06-23 22:00:00,2020-06-23,2889,110,69,100,0
56043,4971,5053,2020-06-22 22:00:00,2020-06-22,0,109,0,99,0
56043,4971,5053,2020-06-21 22:00:00,2020-06-21,0,108,0,98,0
56043,4971,5053,2020-06-20 22:00:00,2020-06-20,0,107,0,97,0
56043,4971,5053,2020-06-19 22:00:00,2020-06-19,1481,106,12,96,0
54562,4971,5041,2020-06-18 22:00:00,2020-06-18,1239,105,102,95,0
53323,4971,4939,2020-06-17 22:00:00,2020-06-17,940,104,48,94,0
52383,4971,4891,2020-06-16 22:00:00,2020-06-16,769,103,17,93,0
51614,4971,4874,2020-06-15 22:00:00,2020-06-15,683,102,0,92,0
50931,4971,4874,2020-06-14 22:00:00,2020-06-14,1247,101,20,91,0
49684,4971,4854,2020-06-13 22:00:00,2020-06-13,1396,100,40,90,0
48288,4971,4814,2020-06-12 22:00:00,2020-06-12,1474,99,19,89,0
46814,4971,4795,2020-06-11 22:00:00,2020-06-11,890,98,78,88,0
45924,4971,4717,2020-06-10 22:00:00,2020-06-10,791,97,23,87,0
45133,4971,4694,2020-06-09 22:00:00,2020-06-09,403,96,35,86,0
44730,4971,4659,2020-06-08 22:00:00,2020-06-08,843,95,3,85,0
43887,4971,4656,2020-06-07 22:00:00,2020-06-07,948,94,17,84,0
42939,4971,4639,2020-06-06 22:00:00,2020-06-06,1056,93,77,83,0
41883,4971,4562,2020-06-05 22:00:00,2020-06-05,1080,92,20,82,0
40803,4971,4542,2020-06-04 22:00:00,2020-06-04,2214,91,74,81,0
38589,4971,4468,2020-06-03 22:00:00,2020-06-03,775,90,65,80,0
37814,4971,4403,2020-06-02 22:00:00,2020-06-02,272,89,8,79,0
37542,4971,4395,2020-06-01 22:00:00,2020-06-01,429,88,0,78,0
37113,4971,4395,2020-05-31 22:00:00,2020-05-31,637,87,45,77,0
36476,4971,4350,2020-05-30 22:00:00,2020-05-30,749,86,84,76,0
35727,4971,4266,2020-05-29 22:00:00,2020-05-29,639,85,46,75,0
35088,4971,4220,2020-05-28 22:00:00,2020-05-28,648,84,95,74,0
34440,4971,4125,2020-05-27 22:00:00,2020-05-27,597,83,96,73,0
33843,4971,4029,2020-05-26 22:00:00,2020-05-26,384,82,31,72,0
33459,4971,3998,2020-05-25 22:00:00,2020-05-25,271,81,6,71,0
33188,4971,3992,2020-05-24 22:00:00,2020-05-24,379,80,67,70,0
32809,4971,3925,2020-05-23 22:00:00,2020-05-23,637,79,54,69,0
32172,4971,3871,2020-05-22 22:00:00,2020-05-22,649,78,40,68,0
31523,4971,3831,2020-05-21 22:00:00,2020-05-21,724,77,88,67,0
30799,4971,3743,2020-05-20 22:00:00,2020-05-20,422,76,45,66,0
30377,4971,3698,2020-05-19 22:00:00,2020-05-19,234,75,19,65,0
30143,4971,3679,2020-05-18 22:00:00,2020-05-18,466,74,5,64,0
