Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
34302,30500,1977,2020-07-25 22:00:00,2020-07-25,148,142,0,138,0
34154,30500,1977,2020-07-24 22:00:00,2020-07-24,154,141,5,137,0
34000,30500,1972,2020-07-23 22:00:00,2020-07-23,117,140,0,136,200
33883,30300,1972,2020-07-22 22:00:00,2020-07-22,141,139,0,135,0
33742,30300,1972,2020-07-21 22:00:00,2020-07-21,108,138,3,134,0
33634,30300,1969,2020-07-20 22:00:00,2020-07-20,43,137,0,133,400
33591,29900,1969,2020-07-19 22:00:00,2020-07-19,99,136,0,132,0
33492,29900,1969,2020-07-18 22:00:00,2020-07-18,110,135,0,131,0
33382,29900,1969,2020-07-17 22:00:00,2020-07-17,92,134,0,130,100
33290,29800,1969,2020-07-16 22:00:00,2020-07-16,142,133,1,129,0
33148,29800,1968,2020-07-15 22:00:00,2020-07-15,132,132,0,128,200
33016,29600,1968,2020-07-14 22:00:00,2020-07-14,70,131,0,127,0
32946,29600,1968,2020-07-13 22:00:00,2020-07-13,63,130,0,126,100
32883,29500,1968,2020-07-12 22:00:00,2020-07-12,85,129,2,125,100
32798,29400,1966,2020-07-11 22:00:00,2020-07-11,108,128,0,124,0
32690,29400,1966,2020-07-10 22:00:00,2020-07-10,104,127,0,123,0
32586,29400,1966,2020-07-09 22:00:00,2020-07-09,88,126,0,122,0
32498,29400,1966,2020-07-08 22:00:00,2020-07-08,129,125,0,121,100
32369,29300,1966,2020-07-07 22:00:00,2020-07-07,54,124,1,120,0
32315,29300,1965,2020-07-06 22:00:00,2020-07-06,117,123,0,119,100
32198,29200,1965,2020-07-05 22:00:00,2020-07-05,97,122,0,118,0
32101,29200,1965,2020-07-04 22:00:00,2020-07-04,0,121,0,117,0
32101,29200,1965,2020-07-03 22:00:00,2020-07-03,134,120,0,116,0
31967,29200,1965,2020-07-02 22:00:00,2020-07-02,253,119,2,115,0
31714,29200,1963,2020-07-01 22:00:00,2020-07-01,0,118,1,114,100
31714,29100,1962,2020-06-30 22:00:00,2020-06-30,62,117,0,113,0
31652,29100,1962,2020-06-29 22:00:00,2020-06-29,35,116,0,112,0
31617,29100,1962,2020-06-28 22:00:00,2020-06-28,62,115,0,111,100
31555,29000,1962,2020-06-27 22:00:00,2020-06-27,69,114,0,110,0
31486,29000,1962,2020-06-26 22:00:00,2020-06-26,58,113,4,109,0
31428,29000,1958,2020-06-25 22:00:00,2020-06-25,52,112,0,108,0
31376,29000,1958,2020-06-24 22:00:00,2020-06-24,44,111,2,107,0
31332,29000,1956,2020-06-23 22:00:00,2020-06-23,22,110,0,106,0
31310,29000,1956,2020-06-22 22:00:00,2020-06-22,18,109,0,105,100
31292,28900,1956,2020-06-21 22:00:00,2020-06-21,49,108,0,104,0
31243,28900,1956,2020-06-20 22:00:00,2020-06-20,26,107,0,103,0
31217,28900,1956,2020-06-19 22:00:00,2020-06-19,17,106,0,102,0
31200,28900,1956,2020-06-18 22:00:00,2020-06-18,17,105,0,101,0
31183,28900,1956,2020-06-17 22:00:00,2020-06-17,37,104,17,100,0
31146,28900,1939,2020-06-16 22:00:00,2020-06-16,15,103,1,99,100
31131,28800,1938,2020-06-15 22:00:00,2020-06-15,14,102,0,98,0
31117,28800,1938,2020-06-14 22:00:00,2020-06-14,23,101,0,97,0
31094,28800,1938,2020-06-13 22:00:00,2020-06-13,31,100,0,96,0
31063,28800,1938,2020-06-12 22:00:00,2020-06-12,19,99,1,95,100
31044,28700,1937,2020-06-11 22:00:00,2020-06-11,33,98,3,94,0
31011,28700,1934,2020-06-10 22:00:00,2020-06-10,23,97,11,93,0
30988,28700,1923,2020-06-09 22:00:00,2020-06-09,16,96,0,92,0
30972,28700,1923,2020-06-08 22:00:00,2020-06-08,7,95,2,91,0
30965,28700,1921,2020-06-07 22:00:00,2020-06-07,9,94,0,90,100
30956,28600,1921,2020-06-06 22:00:00,2020-06-06,20,93,0,89,0
30936,28600,1921,2020-06-05 22:00:00,2020-06-05,23,92,0,88,0
30913,28600,1921,2020-06-04 22:00:00,2020-06-04,20,91,1,87,0
30893,28600,1920,2020-06-03 22:00:00,2020-06-03,19,90,0,86,100
30874,28500,1920,2020-06-02 22:00:00,2020-06-02,3,89,0,85,0
30871,28500,1920,2020-06-01 22:00:00,2020-06-01,9,88,0,84,100
30862,28400,1920,2020-05-31 22:00:00,2020-05-31,17,87,1,83,0
30845,28400,1919,2020-05-30 22:00:00,2020-05-30,49,86,0,82,100
30796,28300,1919,2020-05-29 22:00:00,2020-05-29,0,85,2,81,0
30796,28300,1917,2020-05-28 22:00:00,2020-05-28,20,84,0,80,100
30776,28200,1917,2020-05-27 22:00:00,2020-05-27,15,83,4,79,0
30761,28200,1913,2020-05-26 22:00:00,2020-05-26,15,82,6,78,100
