Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
451,438,7,2020-07-12 22:00:00,2020-07-12,0,117,0,105,0
451,438,7,2020-07-11 22:00:00,2020-07-11,0,116,0,104,0
451,438,7,2020-07-10 22:00:00,2020-07-10,2,115,0,103,0
449,438,7,2020-07-09 22:00:00,2020-07-09,0,114,0,102,0
449,438,7,2020-07-08 22:00:00,2020-07-08,0,113,0,101,0
449,438,7,2020-07-07 22:00:00,2020-07-07,0,112,0,100,0
449,438,7,2020-07-06 22:00:00,2020-07-06,0,111,0,99,0
449,438,7,2020-07-05 22:00:00,2020-07-05,0,110,0,98,0
449,438,7,2020-07-04 22:00:00,2020-07-04,0,109,0,97,0
449,438,7,2020-07-03 22:00:00,2020-07-03,1,108,0,96,0
448,438,7,2020-07-02 22:00:00,2020-07-02,1,107,0,95,0
447,438,7,2020-07-01 22:00:00,2020-07-01,0,106,0,94,1
447,437,7,2020-06-30 22:00:00,2020-06-30,0,105,0,93,2
447,435,7,2020-06-29 22:00:00,2020-06-29,0,104,0,92,0
447,435,7,2020-06-28 22:00:00,2020-06-28,0,103,0,91,0
447,435,7,2020-06-27 22:00:00,2020-06-27,0,102,0,90,0
447,435,7,2020-06-26 22:00:00,2020-06-26,0,101,0,89,0
447,435,7,2020-06-25 22:00:00,2020-06-25,1,100,0,88,0
446,435,7,2020-06-24 22:00:00,2020-06-24,0,99,0,87,0
446,435,7,2020-06-23 22:00:00,2020-06-23,0,98,0,86,1
446,434,7,2020-06-22 22:00:00,2020-06-22,0,97,0,85,0
446,434,7,2020-06-21 22:00:00,2020-06-21,0,96,0,84,0
446,434,7,2020-06-20 22:00:00,2020-06-20,0,95,0,83,0
446,434,7,2020-06-19 22:00:00,2020-06-19,0,94,0,82,0
446,434,7,2020-06-18 22:00:00,2020-06-18,1,93,0,81,0
445,434,7,2020-06-17 22:00:00,2020-06-17,0,92,0,80,1
445,433,7,2020-06-16 22:00:00,2020-06-16,0,91,0,79,0
445,433,7,2020-06-15 22:00:00,2020-06-15,2,90,0,78,2
443,431,7,2020-06-14 22:00:00,2020-06-14,0,89,0,77,0
443,431,7,2020-06-13 22:00:00,2020-06-13,0,88,0,76,0
443,431,7,2020-06-12 22:00:00,2020-06-12,0,87,0,75,0
443,431,7,2020-06-11 22:00:00,2020-06-11,0,86,0,74,0
443,431,7,2020-06-10 22:00:00,2020-06-10,0,85,0,73,1
443,430,7,2020-06-09 22:00:00,2020-06-09,0,84,0,72,0
443,430,7,2020-06-08 22:00:00,2020-06-08,0,83,0,71,0
443,430,7,2020-06-07 22:00:00,2020-06-07,0,82,0,70,1
443,429,7,2020-06-06 22:00:00,2020-06-06,0,81,0,69,0
443,429,7,2020-06-05 22:00:00,2020-06-05,0,80,0,68,1
443,428,7,2020-06-04 22:00:00,2020-06-04,0,79,0,67,0
443,428,7,2020-06-03 22:00:00,2020-06-03,0,78,0,66,1
443,427,7,2020-06-02 22:00:00,2020-06-02,0,77,0,65,0
443,427,7,2020-06-01 22:00:00,2020-06-01,1,76,0,64,4
442,423,7,2020-05-31 22:00:00,2020-05-31,0,75,0,63,2
