Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
210,123,11,2020-04-26 22:00:00,2020-04-26,1,19,1,20,6
209,117,10,2020-04-25 22:00:00,2020-04-25,2,18,1,19,11
207,106,9,2020-04-24 22:00:00,2020-04-24,2,17,1,18,29
205,77,8,2020-04-23 22:00:00,2020-04-23,0,16,0,17,0
205,77,8,2020-04-22 22:00:00,2020-04-22,3,15,0,16,10
202,67,8,2020-04-21 22:00:00,2020-04-21,5,14,0,15,0
197,67,8,2020-04-20 22:00:00,2020-04-20,5,13,0,14,0
192,67,8,2020-04-19 22:00:00,2020-04-19,5,12,0,13,0
187,67,8,2020-04-18 22:00:00,2020-04-18,5,11,1,12,0
182,67,7,2020-04-17 22:00:00,2020-04-17,12,10,1,11,0
170,67,6,2020-04-16 22:00:00,2020-04-16,1,9,0,10,10
169,57,6,2020-04-15 22:00:00,2020-04-15,18,8,0,9,0
151,57,6,2020-04-14 22:00:00,2020-04-14,7,7,1,8,4
144,53,5,2020-04-13 22:00:00,2020-04-13,11,6,0,7,5
133,48,5,2020-04-12 22:00:00,2020-04-12,0,5,1,6,0
133,48,4,2020-04-11 22:00:00,2020-04-11,11,4,0,5,0
122,48,4,2020-04-10 22:00:00,2020-04-10,11,3,1,4,14
111,34,3,2020-04-09 22:00:00,2020-04-09,4,2,0,3,0
107,34,3,2020-04-08 22:00:00,2020-04-08,9,1,0,2,5
98,29,3,2020-04-07 22:00:00,2020-04-07,9,0,1,1,14
89,15,2,2020-04-06 21:00:00,2020-04-06,3,0,0,0,0
86,15,2,2020-04-05 22:00:00,2020-04-05,6,0,0,0,0
80,15,2,2020-04-04 21:00:00,2020-04-04,0,0,0,0,4
80,11,2,2020-04-03 21:00:00,2020-04-03,6,0,0,0,8
74,3,2,2020-04-02 21:00:00,2020-04-02,3,0,0,0,0
71,3,2,2020-04-01 21:00:00,2020-04-01,2,0,0,0,0
69,3,2,2020-03-31 21:00:00,2020-03-31,0,0,0,0,0
69,3,2,2020-03-30 21:00:00,2020-03-30,3,0,2,0,0
66,3,0,2020-03-29 21:00:00,2020-03-29,4,0,0,0,0
62,3,0,2020-03-28 21:00:00,2020-03-28,4,0,0,0,0
58,3,0,2020-03-27 21:10:00,2020-03-27,11,0,0,0,0
47,3,0,2020-03-26 22:20:00,2020-03-26,5,0,0,0,0
42,3,0,2020-03-25 23:20:00,2020-03-25,6,0,0,0,0
36,3,0,2020-03-24 21:20:00,2020-03-24,8,0,0,0,0
28,3,0,2020-03-23 21:40:00,2020-03-23,7,0,0,0,0
21,3,0,2020-03-22 21:00:00,2020-03-22,5,0,0,0,0
16,3,0,2020-03-21 21:00:00,2020-03-21,6,0,0,0,0
10,3,0,2020-03-20 21:20:00,2020-03-20,0,0,0,0,2
10,1,0,2020-03-19 21:30:00,2020-03-19,0,0,0,0,0
10,1,0,2020-03-18 22:00:00,2020-03-18,3,0,0,0,0
7,1,0,2020-03-17 21:00:00,2020-03-17,0,0,0,0,0
7,1,0,2020-03-16 21:00:00,2020-03-16,1,0,0,0,0
6,1,0,2020-03-15 21:00:00,2020-03-15,1,0,0,0,1
5,0,0,2020-03-14 21:00:00,2020-03-14,1,0,0,0,0
4,0,0,2020-03-13 21:00:00,2020-03-13,1,0,0,0,0
3,0,0,2020-03-12 21:00:00,2020-03-12,1,0,0,0,0
2,0,0,2020-03-11 21:00:00,2020-03-11,0,0,0,0,0
2,0,0,2020-03-10 21:00:00,2020-03-10,0,0,0,0,0
2,0,0,2020-03-09 21:00:00,2020-03-09,0,0,0,0,0
2,0,0,2020-03-08 21:00:00,2020-03-08,0,0,0,0,0
2,0,0,2020-03-07 21:00:00,2020-03-07,1,0,0,0,0
1,0,0,2020-03-06 21:00:00,2020-03-06,0,0,0,0,0
1,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0,0,0
1,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
1,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
1,0,0,2020-03-02 21:00:00,2020-03-02,1,0,0,0,0
0,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
0,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
0,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
0,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
0,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
0,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
0,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
0,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
0,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
0,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0,0,0
0,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0,0
0,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0,0
0,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0,0
0,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0,0,0
0,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0,0,0
0,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0,0,0
0,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0,0,0
0,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0,0,0
0,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0,0,0
0,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0,0,0
0,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0,0,0
0,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0,0,0
0,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0,0,0
0,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0,0,0
