Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
14768,7374,242,2020-05-10 22:00:00,2020-05-10,327,53,0,46,357
14441,7017,242,2020-05-09 22:00:00,2020-05-09,345,52,3,45,224
14096,6793,239,2020-05-08 22:00:00,2020-05-08,158,51,0,44,206
13938,6587,239,2020-05-07 22:00:00,2020-05-07,248,50,13,43,231
13690,6356,226,2020-05-06 22:00:00,2020-05-06,119,49,7,42,275
13571,6081,219,2020-05-05 22:00:00,2020-05-05,394,48,9,41,267
13177,5814,210,2020-05-04 22:00:00,2020-05-04,516,47,1,40,96
12661,5718,209,2020-05-03 22:00:00,2020-05-03,770,46,5,39,171
11891,5547,204,2020-05-02 22:00:00,2020-05-02,1156,45,3,38,208
10735,5339,201,2020-05-01 22:00:00,2020-05-01,369,44,6,37,196
10366,5143,195,2020-04-30 22:00:00,2020-04-30,314,43,7,36,189
10052,4954,188,2020-04-29 22:00:00,2020-04-29,93,42,4,35,199
9959,4755,184,2020-04-28 22:00:00,2020-04-28,292,41,3,34,197
9667,4558,181,2020-04-27 22:00:00,2020-04-27,478,40,4,33,59
9189,4499,177,2020-04-26 22:00:00,2020-04-26,461,39,8,32,97
8728,4402,169,2020-04-25 22:00:00,2020-04-25,462,38,-2,31,210
8266,4192,171,2020-04-24 22:00:00,2020-04-24,424,37,5,30,180
7842,4012,166,2020-04-23 22:00:00,2020-04-23,448,36,9,29,184
7394,3828,157,2020-04-22 22:00:00,2020-04-22,156,35,5,28,253
7238,3575,152,2020-04-21 22:00:00,2020-04-21,168,34,4,27,231
7070,3344,148,2020-04-20 22:00:00,2020-04-20,308,33,2,26,110
6762,3234,146,2020-04-19 22:00:00,2020-04-19,173,32,4,25,216
6589,3018,142,2020-04-18 22:00:00,2020-04-18,326,31,1,24,822
6263,2196,141,2020-04-17 22:00:00,2020-04-17,-25,30,6,23,0
6288,2196,135,2020-04-16 22:00:00,2020-04-16,461,29,11,22,227
