Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
3156,3023,58,2020-06-23 22:00:00,2020-06-23,5,101,0,92,1
3151,3022,58,2020-06-22 22:00:00,2020-06-22,3,100,0,91,4
3148,3018,58,2020-06-21 22:00:00,2020-06-21,1,99,0,90,0
3147,3018,58,2020-06-20 22:00:00,2020-06-20,1,98,0,89,10
3146,3008,58,2020-06-19 22:00:00,2020-06-19,5,97,0,88,11
3141,2997,58,2020-06-18 22:00:00,2020-06-18,6,96,0,87,1
3135,2996,58,2020-06-17 22:00:00,2020-06-17,0,95,0,86,3
3135,2993,58,2020-06-16 22:00:00,2020-06-16,0,94,0,85,6
3135,2987,58,2020-06-15 22:00:00,2020-06-15,0,93,0,84,0
3135,2987,58,2020-06-14 22:00:00,2020-06-14,1,92,0,83,0
3134,2987,58,2020-06-13 22:00:00,2020-06-13,5,91,0,82,0
3129,2987,58,2020-06-12 22:00:00,2020-06-12,4,90,0,81,0
3125,2987,58,2020-06-11 22:00:00,2020-06-11,0,89,0,80,6
3125,2981,58,2020-06-10 22:00:00,2020-06-10,4,88,0,79,8
3121,2973,58,2020-06-09 22:00:00,2020-06-09,2,87,0,78,0
3119,2973,58,2020-06-08 22:00:00,2020-06-08,7,86,0,77,1
3112,2972,58,2020-06-07 22:00:00,2020-06-07,8,85,0,76,1
3104,2971,58,2020-06-06 22:00:00,2020-06-06,2,84,0,75,0
3102,2971,58,2020-06-05 22:00:00,2020-06-05,1,83,0,74,3
3101,2968,58,2020-06-04 22:00:00,2020-06-04,17,82,0,73,0
3084,2968,58,2020-06-03 22:00:00,2020-06-03,1,81,0,72,2
3083,2966,58,2020-06-02 22:00:00,2020-06-02,1,80,1,71,1
3082,2965,57,2020-06-01 22:00:00,2020-06-01,1,79,0,70,2
3081,2963,57,2020-05-31 22:00:00,2020-05-31,4,78,0,69,2
3077,2961,57,2020-05-30 22:00:00,2020-05-30,1,77,0,68,16
3076,2945,57,2020-05-29 22:00:00,2020-05-29,11,76,0,67,0
3065,2945,57,2020-05-28 22:00:00,2020-05-28,11,75,0,66,14
3054,2931,57,2020-05-27 22:00:00,2020-05-27,9,74,0,65,2
3045,2929,57,2020-05-26 22:00:00,2020-05-26,3,73,0,64,1
3042,2928,57,2020-05-25 22:00:00,2020-05-25,2,72,1,63,7
3040,2921,56,2020-05-24 22:00:00,2020-05-24,0,71,0,62,5
3040,2916,56,2020-05-23 22:00:00,2020-05-23,3,70,0,61,6
3037,2910,56,2020-05-22 22:00:00,2020-05-22,0,69,0,60,13
3037,2897,56,2020-05-21 22:00:00,2020-05-21,3,68,0,59,9
3034,2888,56,2020-05-20 22:00:00,2020-05-20,1,67,0,58,31
3033,2857,56,2020-05-19 22:00:00,2020-05-19,2,66,0,57,0
3031,2857,56,2020-05-18 22:00:00,2020-05-18,3,65,0,56,1
3028,2856,56,2020-05-17 22:00:00,2020-05-17,3,64,0,55,1
3025,2855,56,2020-05-16 22:00:00,2020-05-16,0,63,0,54,1
3025,2854,56,2020-05-15 22:00:00,2020-05-15,7,62,0,53,4
3018,2850,56,2020-05-14 22:00:00,2020-05-14,1,61,0,52,6
3017,2844,56,2020-05-13 22:00:00,2020-05-13,0,60,0,51,46
3017,2798,56,2020-05-12 22:00:00,2020-05-12,2,59,0,50,2
3015,2796,56,2020-05-11 22:00:00,2020-05-11,6,58,0,49,2
3009,2794,56,2020-05-10 22:00:00,2020-05-10,5,57,0,48,7
3004,2787,56,2020-05-09 22:00:00,2020-05-09,4,56,1,47,3
3000,2784,55,2020-05-08 22:00:00,2020-05-08,8,55,0,46,12
2992,2772,55,2020-05-07 22:00:00,2020-05-07,3,54,0,45,11
2989,2761,55,2020-05-06 22:00:00,2020-05-06,1,53,1,44,14
2988,2747,54,2020-05-05 22:00:00,2020-05-05,1,52,0,43,7
2987,2740,54,2020-05-04 22:00:00,2020-05-04,18,51,0,42,1
2969,2739,54,2020-05-03 22:00:00,2020-05-03,3,50,0,41,7
2966,2732,54,2020-05-02 22:00:00,2020-05-02,6,49,0,40,13
2960,2719,54,2020-05-01 22:00:00,2020-05-01,6,48,0,39,35
2954,2684,54,2020-04-30 22:00:00,2020-04-30,7,47,0,38,19
2947,2665,54,2020-04-29 22:00:00,2020-04-29,9,46,0,37,13
2938,2652,54,2020-04-28 22:00:00,2020-04-28,7,45,2,36,43
2931,2609,52,2020-04-27 22:00:00,2020-04-27,9,44,1,35,15
2922,2594,51,2020-04-26 22:00:00,2020-04-26,15,43,0,34,47
2907,2547,51,2020-04-25 22:00:00,2020-04-25,53,42,1,33,57
2854,2490,50,2020-04-24 22:00:00,2020-04-24,15,41,0,32,60
2839,2430,50,2020-04-23 22:00:00,2020-04-23,13,40,1,31,78
2826,2352,49,2020-04-22 22:00:00,2020-04-22,15,39,1,30,244
2811,2108,48,2020-04-21 22:00:00,2020-04-21,19,38,1,29,109
2792,1999,47,2020-04-20 22:00:00,2020-04-20,27,37,0,28,71
2765,1928,47,2020-04-19 22:00:00,2020-04-19,32,36,0,27,141
2733,1787,47,2020-04-18 22:00:00,2020-04-18,33,35,0,26,98
2700,1689,47,2020-04-17 22:00:00,2020-04-17,28,34,1,25,96
2672,1593,46,2020-04-16 22:00:00,2020-04-16,29,33,3,24,96
2643,1497,43,2020-04-15 22:00:00,2020-04-15,30,32,2,23,92
2613,1405,41,2020-04-14 22:00:00,2020-04-14,34,31,1,22,117
2579,1288,40,2020-04-13 22:00:00,2020-04-13,28,30,2,21,70
2551,1218,38,2020-04-12 22:00:00,2020-04-12,33,29,3,20,83
2518,1135,35,2020-04-11 22:00:00,2020-04-11,45,28,2,19,122
2473,1013,33,2020-04-10 22:00:00,2020-04-10,50,27,1,18,73
2423,940,32,2020-04-09 22:00:00,2020-04-09,54,26,2,17,52
2369,888,30,2020-04-08 22:00:00,2020-04-08,111,25,3,16,64
2258,824,27,2020-04-07 22:00:00,2020-04-07,38,24,1,15,31
2220,793,26,2020-04-06 22:00:00,2020-04-06,51,23,3,14,119
2169,674,23,2020-04-05 22:00:00,2020-04-05,102,22,3,13,62
2067,612,20,2020-04-04 21:00:00,2020-04-04,89,21,1,12,31
1978,581,19,2020-04-03 21:00:00,2020-04-03,103,20,4,11,76
1875,505,15,2020-04-02 21:00:00,2020-04-02,104,19,3,10,89
1771,416,12,2020-04-01 21:00:00,2020-04-01,120,18,2,9,74
1651,342,10,2020-03-31 21:00:00,2020-03-31,127,17,1,8,113
1524,229,9,2020-03-30 21:00:00,2020-03-30,136,16,2,7,132
1388,97,7,2020-03-29 21:00:00,2020-03-29,143,15,1,6,0
1245,97,6,2020-03-28 21:00:00,2020-03-28,109,14,1,5,0
1136,97,5,2020-03-27 21:10:00,2020-03-27,91,13,1,4,9
1045,88,4,2020-03-26 22:20:00,2020-03-26,111,12,0,3,18
934,70,4,2020-03-25 23:20:00,2020-03-25,107,11,0,2,18
827,52,4,2020-03-24 21:20:00,2020-03-24,106,10,3,1,0
721,52,1,2020-03-23 21:40:00,2020-03-23,122,9,0,0,8
599,44,1,2020-03-22 21:00:00,2020-03-22,188,8,0,0,2
411,42,1,2020-03-21 21:00:00,2020-03-21,89,7,0,0,0
322,42,1,2020-03-20 21:20:00,2020-03-20,50,6,0,0,0
272,42,1,2020-03-19 21:30:00,2020-03-19,60,5,0,0,1
212,41,1,2020-03-18 22:00:00,2020-03-18,35,4,0,0,0
177,41,1,2020-03-17 21:00:00,2020-03-17,63,3,0,0,6
114,35,1,2020-03-16 21:00:00,2020-03-16,0,2,0,0,0
114,35,1,2020-03-15 21:00:00,2020-03-15,32,1,0,0,0
82,35,1,2020-03-14 21:00:00,2020-03-14,7,0,0,0,0
75,35,1,2020-03-13 21:00:00,2020-03-13,5,0,0,0,0
70,35,1,2020-03-12 21:00:00,2020-03-12,11,0,0,0,1
59,34,1,2020-03-11 21:00:00,2020-03-11,6,0,0,0,1
53,33,1,2020-03-10 21:00:00,2020-03-10,3,0,0,0,0
50,33,1,2020-03-09 21:00:00,2020-03-09,0,0,0,0,2
50,31,1,2020-03-08 21:00:00,2020-03-08,0,0,0,0,0
50,31,1,2020-03-07 21:00:00,2020-03-07,3,0,0,0,0
47,31,1,2020-03-06 21:00:00,2020-03-06,0,0,0,0,1
47,30,1,2020-03-05 21:00:00,2020-03-05,4,0,0,0,0
43,30,1,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
43,30,1,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
43,30,1,2020-03-02 21:00:00,2020-03-02,1,0,1,0,2
42,28,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
42,28,0,2020-02-29 21:00:00,2020-02-29,1,0,0,0,6
41,22,0,2020-02-28 21:00:00,2020-02-28,1,0,0,0,0
40,22,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
40,22,0,2020-02-26 21:00:00,2020-02-26,3,0,0,0,1
37,21,0,2020-02-25 21:00:00,2020-02-25,2,0,0,0,6
35,15,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
35,15,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
35,15,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
35,15,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
35,15,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
35,15,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
35,15,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
35,15,0,2020-02-17 21:00:00,2020-02-17,1,0,0,0,1
34,14,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
34,14,0,2020-02-15 21:00:00,2020-02-15,1,0,0,0,2
33,12,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0,0
33,12,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0,2
33,10,0,2020-02-12 21:00:00,2020-02-12,1,0,0,0,0
32,10,0,2020-02-11 20:30:00,2020-02-11,0,0,0,0,0
32,10,0,2020-02-10 21:00:00,2020-02-10,0,0,0,0,0
32,10,0,2020-02-09 21:00:00,2020-02-09,0,0,0,0,1
32,9,0,2020-02-08 21:00:00,2020-02-08,7,0,0,0,1
25,8,0,2020-02-07 21:00:00,2020-02-07,0,0,0,0,0
25,8,0,2020-02-06 21:00:00,2020-02-06,0,0,0,0,0
25,8,0,2020-02-05 21:00:00,2020-02-05,6,0,0,0,1
19,7,0,2020-02-04 20:00:00,2020-02-04,0,0,0,0,0
19,7,0,2020-02-03 20:00:00,2020-02-03,0,0,0,0,2
19,5,0,2020-02-02 20:00:00,2020-02-02,0,0,0,0,-2
19,7,0,2020-02-01 10:00:00,2020-02-01,5,0,0,0,2
14,5,0,2020-01-31 12:30:00,2020-01-31,0,0,0,0,0
14,5,0,2020-01-30 12:00:00,2020-01-30,0,0,0,0,0
14,5,0,2020-01-29 14:00:00,2020-01-29,6,0,0,0,3
8,2,0,2020-01-28 11:30:00,2020-01-28,0,0,0,0,0
8,2,0,2020-01-27 14:00:00,2020-01-27,1,0,0,0,2
7,0,0,2020-01-26 13:00:00,2020-01-26,2,0,0,0,0
5,0,0,2020-01-25 15:00:00,2020-01-25,1,0,0,0,0
4,0,0,2020-01-24 15:00:00,2020-01-24,1,0,0,0,0
3,0,0,2020-01-23 15:00:00,2020-01-23,1,0,0,0,0
2,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0,0,0
2,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0,0,0
