Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death
180,144,3,2020-04-06 22:00:00,2020-04-06,0,56,0
180,144,3,2020-04-05 22:00:00,2020-04-05,0,55,0
180,140,3,2020-04-04 21:00:00,2020-04-04,1,54,0
179,140,3,2020-04-03 21:00:00,2020-04-03,3,53,0
176,135,3,2020-04-02 21:00:00,2020-04-02,2,52,0
174,135,3,2020-04-01 21:00:00,2020-04-01,0,51,0
174,133,3,2020-03-31 21:00:00,2020-03-31,0,50,0
174,133,3,2020-03-30 21:00:00,2020-03-30,8,49,0
166,133,3,2020-03-29 21:00:00,2020-03-29,5,48,0
161,133,3,2020-03-28 21:00:00,2020-03-28,9,47,0
152,133,3,2020-03-27 21:10:00,2020-03-27,5,46,0
147,133,3,2020-03-26 22:20:00,2020-03-26,2,45,0
145,133,3,2020-03-25 23:20:00,2020-03-25,3,44,0
142,133,3,2020-03-24 21:20:00,2020-03-24,1,43,0
141,133,3,2020-03-23 21:40:00,2020-03-23,4,42,0
137,133,3,2020-03-22 21:00:00,2020-03-22,0,41,0
137,133,3,2020-03-21 21:00:00,2020-03-21,0,40,0
137,133,3,2020-03-20 21:20:00,2020-03-20,1,39,0
136,133,3,2020-03-19 21:30:00,2020-03-19,0,38,0
136,133,3,2020-03-18 22:00:00,2020-03-18,0,37,0
136,133,3,2020-03-17 21:00:00,2020-03-17,0,36,0
136,133,3,2020-03-16 21:00:00,2020-03-16,0,35,0
136,133,3,2020-03-15 21:00:00,2020-03-15,0,34,0
136,132,3,2020-03-14 21:00:00,2020-03-14,0,33,0
136,132,3,2020-03-13 21:00:00,2020-03-13,0,32,0
136,132,3,2020-03-12 21:00:00,2020-03-12,0,31,0
136,131,3,2020-03-11 21:00:00,2020-03-11,0,30,0
136,131,3,2020-03-10 21:00:00,2020-03-10,0,29,0
136,130,3,2020-03-09 21:00:00,2020-03-09,0,28,0
136,128,3,2020-03-08 21:00:00,2020-03-08,0,27,0
136,128,3,2020-03-07 21:00:00,2020-03-07,0,26,0
136,128,3,2020-03-06 21:00:00,2020-03-06,0,25,0
136,128,3,2020-03-05 21:00:00,2020-03-05,0,24,0
136,124,3,2020-03-04 21:00:00,2020-03-04,0,23,0
136,118,3,2020-03-03 21:00:00,2020-03-03,0,22,0
136,111,3,2020-03-02 21:00:00,2020-03-02,0,21,0
136,109,3,2020-03-01 21:00:00,2020-03-01,0,20,0
136,105,3,2020-02-29 21:00:00,2020-02-29,0,19,0
136,102,3,2020-02-28 21:00:00,2020-02-28,1,18,0
135,96,3,2020-02-27 21:00:00,2020-02-27,0,17,0
135,91,3,2020-02-26 21:00:00,2020-02-26,0,16,0
135,87,3,2020-02-25 21:00:00,2020-02-25,0,15,0
135,81,3,2020-02-24 21:00:00,2020-02-24,0,14,0
135,75,3,2020-02-23 21:00:00,2020-02-23,0,13,0
135,64,3,2020-02-22 21:00:00,2020-02-22,3,12,0
132,59,3,2020-02-21 21:00:00,2020-02-21,2,11,0
130,54,3,2020-02-20 21:00:00,2020-02-20,2,10,0
128,48,3,2020-02-19 21:00:00,2020-02-19,1,9,0
127,46,3,2020-02-18 21:00:00,2020-02-18,2,8,0
125,45,3,2020-02-17 21:00:00,2020-02-17,1,7,0
124,37,3,2020-02-16 21:00:00,2020-02-16,3,6,0
121,33,3,2020-02-15 21:00:00,2020-02-15,1,5,0
120,21,3,2020-02-14 21:00:00,2020-02-14,3,4,0
117,11,3,2020-02-13 21:00:00,2020-02-13,7,3,1
110,10,2,2020-02-12 21:00:00,2020-02-12,6,2,0
104,10,2,2020-02-11 20:30:00,2020-02-11,10,1,1
94,4,1,2020-02-10 21:00:00,2020-02-10,4,0,0
90,4,1,2020-02-09 21:00:00,2020-02-09,2,0,0
88,4,1,2020-02-08 21:00:00,2020-02-08,7,0,0
81,2,1,2020-02-07 21:00:00,2020-02-07,3,0,0
78,2,1,2020-02-06 21:00:00,2020-02-06,9,0,0
69,2,1,2020-02-05 21:00:00,2020-02-05,3,0,1
66,1,0,2020-02-04 20:00:00,2020-02-04,10,0,0
56,1,0,2020-02-03 20:00:00,2020-02-03,8,0,0
48,1,0,2020-02-02 20:00:00,2020-02-02,16,0,0
32,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0
32,0,0,2020-01-31 12:30:00,2020-01-31,5,0,0
27,0,0,2020-01-30 12:00:00,2020-01-30,2,0,0
25,0,0,2020-01-29 14:00:00,2020-01-29,2,0,0
23,0,0,2020-01-28 11:30:00,2020-01-28,9,0,0
14,0,0,2020-01-27 14:00:00,2020-01-27,1,0,0
13,0,0,2020-01-26 13:00:00,2020-01-26,5,0,0
8,0,0,2020-01-25 15:00:00,2020-01-25,3,0,0
5,0,0,2020-01-24 15:00:00,2020-01-24,1,0,0
4,0,0,2020-01-23 15:00:00,2020-01-23,0,0,0
4,0,0,2020-01-22 15:00:00,2020-01-22,2,0,0
2,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0
