Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
537,344,13,2020-06-17 22:00:00,2020-06-17,5,49,0,75,36
532,308,13,2020-06-16 22:00:00,2020-06-16,1,48,0,74,9
531,299,13,2020-06-15 22:00:00,2020-06-15,1,47,0,73,8
530,291,13,2020-06-14 22:00:00,2020-06-14,5,46,0,72,12
525,279,13,2020-06-13 22:00:00,2020-06-13,1,45,0,71,8
524,271,13,2020-06-12 22:00:00,2020-06-12,2,44,0,70,6
522,265,13,2020-06-11 22:00:00,2020-06-11,21,43,0,69,5
501,260,13,2020-06-10 22:00:00,2020-06-10,4,42,0,68,9
497,251,13,2020-06-09 22:00:00,2020-06-09,2,41,0,67,3
495,248,13,2020-06-08 22:00:00,2020-06-08,8,40,0,66,8
487,240,13,2020-06-07 22:00:00,2020-06-07,2,39,0,65,0
485,240,13,2020-06-06 22:00:00,2020-06-06,20,38,0,64,1
465,239,13,2020-06-05 22:00:00,2020-06-05,13,37,0,63,3
452,236,13,2020-06-04 22:00:00,2020-06-04,7,36,0,62,6
445,230,13,2020-06-03 22:00:00,2020-06-03,2,35,0,61,15
443,215,13,2020-06-02 22:00:00,2020-06-02,1,34,0,60,4
442,211,13,2020-06-01 22:00:00,2020-06-01,9,33,0,59,5
433,206,13,2020-05-31 22:00:00,2020-05-31,5,32,0,58,4
428,202,13,2020-05-30 22:00:00,2020-05-30,6,31,0,57,5
422,197,13,2020-05-29 22:00:00,2020-05-29,27,30,0,56,14
395,183,13,2020-05-28 22:00:00,2020-05-28,4,29,0,55,6
391,177,13,2020-05-27 22:00:00,2020-05-27,5,28,0,54,16
386,161,13,2020-05-26 22:00:00,2020-05-26,5,27,1,53,20
381,141,12,2020-05-25 22:00:00,2020-05-25,8,26,0,52,8
373,133,12,2020-05-24 22:00:00,2020-05-24,10,25,0,51,12
363,121,12,2020-05-23 22:00:00,2020-05-23,9,24,0,50,3
354,118,12,2020-05-22 22:00:00,2020-05-22,14,23,0,49,8
