Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
1087,969,49,2020-06-05 22:00:00,2020-06-05,0,73,0,75,1
1087,968,49,2020-06-04 22:00:00,2020-06-04,0,72,0,74,3
1087,965,49,2020-06-03 22:00:00,2020-06-03,1,71,1,73,0
1086,965,48,2020-06-02 22:00:00,2020-06-02,2,70,0,72,1
1084,964,48,2020-06-01 22:00:00,2020-06-01,7,69,0,71,4
1077,960,48,2020-05-31 22:00:00,2020-05-31,1,68,0,70,10
1076,950,48,2020-05-30 22:00:00,2020-05-30,5,67,0,69,4
1071,946,48,2020-05-29 22:00:00,2020-05-29,3,66,0,68,8
1068,938,48,2020-05-28 22:00:00,2020-05-28,17,65,0,67,9
1051,929,48,2020-05-27 22:00:00,2020-05-27,0,64,0,66,10
1051,919,48,2020-05-26 22:00:00,2020-05-26,0,63,0,65,2
1051,917,48,2020-05-25 22:00:00,2020-05-25,3,62,0,64,3
1048,914,48,2020-05-24 22:00:00,2020-05-24,0,61,1,63,11
1048,903,47,2020-05-23 22:00:00,2020-05-23,2,60,0,62,20
1046,883,47,2020-05-22 22:00:00,2020-05-22,1,59,0,61,21
1045,862,47,2020-05-21 22:00:00,2020-05-21,1,58,0,60,36
1044,826,47,2020-05-20 22:00:00,2020-05-20,1,57,1,59,7
1043,819,46,2020-05-19 22:00:00,2020-05-19,6,56,1,58,3
1037,816,45,2020-05-18 22:00:00,2020-05-18,0,55,0,57,9
1037,807,45,2020-05-17 22:00:00,2020-05-17,2,54,0,56,5
1035,802,45,2020-05-16 22:00:00,2020-05-16,3,53,0,55,32
1032,770,45,2020-05-15 22:00:00,2020-05-15,0,52,0,54,11
1032,759,45,2020-05-14 22:00:00,2020-05-14,0,51,0,53,19
1032,740,45,2020-05-13 22:00:00,2020-05-13,0,50,0,52,13
1032,727,45,2020-05-12 22:00:00,2020-05-12,0,49,0,51,27
1032,700,45,2020-05-11 22:00:00,2020-05-11,0,48,0,50,40
1032,660,45,2020-05-10 22:00:00,2020-05-10,2,47,0,49,22
1030,638,45,2020-05-09 22:00:00,2020-05-09,4,46,1,48,38
1026,600,44,2020-05-08 22:00:00,2020-05-08,1,45,1,47,9
1025,591,43,2020-05-07 22:00:00,2020-05-07,3,44,0,46,109
1022,482,43,2020-05-06 22:00:00,2020-05-06,4,43,0,45,76
1018,406,43,2020-05-05 22:00:00,2020-05-05,5,42,1,44,78
1013,328,42,2020-05-04 22:00:00,2020-05-04,4,41,0,43,5
1009,323,42,2020-05-03 22:00:00,2020-05-03,11,40,1,42,7
998,316,41,2020-05-02 22:00:00,2020-05-02,4,39,0,41,11
994,305,41,2020-05-01 22:00:00,2020-05-01,14,38,1,40,11
980,294,40,2020-04-30 22:00:00,2020-04-30,5,37,0,39,15
975,279,40,2020-04-29 22:00:00,2020-04-29,8,36,1,38,0
967,279,39,2020-04-28 22:00:00,2020-04-28,18,35,1,37,63
949,216,38,2020-04-27 22:00:00,2020-04-27,10,34,0,36,9
939,207,38,2020-04-26 22:00:00,2020-04-26,17,33,0,35,13
922,194,38,2020-04-25 22:00:00,2020-04-25,4,32,0,34,4
918,190,38,2020-04-24 22:00:00,2020-04-24,9,31,0,33,0
909,190,38,2020-04-23 22:00:00,2020-04-23,8,30,0,32,20
901,170,38,2020-04-22 22:00:00,2020-04-22,17,29,0,31,22
