Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
122392,53808,3258,2020-05-02 22:00:00,2020-05-02,2188,45,84,44,4922
120204,48886,3174,2020-05-01 22:00:00,2020-05-01,2615,44,93,43,4846
117589,44040,3081,2020-04-30 22:00:00,2020-04-30,2936,43,89,42,5231
114653,38809,2992,2020-04-29 22:00:00,2020-04-29,2392,42,92,41,5018
112261,33791,2900,2020-04-28 22:00:00,2020-04-28,2131,41,95,40,4651
110130,29140,2805,2020-04-27 22:00:00,2020-04-27,2357,40,99,39,3558
107773,25582,2706,2020-04-26 22:00:00,2020-04-26,2861,39,106,38,3845
104912,21737,2600,2020-04-25 22:00:00,2020-04-25,3122,38,109,37,3246
101790,18491,2491,2020-04-24 22:00:00,2020-04-24,3116,37,115,36,2014
98674,16477,2376,2020-04-23 22:00:00,2020-04-23,3083,36,117,35,1559
95591,14918,2259,2020-04-22 22:00:00,2020-04-22,4611,35,119,34,1488
90980,13430,2140,2020-04-21 22:00:00,2020-04-21,4674,34,123,33,1454
86306,11976,2017,2020-04-20 22:00:00,2020-04-20,3977,33,127,32,1523
82329,10453,1890,2020-04-19 22:00:00,2020-04-19,3783,32,121,31,1822
78546,8631,1769,2020-04-18 22:00:00,2020-04-18,4353,31,126,30,1542
74193,7089,1643,2020-04-17 22:00:00,2020-04-17,4801,30,125,29,1415
69392,5674,1518,2020-04-16 22:00:00,2020-04-16,4281,29,115,28,875
65111,4799,1403,2020-04-15 22:00:00,2020-04-15,4062,28,107,27,842
61049,3957,1296,2020-04-14 22:00:00,2020-04-14,4093,27,98,26,511
56956,3446,1198,2020-04-13 22:00:00,2020-04-13,4789,26,97,25,481
52167,2965,1101,2020-04-12 22:00:00,2020-04-12,5138,25,95,24,542
47029,2423,1006,2020-04-11 22:00:00,2020-04-11,4747,24,98,23,281
42282,2142,908,2020-04-10 22:00:00,2020-04-10,4056,23,96,22,296
38226,1846,812,2020-04-09 22:00:00,2020-04-09,4117,22,87,21,264
34109,1582,725,2020-04-08 22:00:00,2020-04-08,3892,21,76,20,256
30217,1326,649,2020-04-07 22:00:00,2020-04-07,3148,20,75,19,284
27069,1042,574,2020-04-06 22:00:00,2020-04-06,3135,19,73,18,256
23934,786,501,2020-04-05 22:00:00,2020-04-05,3013,18,76,17,302
20921,484,425,2020-04-04 21:00:00,2020-04-04,2786,17,69,16,69
