Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
84279,344,10612,2020-04-13 22:00:00,2020-04-13,5288,39,737,36,0
78991,344,9875,2020-04-12 22:00:00,2020-04-12,5233,38,917,35,0
73758,344,8958,2020-04-11 22:00:00,2020-04-11,8681,37,980,34,209
65077,135,7978,2020-04-10 22:00:00,2020-04-10,4344,36,881,33,0
60733,135,7097,2020-04-09 22:00:00,2020-04-09,5491,35,938,32,0
55242,135,6159,2020-04-08 22:00:00,2020-04-08,3634,34,786,31,0
51608,135,5373,2020-04-07 22:00:00,2020-04-07,3802,33,439,30,0
47806,135,4934,2020-04-06 22:00:00,2020-04-06,5903,32,621,29,0
41903,135,4313,2020-04-05 22:00:00,2020-04-05,3735,31,708,28,0
38168,135,3605,2020-04-04 21:00:00,2020-04-04,4450,30,684,27,0
33718,135,2921,2020-04-03 21:00:00,2020-04-03,4244,29,569,26,0
29474,135,2352,2020-04-02 21:00:00,2020-04-02,4324,28,563,25,0
25150,135,1789,2020-04-01 21:00:00,2020-04-01,3009,27,381,24,0
22141,135,1408,2020-03-31 21:00:00,2020-03-31,2619,26,180,23,0
19522,135,1228,2020-03-30 21:00:00,2020-03-30,2433,25,209,22,0
17089,135,1019,2020-03-29 21:00:00,2020-03-29,2546,24,260,21,0
14543,135,759,2020-03-28 21:00:00,2020-03-28,2885,23,181,20,0
11658,135,578,2020-03-27 21:10:00,2020-03-27,2129,22,113,19,0
9529,135,465,2020-03-26 22:20:00,2020-03-26,1302,21,38,18,0
8227,135,427,2020-03-25 23:20:00,2020-03-25,1577,20,92,17,0
6650,135,335,2020-03-24 21:20:00,2020-03-24,967,19,54,16,0
5683,135,281,2020-03-23 21:40:00,2020-03-23,665,18,48,15,42
5018,93,233,2020-03-22 21:00:00,2020-03-22,1035,17,56,14,28
3983,65,177,2020-03-21 21:00:00,2020-03-21,714,16,33,13,0
3269,65,144,2020-03-20 21:20:00,2020-03-20,643,15,40,12,0
2626,65,104,2020-03-19 21:30:00,2020-03-19,676,14,33,11,0
1950,65,71,2020-03-18 22:00:00,2020-03-18,407,13,16,10,13
1543,52,55,2020-03-17 21:00:00,2020-03-17,152,12,20,9,32
1391,20,35,2020-03-16 21:00:00,2020-03-16,251,11,14,8,2
1140,18,21,2020-03-15 21:00:00,2020-03-15,342,10,10,7,0
798,18,11,2020-03-14 21:00:00,2020-03-14,208,9,1,6,0
590,18,10,2020-03-13 21:00:00,2020-03-13,134,8,2,5,0
456,18,8,2020-03-12 21:00:00,2020-03-12,73,7,2,4,0
383,18,6,2020-03-11 21:00:00,2020-03-11,62,6,1,3,0
321,18,5,2020-03-10 21:00:00,2020-03-10,41,5,2,2,0
280,18,3,2020-03-09 21:00:00,2020-03-09,71,4,1,1,0
209,18,2,2020-03-08 21:00:00,2020-03-08,45,3,0,0,0
164,18,2,2020-03-07 21:00:00,2020-03-07,48,2,1,0,0
116,18,1,2020-03-06 21:00:00,2020-03-06,26,1,1,0,10
90,8,0,2020-03-05 21:00:00,2020-03-05,37,0,0,0,0
53,8,0,2020-03-04 21:00:00,2020-03-04,12,0,0,0,0
41,8,0,2020-03-03 21:00:00,2020-03-03,5,0,0,0,0
36,8,0,2020-03-02 21:00:00,2020-03-02,13,0,0,0,0
23,8,0,2020-03-01 21:00:00,2020-03-01,3,0,0,0,0
20,8,0,2020-02-29 21:00:00,2020-02-29,1,0,0,0,0
19,8,0,2020-02-28 21:00:00,2020-02-28,4,0,0,0,0
15,8,0,2020-02-27 21:00:00,2020-02-27,2,0,0,0,0
13,8,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
13,8,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
13,8,0,2020-02-24 21:00:00,2020-02-24,4,0,0,0,0
9,8,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
9,8,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
9,8,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
9,8,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
9,8,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
9,8,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
9,8,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
9,8,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,7
9,1,0,2020-02-15 21:00:00,2020-02-15,0,0,0,0,0
9,1,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0,0
9,1,0,2020-02-13 21:00:00,2020-02-13,1,0,0,0,0
8,1,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0,1
8,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0,0,0
8,0,0,2020-02-10 21:00:00,2020-02-10,5,0,0,0,0
3,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0,0,0
3,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0,0,0
3,0,0,2020-02-07 21:00:00,2020-02-07,1,0,0,0,0
2,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0,0,0
2,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0,0,0
