Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
17116,8536,38,2020-07-01 22:00:00,2020-07-01,0,69,0,69,0
17116,8536,38,2020-06-30 22:00:00,2020-06-30,1539,68,1,68,292
15577,8244,37,2020-06-29 22:00:00,2020-06-29,0,67,0,67,0
15577,8244,37,2020-06-28 22:00:00,2020-06-28,0,66,0,66,0
15577,8244,37,2020-06-27 22:00:00,2020-06-27,965,65,0,65,289
14612,7955,37,2020-06-26 22:00:00,2020-06-26,539,64,1,64,73
14073,7882,36,2020-06-25 22:00:00,2020-06-25,0,63,0,63,0
14073,7882,36,2020-06-24 22:00:00,2020-06-24,0,62,0,62,0
14073,7882,36,2020-06-23 22:00:00,2020-06-23,841,61,0,61,277
13232,7605,36,2020-06-22 22:00:00,2020-06-22,0,60,0,60,0
13232,7605,36,2020-06-21 22:00:00,2020-06-21,0,59,0,59,0
13232,7605,36,2020-06-20 22:00:00,2020-06-20,626,58,0,58,313
12606,7292,36,2020-06-19 22:00:00,2020-06-19,0,57,0,57,0
12606,7292,36,2020-06-18 22:00:00,2020-06-18,454,56,0,56,264
12152,7028,36,2020-06-17 22:00:00,2020-06-17,0,55,0,55,0
12152,7028,36,2020-06-16 22:00:00,2020-06-16,713,54,0,54,219
11439,6809,36,2020-06-15 22:00:00,2020-06-15,0,53,0,53,0
11439,6809,36,2020-06-14 22:00:00,2020-06-14,0,52,0,52,0
11439,6809,36,2020-06-13 22:00:00,2020-06-13,356,51,0,51,187
11083,6622,36,2020-06-12 22:00:00,2020-06-12,0,50,0,50,0
11083,6622,36,2020-06-11 22:00:00,2020-06-11,261,49,0,49,294
10822,6328,36,2020-06-10 22:00:00,2020-06-10,0,48,0,48,0
10822,6328,36,2020-06-09 22:00:00,2020-06-09,537,47,0,47,525
10285,5803,36,2020-06-08 22:00:00,2020-06-08,0,46,0,46,0
10285,5803,36,2020-06-07 22:00:00,2020-06-07,0,45,0,45,0
10285,5803,36,2020-06-06 22:00:00,2020-06-06,0,44,0,44,0
10285,5803,36,2020-06-05 22:00:00,2020-06-05,82,43,0,43,99
10203,5704,36,2020-06-04 22:00:00,2020-06-04,318,42,0,42,196
9885,5508,36,2020-06-03 22:00:00,2020-06-03,0,41,0,41,0
9885,5508,36,2020-06-02 22:00:00,2020-06-02,436,40,0,40,192
9449,5316,36,2020-06-01 22:00:00,2020-06-01,0,39,0,39,0
9449,5316,36,2020-05-31 22:00:00,2020-05-31,0,38,0,38,0
9449,5316,36,2020-05-30 22:00:00,2020-05-30,97,37,0,37,100
9352,5216,36,2020-05-29 22:00:00,2020-05-29,76,36,1,36,55
9276,5161,35,2020-05-28 22:00:00,2020-05-28,103,35,0,35,47
9173,5114,35,2020-05-27 22:00:00,2020-05-27,223,34,3,34,501
8950,4613,32,2020-05-26 22:00:00,2020-05-26,0,33,0,33,0
8950,4613,32,2020-05-25 22:00:00,2020-05-25,0,32,0,32,0
8950,4613,32,2020-05-24 22:00:00,2020-05-24,0,31,0,31,0
8950,4613,32,2020-05-23 22:00:00,2020-05-23,91,30,2,30,2
8859,4611,30,2020-05-22 22:00:00,2020-05-22,95,29,1,29,104
8764,4507,29,2020-05-21 22:00:00,2020-05-21,67,28,1,28,109
8697,4398,28,2020-05-20 22:00:00,2020-05-20,61,27,0,27,56
8636,4342,28,2020-05-19 22:00:00,2020-05-19,262,26,1,26,392
8374,3950,27,2020-05-18 22:00:00,2020-05-18,0,25,0,25,0
8374,3950,27,2020-05-17 22:00:00,2020-05-17,0,24,0,24,0
8374,3950,27,2020-05-16 22:00:00,2020-05-16,77,23,0,23,118
8297,3832,27,2020-05-15 22:00:00,2020-05-15,87,22,0,22,150
8210,3682,27,2020-05-14 22:00:00,2020-05-14,80,21,0,21,157
8130,3525,27,2020-05-13 22:00:00,2020-05-13,84,20,0,20,61
8046,3464,27,2020-05-12 22:00:00,2020-05-12,220,19,0,19,308
7826,3156,27,2020-05-11 22:00:00,2020-05-11,0,18,0,18,0
7826,3156,27,2020-05-10 22:00:00,2020-05-10,0,17,0,17,0
7826,3156,27,2020-05-09 22:00:00,2020-05-09,124,16,0,16,95
7702,3061,27,2020-05-08 22:00:00,2020-05-08,98,15,0,15,66
7604,2995,27,2020-05-07 22:00:00,2020-05-07,78,14,0,14,58
7526,2937,27,2020-05-06 22:00:00,2020-05-06,564,13,0,13,674
6962,2263,27,2020-05-05 22:00:00,2020-05-05,0,12,0,12,0
6962,2263,27,2020-05-04 22:00:00,2020-05-04,0,11,0,11,0
6962,2263,27,2020-05-03 22:00:00,2020-05-03,0,10,0,10,0
6962,2263,27,2020-05-02 22:00:00,2020-05-02,0,9,0,9,0
6962,2263,27,2020-05-01 22:00:00,2020-05-01,749,8,1,8,316
6213,1947,26,2020-04-30 22:00:00,2020-04-30,0,7,0,7,0
6213,1947,26,2020-04-29 22:00:00,2020-04-29,0,6,0,6,0
6213,1947,26,2020-04-28 22:00:00,2020-04-28,0,5,0,5,0
6213,1947,26,2020-04-27 22:00:00,2020-04-27,0,4,0,4,0
6213,1947,26,2020-04-26 22:00:00,2020-04-26,0,3,0,3,0
6213,1947,26,2020-04-25 22:00:00,2020-04-25,312,2,1,2,237
5901,1710,25,2020-04-24 22:00:00,2020-04-24,5901,1,25,1,1710
