Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
2696456,830501,128991,2020-07-01 22:00:00,2020-07-01,46698,121,762,121,9486
2649758,821015,128229,2020-06-30 22:00:00,2020-06-30,43797,120,322,120,29891
2605961,791124,127907,2020-06-29 22:00:00,2020-06-29,39461,119,251,119,6459
2566500,784665,127656,2020-06-28 22:00:00,2020-06-28,42554,118,506,118,5908
2523946,778757,127150,2020-06-27 22:00:00,2020-06-27,47523,117,733,117,12515
2476423,766242,126417,2020-06-26 22:00:00,2020-06-26,42122,116,2506,116,17883
2434301,748359,123911,2020-06-25 22:00:00,2020-06-25,34513,115,765,115,6913
2399788,741446,123146,2020-06-24 22:00:00,2020-06-24,35557,114,843,114,6825
2364231,734621,122303,2020-06-23 22:00:00,2020-06-23,32423,113,375,113,11754
2331808,722867,121928,2020-06-22 22:00:00,2020-06-22,25999,112,266,112,5267
2305809,717600,121662,2020-06-21 22:00:00,2020-06-21,32416,111,601,111,11283
2273393,706317,121061,2020-06-20 22:00:00,2020-06-20,32671,110,694,110,5784
2240722,700533,120367,2020-06-19 22:00:00,2020-06-19,28224,109,723,109,10843
2212498,689690,119644,2020-06-18 22:00:00,2020-06-18,26476,108,774,108,8593
2186022,681097,118870,2020-06-17 22:00:00,2020-06-17,23759,107,898,107,6255
2162263,674842,117972,2020-06-16 22:00:00,2020-06-16,20851,106,384,106,19298
2141412,655544,117588,2020-06-15 22:00:00,2020-06-15,19451,105,305,105,4084
2121961,651460,117283,2020-06-14 22:00:00,2020-06-14,25492,104,773,104,4712
2096469,646748,116510,2020-06-13 22:00:00,2020-06-13,26707,103,863,103,23960
2069762,622788,115647,2020-06-12 22:00:00,2020-06-12,22900,102,897,102,14827
2046862,607961,114750,2020-06-11 22:00:00,2020-06-11,20947,101,937,101,4769
2025915,603192,113813,2020-06-10 22:00:00,2020-06-10,19425,100,1060,100,70240
2006490,532952,112753,2020-06-09 22:00:00,2020-06-09,19803,99,528,99,6148
1986687,526804,112225,2020-06-08 22:00:00,2020-06-08,22493,98,711,98,74140
1964194,452664,111514,2020-06-07 22:00:00,2020-06-07,22321,97,673,97,2456
1941873,450208,110841,2020-06-06 22:00:00,2020-06-06,25672,96,964,96,16201
1916201,434007,109877,2020-06-05 22:00:00,2020-06-05,21822,95,1067,95,7127
1894379,426880,108810,2020-06-04 22:00:00,2020-06-04,20451,94,1011,94,4975
1873928,421905,107799,2020-06-03 22:00:00,2020-06-03,22051,93,1100,93,8752
1851877,413153,106699,2020-06-02 22:00:00,2020-06-02,21867,92,777,92,11656
1830010,401497,105922,2020-06-01 22:00:00,2020-06-01,19692,91,602,91,9865
1810318,391632,105320,2020-05-31 22:00:00,2020-05-31,23326,90,1011,90,5720
1786992,385912,104309,2020-05-30 22:00:00,2020-05-30,25417,89,1219,89,6141
1761575,379771,103090,2020-05-29 22:00:00,2020-05-29,22016,88,1178,88,6670
1739559,373101,101912,2020-05-28 22:00:00,2020-05-28,19323,87,1579,87,7158
1720236,365943,100333,2020-05-27 22:00:00,2020-05-27,19358,86,727,86,11884
1700878,354059,99606,2020-05-26 22:00:00,2020-05-26,19611,85,1417,85,7499
1681267,346560,98189,2020-05-25 22:00:00,2020-05-25,20669,84,622,84,10077
1660598,336483,97567,2020-05-24 22:00:00,2020-05-24,21475,83,1058,83,17968
1639123,318515,96509,2020-05-23 22:00:00,2020-05-23,24231,82,1239,82,8644
1614892,309871,95270,2020-05-22 22:00:00,2020-05-22,26212,81,1289,81,6526
1588680,303345,93981,2020-05-21 22:00:00,2020-05-21,25878,80,1510,80,4411
1562802,298934,92471,2020-05-20 22:00:00,2020-05-20,20207,79,1585,79,8484
1542595,290450,90886,2020-05-19 22:00:00,2020-05-19,23185,78,804,78,9149
1519410,281301,90082,2020-05-18 22:00:00,2020-05-18,18802,77,518,77,7987
1500608,273314,89564,2020-05-17 22:00:00,2020-05-17,24419,76,1222,76,13816
1476189,259498,88342,2020-05-16 22:00:00,2020-05-16,25896,75,1642,75,6885
1450293,252613,86700,2020-05-15 22:00:00,2020-05-15,27180,74,1797,74,8864
1423113,243749,84903,2020-05-14 22:00:00,2020-05-14,21058,73,1694,73,6299
1402055,237450,83209,2020-05-13 22:00:00,2020-05-13,22172,72,1603,72,17338
1379883,220112,81606,2020-05-12 22:00:00,2020-05-12,17552,71,909,71,10656
1362331,209456,80697,2020-05-11 22:00:00,2020-05-11,18293,70,889,70,8359
1344038,201097,79808,2020-05-10 22:00:00,2020-05-10,25256,69,1486,69,20098
1318782,180999,78322,2020-05-09 22:00:00,2020-05-09,27800,68,1670,68,6101
1290982,174898,76652,2020-05-08 22:00:00,2020-05-08,28906,67,1960,67,5849
1262076,169049,74692,2020-05-07 22:00:00,2020-05-07,25579,66,2558,66,4531
1236497,164518,72134,2020-05-06 22:00:00,2020-05-06,25759,65,2424,65,4485
1210738,160033,69710,2020-05-05 22:00:00,2020-05-05,24416,64,1469,64,6597
1186322,153436,68241,2020-05-04 22:00:00,2020-05-04,25807,63,1067,63,1743
1160515,151693,67174,2020-05-03 22:00:00,2020-05-03,28086,62,1576,62,16160
1132429,135533,65598,2020-05-02 22:00:00,2020-05-02,35015,61,1748,61,5585
1097414,129948,63850,2020-05-01 22:00:00,2020-05-01,31420,60,2245,60,3421
1065994,126527,61605,2020-04-30 22:00:00,2020-04-30,29341,59,2544,59,8067
1036653,118460,59061,2020-04-29 22:00:00,2020-04-29,24687,58,2280,58,4406
1011966,114054,56781,2020-04-28 22:00:00,2020-04-28,24389,57,1268,57,4553
987577,109501,55513,2020-04-27 22:00:00,2020-04-27,27202,56,1259,56,1229
960375,108272,54254,2020-04-26 22:00:00,2020-04-26,31722,55,1766,55,6768
928653,101504,52488,2020-04-25 22:00:00,2020-04-25,37007,54,2037,54,18505
891646,82999,50451,2020-04-24 22:00:00,2020-04-24,47299,53,2825,53,6396
844347,76603,47626,2020-04-23 22:00:00,2020-04-23,28804,52,2583,52,2693
815543,73910,45043,2020-04-22 22:00:00,2020-04-22,26276,51,2458,51,1964
789267,71946,42585,2020-04-21 22:00:00,2020-04-21,28296,50,1767,50,2269
760971,69677,40818,2020-04-20 22:00:00,2020-04-20,24555,49,1565,49,4148
736416,65529,39253,2020-04-19 22:00:00,2020-04-19,28591,48,2026,48,7054
707825,58475,37227,2020-04-18 22:00:00,2020-04-18,35371,47,6399,47,3283
672454,55192,30828,2020-04-17 22:00:00,2020-04-17,31876,46,2209,46,3102
640578,52090,28619,2020-04-16 22:00:00,2020-04-16,30062,45,2523,45,2750
610516,49340,26096,2020-04-15 22:00:00,2020-04-15,26624,44,2411,44,5620
583892,43720,23685,2020-04-14 22:00:00,2020-04-14,25221,43,1542,43,2240
558671,41480,22143,2020-04-13 22:00:00,2020-04-13,27691,42,1507,42,9669
530980,31811,20636,2020-04-12 22:00:00,2020-04-12,28430,41,1834,41,2919
502550,28892,18802,2020-04-11 22:00:00,2020-04-11,35704,40,2096,40,2594
466846,26298,16706,2020-04-10 22:00:00,2020-04-10,34412,39,1883,39,2397
432434,23901,14823,2020-04-09 22:00:00,2020-04-09,32512,38,1897,38,1563
399922,22338,12926,2020-04-08 22:00:00,2020-04-08,31835,37,1934,37,2419
368087,19919,10992,2020-04-07 22:00:00,2020-04-07,30507,36,1340,36,2338
337580,17581,9652,2020-04-06 22:00:00,2020-04-06,25609,35,1150,35,2560
311971,15021,8502,2020-04-05 22:00:00,2020-04-05,33732,34,1344,34,5124
278239,9897,7158,2020-04-04 21:00:00,2020-04-04,32856,33,1100,33,669
245383,9228,6058,2020-04-03 21:00:00,2020-04-03,28779,32,916,32,556
216604,8672,5142,2020-04-02 21:00:00,2020-04-02,26958,31,1061,31,1421
189646,7251,4081,2020-04-01 21:00:00,2020-04-01,24982,30,901,30,1744
164664,5507,3180,2020-03-31 21:00:00,2020-03-31,21569,29,663,29,945
143095,4562,2517,2020-03-30 21:00:00,2020-03-30,18402,28,321,28,1324
124693,3238,2196,2020-03-29 21:00:00,2020-03-29,19849,27,480,27,713
104844,2525,1716,2020-03-28 21:00:00,2020-03-28,18805,26,412,26,657
86039,1868,1304,2020-03-27 21:10:00,2020-03-27,16821,25,254,25,1497
69218,371,1050,2020-03-26 22:20:00,2020-03-26,13980,24,248,24,0
55238,371,802,2020-03-25 23:20:00,2020-03-25,8779,23,209,23,194
46459,177,593,2020-03-24 21:20:00,2020-03-24,11227,22,121,22,1
35232,176,472,2020-03-23 21:40:00,2020-03-23,8346,21,126,21,0
26886,176,346,2020-03-22 21:00:00,2020-03-22,7124,20,73,20,159
19762,17,273,2020-03-21 21:00:00,2020-03-21,5428,19,61,19,0
14334,17,212,2020-03-20 21:20:00,2020-03-20,4910,18,59,18,0
9424,17,153,2020-03-19 21:30:00,2020-03-19,2916,17,38,17,0
6508,17,115,2020-03-18 22:00:00,2020-03-18,1772,16,23,16,0
4736,17,92,2020-03-17 21:00:00,2020-03-17,937,15,23,15,5
3799,12,69,2020-03-16 21:00:00,2020-03-16,753,14,9,14,0
3046,12,60,2020-03-15 21:00:00,2020-03-15,718,13,10,13,0
2328,12,50,2020-03-14 21:00:00,2020-03-14,574,12,10,12,0
1754,12,40,2020-03-13 21:00:00,2020-03-13,428,11,3,11,4
1326,8,37,2020-03-12 21:00:00,2020-03-12,284,10,6,10,0
1042,8,31,2020-03-11 21:00:00,2020-03-11,291,9,5,9,0
751,8,26,2020-03-10 21:00:00,2020-03-10,179,8,4,8,0
572,8,22,2020-03-09 21:00:00,2020-03-09,112,7,3,7,0
460,8,19,2020-03-08 21:00:00,2020-03-08,118,6,4,6,0
342,8,15,2020-03-07 21:00:00,2020-03-07,108,5,2,5,0
234,8,13,2020-03-06 21:00:00,2020-03-06,72,4,2,4,1
162,7,11,2020-03-05 21:00:00,2020-03-05,33,3,2,3,0
129,7,9,2020-03-04 21:00:00,2020-03-04,22,2,3,2,0
107,7,6,2020-03-03 21:00:00,2020-03-03,21,1,4,1,0
86,7,2,2020-03-02 21:00:00,2020-03-02,15,0,1,0,0
71,7,1,2020-03-01 21:00:00,2020-03-01,5,0,1,0,1
66,6,0,2020-02-29 21:00:00,2020-02-29,6,0,0,0,0
60,6,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,1
60,5,0,2020-02-27 21:00:00,2020-02-27,3,0,0,0,0
57,5,0,2020-02-26 21:00:00,2020-02-26,4,0,0,0,0
53,5,0,2020-02-25 21:00:00,2020-02-25,18,0,0,0,0
35,5,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
35,5,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
35,5,0,2020-02-22 21:00:00,2020-02-22,8,0,0,0,2
27,3,0,2020-02-21 21:00:00,2020-02-21,12,0,0,0,0
15,3,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
15,3,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
15,3,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
15,3,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
15,3,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
15,3,0,2020-02-15 21:00:00,2020-02-15,0,0,0,0,0
15,3,0,2020-02-14 21:00:00,2020-02-14,1,0,0,0,0
14,3,0,2020-02-13 21:00:00,2020-02-13,1,0,0,0,0
13,3,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0,1
13,2,0,2020-02-11 20:30:00,2020-02-11,1,0,0,0,0
