Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
2203,61,69,2020-04-10 22:00:00,2020-04-10,311,17,12,22,16
1892,45,57,2020-04-09 22:00:00,2020-04-09,224,16,5,21,10
1668,35,52,2020-04-08 22:00:00,2020-04-08,206,15,7,20,7
1462,28,45,2020-04-07 22:00:00,2020-04-07,143,14,7,19,0
1319,28,38,2020-04-06 22:00:00,2020-04-06,68,13,6,18,3
1251,25,32,2020-04-05 22:00:00,2020-04-05,155,12,4,17,2
1096,23,28,2020-04-04 21:00:00,2020-04-04,154,11,5,16,4
942,19,23,2020-04-03 21:00:00,2020-04-03,138,10,3,15,6
804,13,20,2020-04-02 21:00:00,2020-04-02,135,9,3,14,3
669,10,17,2020-04-01 21:00:00,2020-04-01,120,8,4,13,2
549,8,13,2020-03-31 21:00:00,2020-03-31,69,7,2,12,2
480,6,11,2020-03-30 21:00:00,2020-03-30,62,6,2,11,1
418,5,9,2020-03-29 21:00:00,2020-03-29,107,5,1,10,0
311,5,8,2020-03-28 21:00:00,2020-03-28,85,4,3,9,1
226,4,5,2020-03-27 21:10:00,2020-03-27,70,3,0,8,3
156,1,5,2020-03-26 22:20:00,2020-03-26,43,2,1,7,0
113,1,4,2020-03-25 23:20:00,2020-03-25,16,1,1,6,0
97,1,3,2020-03-24 21:20:00,2020-03-24,24,0,0,5,0
73,1,3,2020-03-23 21:40:00,2020-03-23,26,0,0,4,0
47,1,3,2020-03-22 21:00:00,2020-03-22,6,0,0,3,0
41,1,3,2020-03-21 21:00:00,2020-03-21,15,0,0,2,0
26,1,3,2020-03-20 21:20:00,2020-03-20,10,0,1,1,1
16,0,2,2020-03-19 21:30:00,2020-03-19,2,0,0,0,0
14,0,2,2020-03-18 22:00:00,2020-03-18,7,0,1,0,0
7,0,1,2020-03-17 21:00:00,2020-03-17,2,0,0,0,0
5,0,1,2020-03-16 21:00:00,2020-03-16,2,0,0,0,0
3,0,1,2020-03-15 21:00:00,2020-03-15,0,0,0,0,0
3,0,1,2020-03-14 21:00:00,2020-03-14,0,0,1,0,0
3,0,0,2020-03-13 21:00:00,2020-03-13,2,0,0,0,0
1,0,0,2020-03-12 21:00:00,2020-03-12,0,0,0,0,0
1,0,0,2020-03-11 21:00:00,2020-03-11,0,0,0,0,0
1,0,0,2020-03-10 21:00:00,2020-03-10,0,0,0,0,0
1,0,0,2020-03-09 21:00:00,2020-03-09,0,0,0,0,0
1,0,0,2020-03-08 21:00:00,2020-03-08,0,0,0,0,0
1,0,0,2020-03-07 21:00:00,2020-03-07,0,0,0,0,0
1,0,0,2020-03-06 21:00:00,2020-03-06,0,0,0,0,0
1,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0,0,0
1,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
1,0,0,2020-03-03 21:00:00,2020-03-03,1,0,0,0,0
0,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
