Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed
198,41,2,2020-03-24 17:00:00,2020-03-24,45,7
153,38,2,2020-03-23 22:40:00,2020-03-23,0,6
153,38,2,2020-03-22 22:00:00,2020-03-22,13,5
140,31,2,2020-03-21 22:00:00,2020-03-21,0,4
140,31,0,2020-03-20 22:20:00,2020-03-20,27,3
113,26,0,2020-03-19 22:30:00,2020-03-19,0,2
113,26,0,2020-03-18 23:00:00,2020-03-18,15,1
98,23,0,2020-03-17 22:00:00,2020-03-17,0,0
98,23,0,2020-03-16 22:00:00,2020-03-16,12,0
86,20,0,2020-03-15 22:00:00,2020-03-15,1,0
85,20,0,2020-03-14 22:00:00,2020-03-14,0,0
85,20,0,2020-03-13 22:00:00,2020-03-13,11,0
74,17,0,2020-03-12 22:00:00,2020-03-12,0,0
74,17,0,2020-03-11 22:00:00,2020-03-11,0,0
74,12,0,2020-03-10 22:00:00,2020-03-10,29,0
45,7,0,2020-03-09 22:00:00,2020-03-09,0,0
45,7,0,2020-03-08 22:00:00,2020-03-08,0,0
45,7,0,2020-03-07 22:00:00,2020-03-07,17,0
28,5,0,2020-03-06 22:00:00,2020-03-06,0,0
28,5,0,2020-03-05 22:00:00,2020-03-05,1,0
27,5,0,2020-03-04 22:00:00,2020-03-04,6,0
21,5,0,2020-03-03 22:00:00,2020-03-03,0,0
21,5,0,2020-03-02 22:00:00,2020-03-02,0,0
21,5,0,2020-03-01 22:00:00,2020-03-01,2,0
19,5,0,2020-02-29 22:00:00,2020-02-29,0,0
19,5,0,2020-02-28 22:00:00,2020-02-28,6,0
13,3,0,2020-02-27 22:00:00,2020-02-27,0,0
13,3,0,2020-02-26 22:00:00,2020-02-26,0,0
13,3,0,2020-02-25 22:00:00,2020-02-25,0,0
13,3,0,2020-02-24 22:00:00,2020-02-24,0,0
13,3,0,2020-02-23 22:00:00,2020-02-23,2,0
11,3,0,2020-02-22 22:00:00,2020-02-22,2,0
9,3,0,2020-02-21 22:00:00,2020-02-21,0,0
9,3,0,2020-02-20 22:00:00,2020-02-20,0,0
9,3,0,2020-02-19 22:00:00,2020-02-19,0,0
9,3,0,2020-02-18 22:00:00,2020-02-18,0,0
9,3,0,2020-02-17 22:00:00,2020-02-17,1,0
8,3,0,2020-02-16 22:00:00,2020-02-16,0,0
8,1,0,2020-02-15 22:00:00,2020-02-15,0,0
8,1,0,2020-02-14 22:00:00,2020-02-14,0,0
8,1,0,2020-02-13 22:00:00,2020-02-13,0,0
8,1,0,2020-02-12 22:00:00,2020-02-12,0,0
8,0,0,2020-02-11 21:30:00,2020-02-11,1,0
7,0,0,2020-02-10 22:00:00,2020-02-10,0,0
7,0,0,2020-02-09 22:00:00,2020-02-09,0,0
7,0,0,2020-02-08 22:00:00,2020-02-08,2,0
5,0,0,2020-02-07 22:00:00,2020-02-07,0,0
5,0,0,2020-02-06 22:00:00,2020-02-06,0,0
5,0,0,2020-02-05 22:00:00,2020-02-05,0,0
5,0,0,2020-02-04 21:00:00,2020-02-04,0,0
5,0,0,2020-02-03 21:00:00,2020-02-03,0,0
5,0,0,2020-02-02 21:00:00,2020-02-02,1,0
4,0,0,2020-02-01 11:00:00,2020-02-01,0,0
4,0,0,2020-01-31 13:30:00,2020-01-31,0,0
4,0,0,2020-01-30 13:00:00,2020-01-30,4,0
0,0,0,2020-01-29 15:00:00,2020-01-29,0,0
0,0,0,2020-01-28 12:30:00,2020-01-28,0,0
0,0,0,2020-01-27 15:00:00,2020-01-27,0,0
0,0,0,2020-01-26 14:00:00,2020-01-26,0,0
0,0,0,2020-01-25 16:00:00,2020-01-25,0,0
0,0,0,2020-01-24 16:00:00,2020-01-24,0,0
0,0,0,2020-01-23 16:00:00,2020-01-23,0,0
0,0,0,2020-01-22 16:00:00,2020-01-22,0,0
0,0,0,2020-01-21 16:00:00,2020-01-21,0,0
