Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
517,298,9,2020-04-19 22:00:00,2020-04-19,9,30,0,17,4
508,294,9,2020-04-18 22:00:00,2020-04-18,6,29,0,16,8
502,286,9,2020-04-17 22:00:00,2020-04-17,9,28,0,15,14
493,272,9,2020-04-16 22:00:00,2020-04-16,1,27,1,14,12
492,260,8,2020-04-15 22:00:00,2020-04-15,9,26,0,13,12
483,248,8,2020-04-14 22:00:00,2020-04-14,3,25,0,12,17
480,231,8,2020-04-13 22:00:00,2020-04-13,-21,24,1,11,7
501,224,7,2020-04-12 22:00:00,2020-04-12,7,23,0,10,10
494,214,7,2020-04-11 22:00:00,2020-04-11,21,22,0,9,8
473,206,7,2020-04-10 22:00:00,2020-04-10,17,21,0,8,14
456,192,7,2020-04-09 22:00:00,2020-04-09,32,20,0,7,42
424,150,7,2020-04-08 22:00:00,2020-04-08,9,19,1,6,27
415,123,6,2020-04-07 22:00:00,2020-04-07,9,18,0,5,19
406,104,6,2020-04-06 22:00:00,2020-04-06,6,17,1,4,11
400,93,5,2020-04-05 22:00:00,2020-04-05,14,16,1,3,7
386,86,4,2020-04-04 21:00:00,2020-04-04,17,15,0,2,18
369,68,4,2020-04-03 21:00:00,2020-04-03,19,14,2,1,6
350,62,2,2020-04-02 21:00:00,2020-04-02,12,13,1,0,21
338,41,1,2020-04-01 21:00:00,2020-04-01,18,12,0,0,16
320,25,1,2020-03-31 21:00:00,2020-03-31,16,11,0,0,25
304,0,1,2020-03-30 21:00:00,2020-03-30,0,10,0,0,0
304,0,1,2020-03-29 21:00:00,2020-03-29,30,9,1,0,0
274,0,0,2020-03-28 21:00:00,2020-03-28,36,8,0,0,0
238,0,0,2020-03-27 21:10:00,2020-03-27,21,7,0,0,0
217,0,0,2020-03-26 22:20:00,2020-03-26,28,6,0,0,0
189,0,0,2020-03-25 23:20:00,2020-03-25,27,5,0,0,0
162,0,0,2020-03-24 21:20:00,2020-03-24,4,4,0,0,0
158,0,0,2020-03-23 21:40:00,2020-03-23,23,3,0,0,0
135,0,0,2020-03-22 21:00:00,2020-03-22,25,2,0,0,0
110,0,0,2020-03-21 21:00:00,2020-03-21,16,1,0,0,0
94,0,0,2020-03-20 21:20:00,2020-03-20,15,0,0,0,0
79,0,0,2020-03-19 21:30:00,2020-03-19,29,0,0,0,0
50,0,0,2020-03-18 22:00:00,2020-03-18,21,0,0,0,0
29,0,0,2020-03-17 21:00:00,2020-03-17,21,0,0,0,0
8,0,0,2020-03-16 21:00:00,2020-03-16,2,0,0,0,0
6,0,0,2020-03-15 21:00:00,2020-03-15,2,0,0,0,0
4,0,0,2020-03-14 21:00:00,2020-03-14,4,0,0,0,0
0,0,0,2020-03-13 21:00:00,2020-03-13,0,0,0,0,0
0,0,0,2020-03-12 21:00:00,2020-03-12,0,0,0,0,0
0,0,0,2020-03-11 21:00:00,2020-03-11,0,0,0,0,0
0,0,0,2020-03-10 21:00:00,2020-03-10,0,0,0,0,0
0,0,0,2020-03-09 21:00:00,2020-03-09,0,0,0,0,0
0,0,0,2020-03-08 21:00:00,2020-03-08,0,0,0,0,0
0,0,0,2020-03-07 21:00:00,2020-03-07,0,0,0,0,0
0,0,0,2020-03-06 21:00:00,2020-03-06,0,0,0,0,0
0,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0,0,0
0,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
0,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
0,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
0,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
0,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
0,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
0,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
