Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
402,190,10,2020-05-10 22:00:00,2020-05-10,14,46,0,42,0
388,190,10,2020-05-09 22:00:00,2020-05-09,7,45,0,41,5
381,185,10,2020-05-08 22:00:00,2020-05-08,2,44,0,40,9
379,176,10,2020-05-07 22:00:00,2020-05-07,12,43,0,39,12
367,164,10,2020-05-06 22:00:00,2020-05-06,6,42,0,38,6
361,158,10,2020-05-05 22:00:00,2020-05-05,4,41,0,37,0
357,158,10,2020-05-04 22:00:00,2020-05-04,12,40,0,36,10
345,148,10,2020-05-03 22:00:00,2020-05-03,10,39,0,35,0
335,148,10,2020-05-02 22:00:00,2020-05-02,2,38,-6,34,6
333,142,16,2020-05-01 22:00:00,2020-05-01,2,37,6,33,0
331,142,10,2020-04-30 22:00:00,2020-04-30,2,36,0,32,0
329,142,10,2020-04-29 22:00:00,2020-04-29,0,35,0,31,0
329,142,10,2020-04-28 22:00:00,2020-04-28,4,34,0,30,5
325,137,10,2020-04-27 22:00:00,2020-04-27,2,33,0,29,5
323,132,10,2020-04-26 22:00:00,2020-04-26,5,32,0,28,0
318,132,10,2020-04-25 22:00:00,2020-04-25,7,31,0,27,6
311,126,10,2020-04-24 22:00:00,2020-04-24,13,30,0,26,4
298,122,10,2020-04-23 22:00:00,2020-04-23,10,29,0,25,0
288,122,10,2020-04-22 22:00:00,2020-04-22,3,28,0,24,5
285,117,10,2020-04-21 22:00:00,2020-04-21,29,27,1,23,0
256,117,9,2020-04-20 22:00:00,2020-04-20,29,26,0,22,0
227,117,9,2020-04-19 22:00:00,2020-04-19,0,25,0,21,4
227,113,9,2020-04-18 22:00:00,2020-04-18,23,24,0,20,2
204,111,9,2020-04-17 22:00:00,2020-04-17,7,23,0,19,0
197,111,9,2020-04-16 22:00:00,2020-04-16,0,22,0,18,0
197,111,9,2020-04-15 22:00:00,2020-04-15,8,21,0,17,1
189,110,9,2020-04-14 22:00:00,2020-04-14,8,20,0,16,17
181,93,9,2020-04-13 22:00:00,2020-04-13,6,19,0,15,0
175,93,9,2020-04-12 22:00:00,2020-04-12,0,18,0,14,9
175,84,9,2020-04-11 22:00:00,2020-04-11,4,17,0,13,0
171,84,9,2020-04-10 22:00:00,2020-04-10,4,16,0,12,19
167,65,9,2020-04-09 22:00:00,2020-04-09,1,15,2,11,0
