Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
1634,1549,19,2020-05-29 22:00:00,2020-05-29,6,73,0,65,5
1628,1544,19,2020-05-28 22:00:00,2020-05-28,10,72,0,64,5
1618,1539,19,2020-05-27 22:00:00,2020-05-27,8,71,0,63,6
1610,1533,19,2020-05-26 22:00:00,2020-05-26,5,70,0,62,13
1605,1520,19,2020-05-25 22:00:00,2020-05-25,2,69,0,61,22
1603,1498,19,2020-05-24 22:00:00,2020-05-24,1,68,0,60,14
1602,1484,19,2020-05-23 22:00:00,2020-05-23,9,67,1,59,5
1593,1479,18,2020-05-22 22:00:00,2020-05-22,12,66,0,58,6
1581,1473,18,2020-05-21 22:00:00,2020-05-21,1,65,0,57,8
1580,1465,18,2020-05-20 22:00:00,2020-05-20,7,64,0,56,11
1573,1454,18,2020-05-19 22:00:00,2020-05-19,6,63,0,55,15
1567,1439,18,2020-05-18 22:00:00,2020-05-18,6,62,0,54,22
1561,1417,18,2020-05-17 22:00:00,2020-05-17,7,61,0,53,0
1554,1417,18,2020-05-16 22:00:00,2020-05-16,11,60,0,52,11
1543,1406,18,2020-05-15 22:00:00,2020-05-15,20,59,0,51,9
1523,1397,18,2020-05-14 22:00:00,2020-05-14,9,58,0,50,12
1514,1385,18,2020-05-13 22:00:00,2020-05-13,5,57,0,49,8
1509,1377,18,2020-05-12 22:00:00,2020-05-12,13,56,0,48,14
1496,1363,18,2020-05-11 22:00:00,2020-05-11,9,55,0,47,17
1487,1346,18,2020-05-10 22:00:00,2020-05-10,10,54,0,46,10
1477,1336,18,2020-05-09 22:00:00,2020-05-09,10,53,0,45,9
1467,1327,18,2020-05-08 22:00:00,2020-05-08,13,52,0,44,5
1454,1322,18,2020-05-07 22:00:00,2020-05-07,14,51,0,43,1
1440,1321,18,2020-05-06 22:00:00,2020-05-06,17,50,0,42,10
1423,1311,18,2020-05-05 22:00:00,2020-05-05,17,49,0,41,1
1406,1310,18,2020-05-04 22:00:00,2020-05-04,22,48,0,40,10
1384,1300,18,2020-05-03 22:00:00,2020-05-03,13,47,0,39,0
1371,1300,18,2020-05-02 22:00:00,2020-05-02,7,46,0,38,7
1364,1293,18,2020-05-01 22:00:00,2020-05-01,3,45,0,37,2
1361,1291,18,2020-04-30 22:00:00,2020-04-30,7,44,0,36,4
1354,1287,18,2020-04-29 22:00:00,2020-04-29,3,43,1,35,7
1351,1280,17,2020-04-28 22:00:00,2020-04-28,2,42,0,34,0
1349,1280,17,2020-04-27 22:00:00,2020-04-27,0,41,0,33,15
1349,1265,17,2020-04-26 22:00:00,2020-04-26,3,40,1,32,3
1346,1262,16,2020-04-25 22:00:00,2020-04-25,3,39,0,31,8
1343,1254,16,2020-04-24 22:00:00,2020-04-24,6,38,0,30,3
1337,1251,16,2020-04-23 22:00:00,2020-04-23,1,37,1,29,8
1336,1243,15,2020-04-22 22:00:00,2020-04-22,0,36,0,28,41
1336,1202,15,2020-04-21 22:00:00,2020-04-21,7,35,0,27,6
1329,1196,15,2020-04-20 22:00:00,2020-04-20,1,34,0,26,8
1328,1188,15,2020-04-19 22:00:00,2020-04-19,9,33,1,25,16
1319,1172,14,2020-04-18 22:00:00,2020-04-18,17,32,0,24,13
1302,1159,14,2020-04-17 22:00:00,2020-04-17,1,31,0,23,22
1301,1137,14,2020-04-16 22:00:00,2020-04-16,2,30,0,22,0
1299,1137,14,2020-04-15 22:00:00,2020-04-15,8,29,0,21,19
1291,1118,14,2020-04-14 22:00:00,2020-04-14,10,28,0,20,43
1281,1075,14,2020-04-13 22:00:00,2020-04-13,13,27,0,19,60
1268,1015,14,2020-04-12 22:00:00,2020-04-12,3,26,0,18,29
1265,986,14,2020-04-11 22:00:00,2020-04-11,24,25,1,17,60
1241,926,13,2020-04-10 22:00:00,2020-04-10,13,24,1,16,120
