Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
352,329,0,2020-06-25 22:00:00,2020-06-25,0,95,0,0,0
352,329,0,2020-06-24 22:00:00,2020-06-24,3,94,0,0,1
349,328,0,2020-06-23 22:00:00,2020-06-23,0,93,0,0,1
349,327,0,2020-06-22 22:00:00,2020-06-22,0,92,0,0,0
349,327,0,2020-06-21 22:00:00,2020-06-21,0,91,0,0,1
349,326,0,2020-06-20 22:00:00,2020-06-20,7,90,0,0,1
342,325,0,2020-06-19 22:00:00,2020-06-19,0,89,0,0,0
342,325,0,2020-06-18 22:00:00,2020-06-18,7,88,0,0,0
335,325,0,2020-06-17 22:00:00,2020-06-17,1,87,0,0,2
334,323,0,2020-06-16 22:00:00,2020-06-16,0,86,0,0,0
334,323,0,2020-06-15 22:00:00,2020-06-15,0,85,0,0,0
334,323,0,2020-06-14 22:00:00,2020-06-14,1,84,0,0,0
333,323,0,2020-06-13 22:00:00,2020-06-13,1,83,0,0,2
332,321,0,2020-06-12 22:00:00,2020-06-12,0,82,0,0,1
332,320,0,2020-06-11 22:00:00,2020-06-11,0,81,0,0,3
332,317,0,2020-06-10 22:00:00,2020-06-10,0,80,0,0,1
332,316,0,2020-06-09 22:00:00,2020-06-09,0,79,0,0,0
332,316,0,2020-06-08 22:00:00,2020-06-08,3,78,0,0,9
329,307,0,2020-06-07 22:00:00,2020-06-07,0,77,0,0,0
329,307,0,2020-06-06 22:00:00,2020-06-06,1,76,0,0,0
328,307,0,2020-06-05 22:00:00,2020-06-05,0,75,0,0,5
328,302,0,2020-06-04 22:00:00,2020-06-04,0,74,0,0,0
328,302,0,2020-06-03 22:00:00,2020-06-03,0,73,0,0,4
328,298,0,2020-06-02 22:00:00,2020-06-02,0,72,0,0,5
328,293,0,2020-06-01 22:00:00,2020-06-01,0,71,0,0,14
328,279,0,2020-05-31 22:00:00,2020-05-31,0,70,0,0,0
328,279,0,2020-05-30 22:00:00,2020-05-30,1,69,0,0,1
327,278,0,2020-05-29 22:00:00,2020-05-29,0,68,0,0,0
327,278,0,2020-05-28 22:00:00,2020-05-28,0,67,0,0,0
327,278,0,2020-05-27 22:00:00,2020-05-27,1,66,0,0,6
326,272,0,2020-05-26 22:00:00,2020-05-26,1,65,0,0,5
325,267,0,2020-05-25 22:00:00,2020-05-25,0,64,0,0,0
325,267,0,2020-05-24 22:00:00,2020-05-24,1,63,0,0,0
324,267,0,2020-05-23 22:00:00,2020-05-23,0,62,0,0,1
324,266,0,2020-05-22 22:00:00,2020-05-22,0,61,0,0,2
324,264,0,2020-05-21 22:00:00,2020-05-21,0,60,0,0,1
324,263,0,2020-05-20 22:00:00,2020-05-20,0,59,0,0,0
324,263,0,2020-05-19 22:00:00,2020-05-19,0,58,0,0,0
324,263,0,2020-05-18 22:00:00,2020-05-18,6,57,0,0,3
318,260,0,2020-05-17 22:00:00,2020-05-17,0,56,0,0,0
318,260,0,2020-05-16 22:00:00,2020-05-16,6,55,0,0,0
312,260,0,2020-05-15 22:00:00,2020-05-15,24,54,0,0,8
288,252,0,2020-05-14 22:00:00,2020-05-14,0,53,0,0,0
288,252,0,2020-05-13 22:00:00,2020-05-13,0,52,0,0,0
288,252,0,2020-05-12 22:00:00,2020-05-12,0,51,0,0,3
288,249,0,2020-05-11 22:00:00,2020-05-11,0,50,0,0,8
288,241,0,2020-05-10 22:00:00,2020-05-10,0,49,0,0,0
288,241,0,2020-05-09 22:00:00,2020-05-09,0,48,0,0,0
288,241,0,2020-05-08 22:00:00,2020-05-08,0,47,0,0,8
288,233,0,2020-05-07 22:00:00,2020-05-07,17,46,0,0,1
271,232,0,2020-05-06 22:00:00,2020-05-06,0,45,0,0,0
271,232,0,2020-05-05 22:00:00,2020-05-05,0,44,0,0,13
271,219,0,2020-05-04 22:00:00,2020-05-04,0,43,0,0,0
271,219,0,2020-05-03 22:00:00,2020-05-03,1,42,0,0,0
270,219,0,2020-05-02 22:00:00,2020-05-02,0,41,0,0,0
270,219,0,2020-05-01 22:00:00,2020-05-01,0,40,0,0,0
270,219,0,2020-04-30 22:00:00,2020-04-30,0,39,0,0,-3
270,222,0,2020-04-29 22:00:00,2020-04-29,0,38,0,0,-3
270,225,0,2020-04-28 22:00:00,2020-04-28,0,37,0,0,0
270,225,0,2020-04-27 22:00:00,2020-04-27,0,36,0,0,0
