Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
73527,9527,1993,2020-07-16 22:00:00,2020-07-16,1084,119,15,117,104
72443,9423,1978,2020-07-15 22:00:00,2020-07-15,801,118,9,116,93
71642,9330,1969,2020-07-14 22:00:00,2020-07-14,972,117,2,115,20
70670,9310,1967,2020-07-13 22:00:00,2020-07-13,888,116,4,114,39
69782,9271,1963,2020-07-12 22:00:00,2020-07-12,851,115,4,113,82
68931,9189,1959,2020-07-11 22:00:00,2020-07-11,943,114,21,112,124
67988,9065,1938,2020-07-10 22:00:00,2020-07-10,613,113,32,111,54
67375,9011,1906,2020-07-09 22:00:00,2020-07-09,635,112,24,110,98
66740,8913,1882,2020-07-08 22:00:00,2020-07-08,638,111,27,109,104
66102,8809,1855,2020-07-07 22:00:00,2020-07-07,354,110,0,108,25
65748,8784,1855,2020-07-06 22:00:00,2020-07-06,639,109,5,107,43
65109,8741,1850,2020-07-05 22:00:00,2020-07-05,712,108,4,106,30
64397,8711,1846,2020-07-04 22:00:00,2020-07-04,662,107,28,105,215
63735,8496,1818,2020-07-03 22:00:00,2020-07-03,516,106,30,104,365
63219,8131,1788,2020-07-02 22:00:00,2020-07-02,426,105,23,103,50
62793,8081,1765,2020-07-01 22:00:00,2020-07-01,604,104,24,102,58
62189,8023,1741,2020-06-30 22:00:00,2020-06-30,453,103,8,101,18
61736,8005,1733,2020-06-29 22:00:00,2020-06-29,488,102,8,100,37
61248,7968,1725,2020-06-28 22:00:00,2020-06-28,678,101,24,99,100
60570,7868,1701,2020-06-27 22:00:00,2020-06-27,624,100,25,98,50
59946,7818,1676,2020-06-26 22:00:00,2020-06-26,432,99,14,97,53
59514,7765,1662,2020-06-25 22:00:00,2020-06-25,520,98,17,96,40
58994,7725,1645,2020-06-24 22:00:00,2020-06-24,529,97,24,95,62
58465,7663,1621,2020-06-23 22:00:00,2020-06-23,471,96,9,94,17
57994,7646,1612,2020-06-22 22:00:00,2020-06-22,548,95,4,93,83
57446,7563,1608,2020-06-21 22:00:00,2020-06-21,652,94,4,92,0
56794,7563,1604,2020-06-20 22:00:00,2020-06-20,556,93,17,91,70
56238,7493,1587,2020-06-19 22:00:00,2020-06-19,463,92,3,90,64
55775,7429,1584,2020-06-18 22:00:00,2020-06-18,444,91,13,89,88
55331,7341,1571,2020-06-17 22:00:00,2020-06-17,445,90,18,88,111
54886,7230,1553,2020-06-16 22:00:00,2020-06-16,380,89,6,87,52
54506,7178,1547,2020-06-15 22:00:00,2020-06-15,637,88,5,86,47
53869,7131,1542,2020-06-14 22:00:00,2020-06-14,658,87,7,85,129
53211,7002,1535,2020-06-13 22:00:00,2020-06-13,564,86,14,84,107
52647,6895,1521,2020-06-12 22:00:00,2020-06-12,470,85,6,83,69
52177,6826,1515,2020-06-11 22:00:00,2020-06-11,439,84,18,82,149
51738,6677,1497,2020-06-10 22:00:00,2020-06-10,487,83,19,81,120
51251,6557,1478,2020-06-09 22:00:00,2020-06-09,1854,82,17,80,165
49397,6392,1461,2020-06-08 22:00:00,2020-06-08,0,81,0,79,0
49397,6392,1461,2020-06-07 22:00:00,2020-06-07,865,80,7,78,0
48532,6392,1454,2020-06-06 22:00:00,2020-06-06,676,79,9,77,108
47856,6284,1445,2020-06-05 22:00:00,2020-06-05,951,78,17,76,119
46905,6165,1428,2020-06-04 22:00:00,2020-06-04,666,77,21,75,154
46239,6011,1407,2020-06-03 22:00:00,2020-06-03,841,76,15,74,143
45398,5868,1392,2020-06-02 22:00:00,2020-06-02,791,75,17,73,0
44607,5868,1375,2020-06-01 22:00:00,2020-06-01,996,74,5,72,123
43611,5745,1370,2020-05-31 22:00:00,2020-05-31,1078,73,12,71,273
42533,5472,1358,2020-05-30 22:00:00,2020-05-30,1132,72,20,70,0
41401,5472,1338,2020-05-29 22:00:00,2020-05-29,1152,71,57,69,245
40249,5227,1281,2020-05-28 22:00:00,2020-05-28,907,70,45,68,0
39342,5227,1236,2020-05-27 22:00:00,2020-05-27,1615,69,28,67,82
37727,5145,1208,2020-05-26 22:00:00,2020-05-26,1483,68,37,66,43
36244,5102,1171,2020-05-25 22:00:00,2020-05-25,495,67,12,65,55
35749,5047,1159,2020-05-24 22:00:00,2020-05-24,799,66,23,64,84
34950,4963,1136,2020-05-23 22:00:00,2020-05-23,813,65,36,63,185
34137,4778,1100,2020-05-22 22:00:00,2020-05-22,1229,64,25,62,255
32908,4523,1075,2020-05-21 22:00:00,2020-05-21,763,63,33,61,252
32145,4271,1042,2020-05-20 22:00:00,2020-05-20,1005,62,27,60,164
31140,4107,1015,2020-05-19 22:00:00,2020-05-19,752,61,5,59,114
30388,3993,1010,2020-05-18 22:00:00,2020-05-18,705,60,7,58,84
