Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
39236,5365,1410,2020-07-12 22:00:00,2020-07-12,488,127,11,132,0
38748,5365,1399,2020-07-11 22:00:00,2020-07-11,172,126,2,131,0
38576,5365,1397,2020-07-10 22:00:00,2020-07-10,657,125,12,130,10
37919,5355,1385,2020-07-09 22:00:00,2020-07-09,1747,124,35,129,0
36172,5355,1350,2020-07-08 22:00:00,2020-07-08,131,123,1,128,0
36041,5355,1349,2020-07-07 22:00:00,2020-07-07,469,122,2,127,0
35572,5355,1347,2020-07-06 22:00:00,2020-07-06,478,121,5,126,0
35094,5355,1342,2020-07-05 22:00:00,2020-07-05,311,120,1,125,0
34783,5355,1341,2020-07-04 22:00:00,2020-07-04,1171,119,11,124,17
33612,5338,1330,2020-07-03 22:00:00,2020-07-03,36,118,2,123,0
33576,5338,1328,2020-07-02 22:00:00,2020-07-02,658,117,9,122,1
32918,5337,1319,2020-07-01 22:00:00,2020-07-01,553,116,10,121,4
32365,5333,1309,2020-06-30 22:00:00,2020-06-30,718,115,7,120,10
31647,5323,1302,2020-06-29 22:00:00,2020-06-29,276,114,0,119,0
31371,5323,1302,2020-06-28 22:00:00,2020-06-28,384,113,6,118,6
30987,5317,1296,2020-06-27 22:00:00,2020-06-27,513,112,6,117,3
30474,5314,1290,2020-06-26 22:00:00,2020-06-26,490,111,7,116,9
29984,5305,1283,2020-06-25 22:00:00,2020-06-25,497,110,7,115,15
29487,5290,1276,2020-06-24 22:00:00,2020-06-24,493,109,7,114,4
28994,5286,1269,2020-06-23 22:00:00,2020-06-23,524,108,6,113,38
28470,5248,1263,2020-06-22 22:00:00,2020-06-22,310,107,4,112,0
28160,5248,1259,2020-06-21 22:00:00,2020-06-21,444,106,11,111,0
27716,5248,1248,2020-06-20 22:00:00,2020-06-20,483,105,11,110,6
27233,5242,1237,2020-06-19 22:00:00,2020-06-19,384,104,11,109,7
26849,5235,1226,2020-06-18 22:00:00,2020-06-18,254,103,0,108,31
26595,5204,1226,2020-06-17 22:00:00,2020-06-17,233,102,3,107,0
26362,5204,1223,2020-06-16 22:00:00,2020-06-16,141,101,3,106,5
26221,5199,1220,2020-06-15 22:00:00,2020-06-15,212,100,7,105,0
26009,5199,1213,2020-06-14 22:00:00,2020-06-14,268,99,12,104,0
25741,5199,1201,2020-06-13 22:00:00,2020-06-13,384,98,11,103,7
25357,5192,1190,2020-06-12 22:00:00,2020-06-12,285,97,12,102,34
25072,5158,1178,2020-06-11 22:00:00,2020-06-11,24,96,3,101,2
25048,5156,1175,2020-06-10 22:00:00,2020-06-10,271,95,13,100,7
24777,5149,1162,2020-06-09 22:00:00,2020-06-09,323,94,5,99,59
24454,5090,1157,2020-06-08 22:00:00,2020-06-08,226,93,2,98,0
24228,5090,1155,2020-06-07 22:00:00,2020-06-07,360,92,2,97,0
23868,5090,1153,2020-06-06 22:00:00,2020-06-06,310,91,10,96,22
23558,5068,1143,2020-06-05 22:00:00,2020-06-05,269,90,3,95,25
23289,5043,1140,2020-06-04 22:00:00,2020-06-04,332,89,6,94,55
22957,4988,1134,2020-06-03 22:00:00,2020-06-03,236,88,5,93,20
22721,4968,1129,2020-06-02 22:00:00,2020-06-02,399,87,7,92,158
22322,4810,1122,2020-06-01 22:00:00,2020-06-01,286,86,0,91,0
22036,4810,1122,2020-05-31 22:00:00,2020-05-31,200,85,6,90,0
21836,4810,1116,2020-05-30 22:00:00,2020-05-30,298,84,4,89,4
21538,4806,1112,2020-05-29 22:00:00,2020-05-29,311,83,12,88,5
21227,4801,1100,2020-05-28 22:00:00,2020-05-28,197,82,16,87,13
21030,4788,1084,2020-05-27 22:00:00,2020-05-27,356,81,10,86,204
20674,4584,1074,2020-05-26 22:00:00,2020-05-26,243,80,9,85,0
20431,4584,1065,2020-05-25 22:00:00,2020-05-25,431,79,10,84,0
20000,4584,1055,2020-05-24 22:00:00,2020-05-24,4,78,0,83,4
19996,4580,1055,2020-05-23 22:00:00,2020-05-23,162,77,5,82,18
19834,4562,1050,2020-05-22 22:00:00,2020-05-22,144,76,7,81,5
19690,4557,1043,2020-05-21 22:00:00,2020-05-21,201,75,8,80,4
19489,4553,1035,2020-05-20 22:00:00,2020-05-20,197,74,24,79,126
19292,4427,1011,2020-05-19 22:00:00,2020-05-19,268,73,4,78,17
19024,4410,1007,2020-05-18 22:00:00,2020-05-18,148,72,2,77,0
18876,4410,1005,2020-05-17 22:00:00,2020-05-17,315,71,8,76,715
18561,3695,997,2020-05-16 22:00:00,2020-05-16,155,70,12,75,141
18406,3554,985,2020-05-15 22:00:00,2020-05-15,259,69,8,74,19
18147,3535,977,2020-05-14 22:00:00,2020-05-14,161,68,11,73,145
17986,3390,966,2020-05-13 22:00:00,2020-05-13,203,67,15,72,1071
17783,2319,951,2020-05-12 22:00:00,2020-05-12,396,66,19,71,213
17387,2106,932,2020-05-11 22:00:00,2020-05-11,184,65,12,70,0
17203,2106,920,2020-05-10 22:00:00,2020-05-10,138,64,11,69,0
17065,2106,909,2020-05-09 22:00:00,2020-05-09,218,63,10,68,6
16847,2100,899,2020-05-08 22:00:00,2020-05-08,207,62,20,67,5
16640,2095,879,2020-05-07 22:00:00,2020-05-07,321,61,15,66,13
16319,2082,864,2020-05-06 22:00:00,2020-05-06,223,60,23,65,30
16096,2052,841,2020-05-05 22:00:00,2020-05-05,335,59,7,64,70
15761,1982,834,2020-05-04 22:00:00,2020-05-04,240,58,2,63,0
15521,1982,832,2020-05-03 22:00:00,2020-05-03,257,57,6,62,0
15264,1982,826,2020-05-02 22:00:00,2020-05-02,278,56,7,61,16
14986,1966,819,2020-05-01 22:00:00,2020-05-01,275,55,15,60,96
14711,1870,804,2020-04-30 22:00:00,2020-04-30,323,54,12,59,19
14388,1851,792,2020-04-29 22:00:00,2020-04-29,188,53,20,58,14
14200,1837,772,2020-04-28 22:00:00,2020-04-28,418,52,18,57,24
13782,1813,754,2020-04-27 22:00:00,2020-04-27,215,51,13,56,6
13567,1807,741,2020-04-26 22:00:00,2020-04-26,260,50,8,55,0
