Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
6468996,2857275,382742,2020-06-03 22:00:00,2020-06-03,80791,135,4922,135,134695
6388205,2722580,377820,2020-06-02 22:00:00,2020-06-02,103518,134,3683,134,57677
6284687,2664903,374137,2020-06-01 22:00:00,2020-06-01,105522,133,2923,133,52826
6179165,2612077,371214,2020-05-31 22:00:00,2020-05-31,128441,132,4065,132,62937
6050724,2549140,367149,2020-05-30 22:00:00,2020-05-30,124123,131,4685,131,65899
5926601,2483241,362464,2020-05-29 22:00:00,2020-05-29,118239,130,4662,130,84478
5808362,2398763,357802,2020-05-28 22:00:00,2020-05-28,102976,129,5232,129,60799
5705386,2337964,352570,2020-05-27 22:00:00,2020-05-27,99583,128,4334,128,61233
5605803,2276731,348236,2020-05-26 22:00:00,2020-05-26,88835,127,2221,127,67787
5516968,2208944,346015,2020-05-25 22:00:00,2020-05-25,93766,126,2603,126,59001
5423202,2149943,343412,2020-05-24 22:00:00,2020-05-24,99610,125,4028,125,58577
5323592,2091366,339384,2020-05-23 22:00:00,2020-05-23,109945,124,5291,124,65819
5213647,2025547,334093,2020-05-22 22:00:00,2020-05-22,107787,123,4854,123,54504
5105860,1971043,329239,2020-05-21 22:00:00,2020-05-21,104491,122,4886,122,57564
5001369,1913479,324353,2020-05-20 22:00:00,2020-05-20,90990,121,4772,121,56148
4910379,1857331,319581,2020-05-19 22:00:00,2020-05-19,97242,120,3389,120,57155
4813137,1800176,316192,2020-05-18 22:00:00,2020-05-18,75549,119,2916,119,39029
4737588,1761147,313276,2020-05-17 22:00:00,2020-05-17,96384,118,4339,118,57621
4641204,1703526,308937,2020-05-16 22:00:00,2020-05-16,101119,117,5167,117,52057
4540085,1651469,303770,2020-05-15 22:00:00,2020-05-15,93251,116,5205,116,41308
4446834,1610161,298565,2020-05-14 22:00:00,2020-05-14,90515,115,5364,115,55797
4356319,1554364,293201,2020-05-13 22:00:00,2020-05-13,83815,114,5572,114,58126
4272504,1496238,287629,2020-05-12 22:00:00,2020-05-12,74027,113,3395,113,39562
4198477,1456676,284234,2020-05-11 22:00:00,2020-05-11,77563,112,3455,112,41300
4120914,1415376,280779,2020-05-10 22:00:00,2020-05-10,88504,111,4256,111,57450
4032410,1357926,276523,2020-05-09 22:00:00,2020-05-09,96752,110,5500,110,48064
3935658,1309862,271023,2020-05-08 22:00:00,2020-05-08,92190,109,5340,109,38698
3843468,1271164,265683,2020-05-07 22:00:00,2020-05-07,96395,108,6715,108,55965
3747073,1215199,258968,2020-05-06 22:00:00,2020-05-06,83660,107,6278,107,36579
3663413,1178620,252690,2020-05-05 22:00:00,2020-05-05,80788,106,4302,106,42099
3582625,1136521,248388,2020-05-04 22:00:00,2020-05-04,78954,105,3465,105,29009
3503671,1107512,244923,2020-05-03 22:00:00,2020-05-03,80605,104,4740,104,39966
3423066,1067546,240183,2020-05-02 22:00:00,2020-05-02,94124,103,5582,103,40735
3328942,1026811,234601,2020-05-01 22:00:00,2020-05-01,90173,102,5897,102,37028
3238769,989783,228704,2020-04-30 22:00:00,2020-04-30,84216,101,10295,101,48141
3154553,941642,218409,2020-04-29 22:00:00,2020-04-29,70561,100,5961,100,34411
3083992,907231,212448,2020-04-28 22:00:00,2020-04-28,64574,99,4499,99,21353
3019418,885878,207949,2020-04-27 22:00:00,2020-04-27,82557,98,4152,98,54067
2936861,831811,203797,2020-04-26 22:00:00,2020-04-26,86409,97,5570,97,28428
2850452,803383,198227,2020-04-25 22:00:00,2020-04-25,97384,96,6030,96,48507
2753068,754876,192197,2020-04-24 22:00:00,2020-04-24,99684,95,6956,95,31599
2653384,723277,185241,2020-04-23 22:00:00,2020-04-23,80167,94,6793,94,27826
2573217,695451,178448,2020-04-22 22:00:00,2020-04-22,76191,93,6977,93,37339
2497026,658112,171471,2020-04-21 22:00:00,2020-04-21,77706,92,5274,92,23395
2419320,634717,166197,2020-04-20 22:00:00,2020-04-20,72909,91,4768,91,31464
2346411,603253,161429,2020-04-19 22:00:00,2020-04-19,82495,90,6427,90,26609
2263916,576644,155002,2020-04-18 22:00:00,2020-04-18,90583,89,11265,89,22368
2173333,554276,143737,2020-04-17 22:00:00,2020-04-17,93994,88,6718,88,28490
2079339,525786,137019,2020-04-16 22:00:00,2020-04-16,80521,87,9350,87,23337
1998818,502449,127669,2020-04-15 22:00:00,2020-04-15,77797,86,7057,86,36660
1921021,465789,120612,2020-04-14 22:00:00,2020-04-14,69701,85,5444,85,23037
1851320,442752,115168,2020-04-13 22:00:00,2020-04-13,72125,84,5324,84,29692
1779195,413060,109844,2020-04-12 22:00:00,2020-04-12,79902,83,6288,83,29459
1699293,383601,103556,2020-04-11 22:00:00,2020-04-11,93780,82,6605,82,17458
