Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
1760,863,506,2020-08-05 22:00:00,2020-08-05,26,82,7,92,0
1734,863,499,2020-08-04 22:00:00,2020-08-04,0,81,2,91,1
1734,862,497,2020-08-03 22:00:00,2020-08-03,4,80,3,90,0
1730,862,494,2020-08-02 22:00:00,2020-08-02,2,79,1,89,0
1728,862,493,2020-08-01 22:00:00,2020-08-01,2,78,6,88,6
1726,856,487,2020-07-31 22:00:00,2020-07-31,15,77,2,87,7
1711,849,485,2020-07-30 22:00:00,2020-07-30,8,76,1,86,9
1703,840,484,2020-07-29 22:00:00,2020-07-29,12,75,1,85,7
1691,833,483,2020-07-28 22:00:00,2020-07-28,10,74,4,84,36
1681,797,479,2020-07-27 22:00:00,2020-07-27,7,73,5,83,17
1674,780,474,2020-07-26 22:00:00,2020-07-26,0,72,5,82,1
1674,779,469,2020-07-25 22:00:00,2020-07-25,20,71,8,81,17
1654,762,461,2020-07-24 22:00:00,2020-07-24,14,70,3,80,11
1640,751,458,2020-07-23 22:00:00,2020-07-23,11,69,2,79,10
1629,741,456,2020-07-22 22:00:00,2020-07-22,10,68,9,78,27
1619,714,447,2020-07-21 22:00:00,2020-07-21,13,67,2,77,2
1606,712,445,2020-07-20 22:00:00,2020-07-20,25,66,2,76,11
1581,701,443,2020-07-19 22:00:00,2020-07-19,5,65,3,75,6
1576,695,440,2020-07-18 22:00:00,2020-07-18,24,64,2,74,0
1552,695,438,2020-07-17 22:00:00,2020-07-17,26,63,5,73,1
1526,694,433,2020-07-16 22:00:00,2020-07-16,10,62,4,72,9
1516,685,429,2020-07-15 22:00:00,2020-07-15,18,61,5,71,10
1498,675,424,2020-07-14 22:00:00,2020-07-14,33,60,7,70,16
1465,659,417,2020-07-13 22:00:00,2020-07-13,76,59,52,69,17
1389,642,365,2020-07-12 22:00:00,2020-07-12,9,58,1,68,12
1380,630,364,2020-07-11 22:00:00,2020-07-11,24,57,3,67,11
1356,619,361,2020-07-10 22:00:00,2020-07-10,38,56,10,66,24
1318,595,351,2020-07-09 22:00:00,2020-07-09,21,55,3,65,4
1297,591,348,2020-07-08 22:00:00,2020-07-08,13,54,3,64,16
1284,575,345,2020-07-07 22:00:00,2020-07-07,19,53,7,63,23
1265,552,338,2020-07-06 22:00:00,2020-07-06,17,52,1,62,15
1248,537,337,2020-07-05 22:00:00,2020-07-05,8,51,2,61,1
1240,536,335,2020-07-04 22:00:00,2020-07-04,19,50,10,60,23
1221,513,325,2020-07-03 22:00:00,2020-07-03,31,49,7,59,9
1190,504,318,2020-07-02 22:00:00,2020-07-02,32,48,6,58,16
1158,488,312,2020-07-01 22:00:00,2020-07-01,30,47,8,57,56
1128,432,304,2020-06-30 22:00:00,2020-06-30,10,46,2,56,2
1118,430,302,2020-06-29 22:00:00,2020-06-29,15,45,6,55,13
1103,417,296,2020-06-28 22:00:00,2020-06-28,14,44,3,54,15
1089,402,293,2020-06-27 22:00:00,2020-06-27,13,43,5,53,16
1076,386,288,2020-06-26 22:00:00,2020-06-26,61,42,14,52,7
1015,379,274,2020-06-25 22:00:00,2020-06-25,23,41,13,51,23
992,356,261,2020-06-24 22:00:00,2020-06-24,25,40,4,50,6
967,350,257,2020-06-23 22:00:00,2020-06-23,26,39,1,49,3
941,347,256,2020-06-22 22:00:00,2020-06-22,19,38,2,48,19
922,328,254,2020-06-21 22:00:00,2020-06-21,3,37,3,47,40
919,288,251,2020-06-20 22:00:00,2020-06-20,10,36,3,46,15
909,273,248,2020-06-19 22:00:00,2020-06-19,7,35,4,45,2
902,271,244,2020-06-18 22:00:00,2020-06-18,17,34,30,44,180
885,91,214,2020-06-17 22:00:00,2020-06-17,41,33,6,43,12
844,79,208,2020-06-16 22:00:00,2020-06-16,116,32,44,42,26
728,53,164,2020-06-15 22:00:00,2020-06-15,23,31,4,41,14
705,39,160,2020-06-14 22:00:00,2020-06-14,73,30,21,40,11
632,28,139,2020-06-13 22:00:00,2020-06-13,41,29,3,39,5
591,23,136,2020-06-12 22:00:00,2020-06-12,31,28,7,38,0
560,23,129,2020-06-11 22:00:00,2020-06-11,36,27,2,37,0
524,23,127,2020-06-10 22:00:00,2020-06-10,28,26,15,36,0
496,23,112,2020-06-09 22:00:00,2020-06-09,12,25,0,35,0
484,23,112,2020-06-08 22:00:00,2020-06-08,2,24,1,34,0
482,23,111,2020-06-07 22:00:00,2020-06-07,13,23,0,33,0
469,23,111,2020-06-06 22:00:00,2020-06-06,16,22,8,32,6
453,17,103,2020-06-05 22:00:00,2020-06-05,34,21,8,31,0
419,17,95,2020-06-04 22:00:00,2020-06-04,20,20,8,30,2
399,15,87,2020-06-03 22:00:00,2020-06-03,45,19,3,29,1
354,14,84,2020-06-02 22:00:00,2020-06-02,31,18,4,28,0
323,14,80,2020-06-01 22:00:00,2020-06-01,13,17,3,27,1
310,13,77,2020-05-31 22:00:00,2020-05-31,27,16,12,26,2
283,11,65,2020-05-30 22:00:00,2020-05-30,5,15,8,25,0
278,11,57,2020-05-29 22:00:00,2020-05-29,22,14,4,24,1
256,10,53,2020-05-28 22:00:00,2020-05-28,7,13,4,23,0
249,10,49,2020-05-27 22:00:00,2020-05-27,16,12,5,22,0
233,10,44,2020-05-26 22:00:00,2020-05-26,11,11,2,21,0
222,10,42,2020-05-25 22:00:00,2020-05-25,10,10,3,20,-1
212,11,39,2020-05-24 22:00:00,2020-05-24,3,9,6,19,0
209,11,33,2020-05-23 22:00:00,2020-05-23,12,8,0,18,6
197,5,33,2020-05-22 22:00:00,2020-05-22,13,7,3,17,0
184,5,30,2020-05-21 22:00:00,2020-05-21,17,6,2,16,0
167,5,28,2020-05-20 22:00:00,2020-05-20,37,5,8,15,4
130,1,20,2020-05-19 22:00:00,2020-05-19,2,4,0,14,0
128,1,20,2020-05-18 22:00:00,2020-05-18,6,3,2,13,0
122,1,18,2020-05-17 22:00:00,2020-05-17,16,2,3,12,0
106,1,15,2020-05-16 22:00:00,2020-05-16,21,1,3,11,0
85,1,12,2020-05-15 22:00:00,2020-05-15,15,0,0,10,0
70,1,12,2020-05-14 22:00:00,2020-05-14,5,0,2,9,0
65,1,10,2020-05-13 22:00:00,2020-05-13,9,0,1,8,0
56,1,9,2020-05-12 22:00:00,2020-05-12,5,0,1,7,0
51,1,8,2020-05-11 22:00:00,2020-05-11,17,0,1,6,0
34,1,7,2020-05-10 22:00:00,2020-05-10,0,0,0,5,0
34,1,7,2020-05-09 22:00:00,2020-05-09,9,0,2,4,0
25,1,5,2020-05-08 22:00:00,2020-05-08,0,0,0,3,0
25,1,5,2020-05-07 22:00:00,2020-05-07,3,0,1,2,0
22,1,4,2020-05-06 22:00:00,2020-05-06,10,0,2,1,0
12,1,2,2020-05-05 22:00:00,2020-05-05,2,0,0,0,0
10,1,2,2020-05-04 22:00:00,2020-05-04,0,0,0,0,0
10,1,2,2020-05-03 22:00:00,2020-05-03,3,0,0,0,0
7,1,2,2020-05-02 22:00:00,2020-05-02,1,0,0,0,0
6,1,2,2020-05-01 22:00:00,2020-05-01,0,0,0,0,0
6,1,2,2020-04-30 22:00:00,2020-04-30,5,0,2,0,0
1,1,0,2020-04-29 22:00:00,2020-04-29,0,0,0,0,0
1,1,0,2020-04-28 22:00:00,2020-04-28,0,0,0,0,0
1,1,0,2020-04-27 22:00:00,2020-04-27,0,0,0,0,0
1,1,0,2020-04-26 22:00:00,2020-04-26,0,0,0,0,0
1,1,0,2020-04-25 22:00:00,2020-04-25,0,0,0,0,0
1,1,0,2020-04-24 22:00:00,2020-04-24,0,0,0,0,1
1,0,0,2020-04-23 22:00:00,2020-04-23,0,0,0,0,0
1,0,0,2020-04-22 22:00:00,2020-04-22,0,0,0,0,0
1,0,0,2020-04-21 22:00:00,2020-04-21,0,0,0,0,0
1,0,0,2020-04-20 22:00:00,2020-04-20,0,0,0,0,0
1,0,0,2020-04-19 22:00:00,2020-04-19,0,0,0,0,0
1,0,0,2020-04-18 22:00:00,2020-04-18,0,0,0,0,0
1,0,0,2020-04-17 22:00:00,2020-04-17,0,0,0,0,0
1,0,0,2020-04-16 22:00:00,2020-04-16,0,0,0,0,0
1,0,0,2020-04-15 22:00:00,2020-04-15,0,0,0,0,0
1,0,0,2020-04-14 22:00:00,2020-04-14,0,0,0,0,0
1,0,0,2020-04-13 22:00:00,2020-04-13,0,0,0,0,0
1,0,0,2020-04-12 22:00:00,2020-04-12,0,0,0,0,0
1,0,0,2020-04-11 22:00:00,2020-04-11,0,0,0,0,0
1,0,0,2020-04-10 22:00:00,2020-04-10,1,0,0,0,0
0,0,0,2020-04-09 22:00:00,2020-04-09,0,0,0,0,0
0,0,0,2020-04-08 22:00:00,2020-04-08,0,0,0,0,0
0,0,0,2020-04-07 22:00:00,2020-04-07,0,0,0,0,0
0,0,0,2020-04-06 22:00:00,2020-04-06,0,0,0,0,0
0,0,0,2020-04-05 22:00:00,2020-04-05,0,0,0,0,0
0,0,0,2020-04-04 21:00:00,2020-04-04,0,0,0,0,0
0,0,0,2020-04-03 21:00:00,2020-04-03,0,0,0,0,0
0,0,0,2020-04-02 21:00:00,2020-04-02,0,0,0,0,0
0,0,0,2020-04-01 21:00:00,2020-04-01,0,0,0,0,0
0,0,0,2020-03-31 21:00:00,2020-03-31,0,0,0,0,0
0,0,0,2020-03-30 21:00:00,2020-03-30,0,0,0,0,0
0,0,0,2020-03-29 21:00:00,2020-03-29,0,0,0,0,0
0,0,0,2020-03-28 21:00:00,2020-03-28,0,0,0,0,0
0,0,0,2020-03-27 21:10:00,2020-03-27,0,0,0,0,0
0,0,0,2020-03-26 22:20:00,2020-03-26,0,0,0,0,0
0,0,0,2020-03-25 23:20:00,2020-03-25,0,0,0,0,0
0,0,0,2020-03-24 21:20:00,2020-03-24,0,0,0,0,0
0,0,0,2020-03-23 21:40:00,2020-03-23,0,0,0,0,0
0,0,0,2020-03-22 21:00:00,2020-03-22,0,0,0,0,0
0,0,0,2020-03-21 21:00:00,2020-03-21,0,0,0,0,0
0,0,0,2020-03-20 21:20:00,2020-03-20,0,0,0,0,0
0,0,0,2020-03-19 21:30:00,2020-03-19,0,0,0,0,0
0,0,0,2020-03-18 22:00:00,2020-03-18,0,0,0,0,0
0,0,0,2020-03-17 21:00:00,2020-03-17,0,0,0,0,0
0,0,0,2020-03-16 21:00:00,2020-03-16,0,0,0,0,0
0,0,0,2020-03-15 21:00:00,2020-03-15,0,0,0,0,0
0,0,0,2020-03-14 21:00:00,2020-03-14,0,0,0,0,0
0,0,0,2020-03-13 21:00:00,2020-03-13,0,0,0,0,0
0,0,0,2020-03-12 21:00:00,2020-03-12,0,0,0,0,0
0,0,0,2020-03-11 21:00:00,2020-03-11,0,0,0,0,0
0,0,0,2020-03-10 21:00:00,2020-03-10,0,0,0,0,0
0,0,0,2020-03-09 21:00:00,2020-03-09,0,0,0,0,0
0,0,0,2020-03-08 21:00:00,2020-03-08,0,0,0,0,0
0,0,0,2020-03-07 21:00:00,2020-03-07,0,0,0,0,0
0,0,0,2020-03-06 21:00:00,2020-03-06,0,0,0,0,0
0,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0,0,0
0,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
0,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
0,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
0,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
0,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
0,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
0,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
0,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
0,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
0,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
0,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
0,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
0,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0,0,0
0,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0,0
0,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0,0
0,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0,0
0,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0,0,0
0,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0,0,0
0,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0,0,0
0,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0,0,0
0,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0,0,0
0,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0,0,0
0,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0,0,0
0,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0,0,0
0,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0,0,0
0,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0,0,0
0,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0,0,0
0,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0,0,0
0,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0,0,0
0,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0,0,0
0,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0,0,0
0,0,0,2020-01-23 15:00:00,2020-01-23,0,0,0,0,0
0,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0,0,0
0,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0,0,0
