Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death
184,172,2,2020-04-06 22:00:00,2020-04-06,0,64,0
184,172,2,2020-04-05 22:00:00,2020-04-05,0,63,0
184,172,2,2020-04-04 21:00:00,2020-04-04,0,62,0
184,172,2,2020-04-03 21:00:00,2020-04-03,1,61,0
183,172,2,2020-04-02 21:00:00,2020-04-02,1,60,0
182,172,2,2020-04-01 21:00:00,2020-04-01,2,59,0
180,172,2,2020-03-31 21:00:00,2020-03-31,0,58,0
180,172,2,2020-03-30 21:00:00,2020-03-30,0,57,0
180,172,2,2020-03-29 21:00:00,2020-03-29,0,56,0
180,172,2,2020-03-28 21:00:00,2020-03-28,0,55,0
180,172,2,2020-03-27 21:10:00,2020-03-27,4,54,0
176,172,2,2020-03-26 22:20:00,2020-03-26,0,53,0
176,172,2,2020-03-25 23:20:00,2020-03-25,0,52,0
176,172,2,2020-03-24 21:20:00,2020-03-24,0,51,0
176,172,2,2020-03-23 21:40:00,2020-03-23,0,50,0
176,172,2,2020-03-22 21:00:00,2020-03-22,0,49,0
176,172,2,2020-03-21 21:00:00,2020-03-21,0,48,0
176,172,2,2020-03-20 21:20:00,2020-03-20,0,47,0
176,172,2,2020-03-19 21:30:00,2020-03-19,0,46,0
176,172,2,2020-03-18 22:00:00,2020-03-18,0,45,0
176,172,2,2020-03-17 21:00:00,2020-03-17,1,44,0
175,172,2,2020-03-16 21:00:00,2020-03-16,1,43,0
174,172,2,2020-03-15 21:00:00,2020-03-15,0,42,0
174,170,2,2020-03-14 21:00:00,2020-03-14,0,41,0
174,170,2,2020-03-13 21:00:00,2020-03-13,0,40,0
174,170,2,2020-03-12 21:00:00,2020-03-12,0,39,0
174,170,2,2020-03-11 21:00:00,2020-03-11,0,38,0
174,170,2,2020-03-10 21:00:00,2020-03-10,0,37,0
174,170,2,2020-03-09 21:00:00,2020-03-09,0,36,0
174,170,2,2020-03-08 21:00:00,2020-03-08,0,35,0
174,170,2,2020-03-07 21:00:00,2020-03-07,0,34,0
174,170,2,2020-03-06 21:00:00,2020-03-06,0,33,0
174,169,2,2020-03-05 21:00:00,2020-03-05,0,32,0
174,169,2,2020-03-04 21:00:00,2020-03-04,0,31,0
174,169,2,2020-03-03 21:00:00,2020-03-03,0,30,0
174,168,2,2020-03-02 21:00:00,2020-03-02,0,29,0
174,163,2,2020-03-01 21:00:00,2020-03-01,0,28,0
174,157,2,2020-02-29 21:00:00,2020-02-29,0,27,0
174,156,2,2020-02-28 21:00:00,2020-02-28,0,26,0
174,150,2,2020-02-27 21:00:00,2020-02-27,0,25,0
174,144,2,2020-02-26 21:00:00,2020-02-26,0,24,0
174,129,2,2020-02-25 21:00:00,2020-02-25,0,23,0
174,124,2,2020-02-24 21:00:00,2020-02-24,0,22,0
174,115,2,2020-02-23 21:00:00,2020-02-23,0,21,0
174,107,2,2020-02-22 21:00:00,2020-02-22,0,20,0
174,96,2,2020-02-21 21:00:00,2020-02-21,1,19,1
173,79,1,2020-02-20 21:00:00,2020-02-20,1,18,0
172,60,1,2020-02-19 21:00:00,2020-02-19,0,17,1
172,57,0,2020-02-18 21:00:00,2020-02-18,1,16,0
171,47,0,2020-02-17 21:00:00,2020-02-17,0,15,0
171,42,0,2020-02-16 21:00:00,2020-02-16,3,14,0
168,42,0,2020-02-15 21:00:00,2020-02-15,6,13,0
162,35,0,2020-02-14 21:00:00,2020-02-14,6,12,0
156,27,0,2020-02-13 21:00:00,2020-02-13,2,11,0
154,23,0,2020-02-12 21:00:00,2020-02-12,1,10,0
153,20,0,2020-02-11 20:30:00,2020-02-11,4,9,0
149,19,0,2020-02-10 21:00:00,2020-02-10,8,8,0
141,18,0,2020-02-09 21:00:00,2020-02-09,3,7,0
138,17,0,2020-02-08 21:00:00,2020-02-08,2,6,0
136,12,0,2020-02-07 21:00:00,2020-02-07,3,5,0
133,6,0,2020-02-06 21:00:00,2020-02-06,9,4,0
124,5,0,2020-02-05 21:00:00,2020-02-05,5,3,0
119,5,0,2020-02-04 20:00:00,2020-02-04,5,2,0
114,4,0,2020-02-03 20:00:00,2020-02-03,15,1,0
99,3,0,2020-02-02 20:00:00,2020-02-02,16,0,0
83,1,0,2020-02-01 10:00:00,2020-02-01,7,0,0
76,0,0,2020-01-31 12:30:00,2020-01-31,21,0,0
55,0,0,2020-01-30 12:00:00,2020-01-30,11,0,0
44,0,0,2020-01-29 14:00:00,2020-01-29,18,0,0
26,0,0,2020-01-28 11:30:00,2020-01-28,7,0,0
19,0,0,2020-01-27 14:00:00,2020-01-27,8,0,0
11,0,0,2020-01-26 13:00:00,2020-01-26,6,0,0
5,0,0,2020-01-25 15:00:00,2020-01-25,3,0,0
2,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0
2,0,0,2020-01-23 15:00:00,2020-01-23,1,0,0
1,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0
1,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0
