Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
1268,1267,1,2020-05-18 22:00:00,2020-05-18,0,114,0,0,0
1268,1267,1,2020-05-17 22:00:00,2020-05-17,0,113,0,0,0
1268,1267,1,2020-05-16 22:00:00,2020-05-16,0,112,0,0,0
1268,1267,1,2020-05-15 22:00:00,2020-05-15,0,111,0,0,0
1268,1267,1,2020-05-14 22:00:00,2020-05-14,0,110,0,0,0
1268,1267,1,2020-05-13 22:00:00,2020-05-13,0,109,0,0,0
1268,1267,1,2020-05-12 22:00:00,2020-05-12,0,108,0,0,0
1268,1267,1,2020-05-11 22:00:00,2020-05-11,0,107,0,0,0
1268,1267,1,2020-05-10 22:00:00,2020-05-10,0,106,0,0,0
1268,1267,1,2020-05-09 22:00:00,2020-05-09,0,105,0,0,0
1268,1267,1,2020-05-08 22:00:00,2020-05-08,0,104,0,0,0
1268,1267,1,2020-05-07 22:00:00,2020-05-07,0,103,0,0,0
1268,1267,1,2020-05-06 22:00:00,2020-05-06,0,102,0,0,0
1268,1267,1,2020-05-05 22:00:00,2020-05-05,0,101,0,0,2
1268,1265,1,2020-05-04 22:00:00,2020-05-04,0,100,0,0,0
1268,1265,1,2020-05-03 22:00:00,2020-05-03,0,99,0,0,0
1268,1265,1,2020-05-02 22:00:00,2020-05-02,0,98,0,0,1
1268,1264,1,2020-05-01 22:00:00,2020-05-01,0,97,0,0,1
1268,1263,1,2020-04-30 22:00:00,2020-04-30,0,96,0,0,1
1268,1262,1,2020-04-29 22:00:00,2020-04-29,0,95,0,0,1
1268,1261,1,2020-04-28 22:00:00,2020-04-28,0,94,0,0,3
1268,1258,1,2020-04-27 22:00:00,2020-04-27,0,93,0,0,2
1268,1256,1,2020-04-26 22:00:00,2020-04-26,0,92,0,0,0
1268,1256,1,2020-04-25 22:00:00,2020-04-25,0,91,0,0,0
1268,1256,1,2020-04-24 22:00:00,2020-04-24,0,90,0,0,2
1268,1254,1,2020-04-23 22:00:00,2020-04-23,0,89,0,0,2
1268,1252,1,2020-04-22 22:00:00,2020-04-22,0,88,0,0,1
1268,1251,1,2020-04-21 22:00:00,2020-04-21,0,87,0,0,2
1268,1249,1,2020-04-20 22:00:00,2020-04-20,0,86,0,0,2
1268,1247,1,2020-04-19 22:00:00,2020-04-19,0,85,0,0,1
1268,1246,1,2020-04-18 22:00:00,2020-04-18,0,84,0,0,0
1268,1246,1,2020-04-17 22:00:00,2020-04-17,0,83,0,0,2
1268,1244,1,2020-04-16 22:00:00,2020-04-16,0,82,0,0,0
1268,1244,1,2020-04-15 22:00:00,2020-04-15,1,81,0,0,2
1267,1242,1,2020-04-14 22:00:00,2020-04-14,0,80,0,0,3
1267,1239,1,2020-04-13 22:00:00,2020-04-13,0,79,0,0,1
1267,1238,1,2020-04-12 22:00:00,2020-04-12,0,78,0,0,2
1267,1236,1,2020-04-11 22:00:00,2020-04-11,0,77,0,0,1
1267,1235,1,2020-04-10 22:00:00,2020-04-10,0,76,0,0,0
1267,1235,1,2020-04-09 22:00:00,2020-04-09,1,75,0,0,3
1266,1232,1,2020-04-08 22:00:00,2020-04-08,1,74,0,0,2
1265,1230,1,2020-04-07 22:00:00,2020-04-07,1,73,0,0,0
1264,1230,1,2020-04-06 22:00:00,2020-04-06,1,72,0,0,0
1263,1230,1,2020-04-05 22:00:00,2020-04-05,1,71,0,0,1
1262,1229,1,2020-04-04 21:00:00,2020-04-04,2,70,0,0,1
1260,1228,1,2020-04-03 21:00:00,2020-04-03,2,69,0,0,0
1258,1228,1,2020-04-02 21:00:00,2020-04-02,1,68,0,0,2
1257,1226,1,2020-04-01 21:00:00,2020-04-01,0,67,0,0,0
1257,1226,1,2020-03-31 21:00:00,2020-03-31,2,66,0,0,1
1255,1225,1,2020-03-30 21:00:00,2020-03-30,1,65,0,0,0
1254,1225,1,2020-03-29 21:00:00,2020-03-29,3,64,0,0,0
1251,1225,1,2020-03-28 21:00:00,2020-03-28,4,63,0,0,3
1247,1222,1,2020-03-27 21:10:00,2020-03-27,6,62,0,0,1
1241,1221,1,2020-03-26 22:20:00,2020-03-26,0,61,0,0,0
1241,1221,1,2020-03-25 23:20:00,2020-03-25,1,60,0,0,0
1240,1221,1,2020-03-24 21:20:00,2020-03-24,2,59,0,0,0
1238,1221,1,2020-03-23 21:40:00,2020-03-23,1,58,0,0,2
1237,1219,1,2020-03-22 21:00:00,2020-03-22,1,57,0,0,0
1236,1219,1,2020-03-21 21:00:00,2020-03-21,2,56,0,0,0
1234,1219,1,2020-03-20 21:20:00,2020-03-20,1,55,0,0,2
1233,1217,1,2020-03-19 21:30:00,2020-03-19,1,54,0,0,1
1232,1216,1,2020-03-18 22:00:00,2020-03-18,0,53,0,0,0
1232,1216,1,2020-03-17 21:00:00,2020-03-17,1,52,0,0,1
1231,1215,1,2020-03-16 21:00:00,2020-03-16,0,51,0,0,4
1231,1211,1,2020-03-15 21:00:00,2020-03-15,4,50,0,0,0
1227,1211,1,2020-03-14 21:00:00,2020-03-14,12,49,0,0,2
1215,1209,1,2020-03-13 21:00:00,2020-03-13,0,48,0,0,12
1215,1197,1,2020-03-12 21:00:00,2020-03-12,0,47,0,0,2
1215,1195,1,2020-03-11 21:00:00,2020-03-11,0,46,0,0,4
