Date,Mainland China,Other locations,Total,plusNum,plusPercentNum
2020-07-30 22:00:00,4634,665750,670384,6821,0.010279355539715145
2020-07-29 22:00:00,4634,658929,663563,6821,0.010279355539715145
2020-07-28 22:00:00,4634,652720,657354,6821,0.010279355539715145
2020-07-27 22:00:00,4634,647787,652421,6821,0.010279355539715145
2020-07-26 22:00:00,4634,643763,648397,6821,0.010279355539715145
2020-07-25 22:00:00,4634,638249,642883,6821,0.010279355539715145
2020-07-24 22:00:00,4634,632091,636725,6821,0.010279355539715145
2020-07-23 22:00:00,4634,625937,630571,6821,0.010279355539715145
2020-07-22 22:00:00,4634,615333,619967,6821,0.010279355539715145
2020-07-21 22:00:00,4634,608905,613539,6821,0.010279355539715145
2020-07-20 22:00:00,4634,604485,609119,6821,0.010279355539715145
2020-07-19 22:00:00,4634,600563,605197,6821,0.010279355539715145
2020-07-18 22:00:00,4634,595055,599689,6821,0.010279355539715145
2020-07-17 22:00:00,4634,588429,593063,6821,0.010279355539715145
2020-07-16 22:00:00,4634,582502,587136,6821,0.010279355539715145
2020-07-15 22:00:00,4634,576942,581576,6821,0.010279355539715145
2020-07-14 22:00:00,4634,571207,575841,6821,0.010279355539715145
2020-07-13 22:00:00,4634,567220,571854,6821,0.010279355539715145
2020-07-12 22:00:00,4634,563300,567934,6821,0.010279355539715145
2020-07-11 22:00:00,4634,558493,563127,6821,0.010279355539715145
2020-07-10 22:00:00,4634,553223,557857,6821,0.010279355539715145
2020-07-09 22:00:00,4634,547855,552489,6821,0.010279355539715145
2020-07-08 22:00:00,4634,542321,546955,6821,0.010279355539715145
2020-07-07 22:00:00,4634,536522,541156,6821,0.010279355539715145
2020-07-06 22:00:00,4634,532440,537074,6821,0.010279355539715145
2020-07-05 22:00:00,4634,529196,533830,6821,0.010279355539715145
2020-07-04 22:00:00,4634,524559,529193,6821,0.010279355539715145
2020-07-03 22:00:00,4634,519665,524299,6821,0.010279355539715145
2020-07-02 22:00:00,4634,514499,519133,6821,0.010279355539715145
2020-07-01 22:00:00,4634,508913,513547,6821,0.010279355539715145
2020-06-30 22:00:00,4634,503671,508305,6821,0.010279355539715145
2020-06-29 22:00:00,4634,499847,504481,6821,0.010279355539715145
2020-06-28 22:00:00,4634,496802,501436,6821,0.010279355539715145
2020-06-27 22:00:00,4634,492464,497098,6821,0.010279355539715145
2020-06-26 22:00:00,4634,487452,492086,6821,0.010279355539715145
2020-06-25 22:00:00,4634,480646,485280,6821,0.010279355539715145
2020-06-24 22:00:00,4634,475493,480127,6821,0.010279355539715145
2020-06-23 22:00:00,4634,470074,474708,6821,0.010279355539715145
2020-06-22 22:00:00,4634,466263,470897,6821,0.010279355539715145
2020-06-21 22:00:00,4634,462373,467007,6821,0.010279355539715145
2020-06-20 22:00:00,4634,458238,462872,6821,0.010279355539715145
2020-06-19 22:00:00,4634,452048,456682,6821,0.010279355539715145
2020-06-18 22:00:00,4634,447056,451690,6821,0.010279355539715145
