Confirmed,DayElapsed,Region
990,57,Anhui
990,56,Anhui
990,55,Anhui
990,54,Anhui
990,53,Anhui
990,52,Anhui
990,51,Anhui
990,50,Anhui
990,49,Anhui
990,48,Anhui
990,47,Anhui
990,46,Anhui
990,45,Anhui
990,44,Anhui
990,43,Anhui
990,42,Anhui
990,41,Anhui
990,40,Anhui
990,39,Anhui
990,38,Anhui
990,37,Anhui
990,36,Anhui
990,35,Anhui
990,34,Anhui
990,33,Anhui
990,32,Anhui
989,31,Anhui
989,30,Anhui
989,29,Anhui
989,28,Anhui
989,27,Anhui
989,26,Anhui
988,25,Anhui
987,24,Anhui
986,23,Anhui
982,22,Anhui
973,21,Anhui
962,20,Anhui
950,19,Anhui
934,18,Anhui
910,17,Anhui
889,16,Anhui
860,15,Anhui
830,14,Anhui
779,13,Anhui
733,12,Anhui
665,11,Anhui
591,10,Anhui
530,9,Anhui
480,8,Anhui
408,7,Anhui
340,6,Anhui
237,5,Anhui
237,4,Anhui
200,3,Anhui
152,2,Anhui
106,1,Anhui
263,4,Nevada
191,3,Nevada
157,2,Nevada
161,1,Nevada
191,4,Oregon
161,3,Oregon
137,2,Oregon
114,1,Oregon
257,4,Utah
181,3,Utah
136,2,Utah
112,1,Utah
415,5,Connecticut
327,4,Connecticut
223,3,Connecticut
194,2,Connecticut
159,1,Connecticut
472,8,British Columbia
424,7,British Columbia
424,6,British Columbia
348,5,British Columbia
271,4,British Columbia
231,3,British Columbia
186,2,British Columbia
103,1,British Columbia
1172,9,Louisiana
837,8,Louisiana
763,7,Louisiana
537,6,Louisiana
392,5,Louisiana
280,4,Louisiana
196,3,Louisiana
136,2,Louisiana
103,1,Louisiana
298,4,South Carolina
196,3,South Carolina
174,2,South Carolina
126,1,South Carolina
818,11,New South Wales
704,10,New South Wales
532,9,New South Wales
435,8,New South Wales
381,7,New South Wales
306,6,New South Wales
266,5,New South Wales
209,4,New South Wales
170,3,New South Wales
134,2,New South Wales
111,1,New South Wales
254,52,Guangxi
254,51,Guangxi
254,50,Guangxi
254,49,Guangxi
254,48,Guangxi
253,47,Guangxi
253,46,Guangxi
253,45,Guangxi
252,44,Guangxi
252,43,Guangxi
252,42,Guangxi
252,41,Guangxi
252,40,Guangxi
252,39,Guangxi
252,38,Guangxi
252,37,Guangxi
252,36,Guangxi
252,35,Guangxi
252,34,Guangxi
252,33,Guangxi
252,32,Guangxi
252,31,Guangxi
252,30,Guangxi
252,29,Guangxi
252,28,Guangxi
252,27,Guangxi
252,26,Guangxi
252,25,Guangxi
252,24,Guangxi
251,23,Guangxi
249,22,Guangxi
249,21,Guangxi
246,20,Guangxi
245,19,Guangxi
244,18,Guangxi
242,17,Guangxi
238,16,Guangxi
237,15,Guangxi
235,14,Guangxi
226,13,Guangxi
222,12,Guangxi
222,11,Guangxi
215,10,Guangxi
210,9,Guangxi
195,8,Guangxi
183,7,Guangxi
172,6,Guangxi
168,5,Guangxi
150,4,Guangxi
139,3,Guangxi
127,2,Guangxi
111,1,Guangxi
803,7,Texas
668,6,Texas
557,5,Texas
430,4,Texas
321,3,Texas
223,2,Texas
132,1,Texas
141,2,Washington DC
120,1,Washington DC
712,44,Yokohama
712,43,Yokohama
712,42,Yokohama
712,41,Yokohama
712,40,Yokohama
712,39,Yokohama
712,38,Yokohama
696,37,Yokohama
696,36,Yokohama
696,35,Yokohama
696,34,Yokohama
696,33,Yokohama
696,32,Yokohama
696,31,Yokohama
696,30,Yokohama
696,29,Yokohama
696,28,Yokohama
696,27,Yokohama
696,26,Yokohama
696,25,Yokohama
696,24,Yokohama
696,23,Yokohama
696,22,Yokohama
696,21,Yokohama
696,20,Yokohama
696,19,Yokohama
696,18,Yokohama
691,17,Yokohama
691,16,Yokohama
691,15,Yokohama
634,14,Yokohama
634,13,Yokohama
634,12,Yokohama
621,11,Yokohama
621,10,Yokohama
542,9,Yokohama
454,8,Yokohama
355,7,Yokohama
285,6,Yokohama
218,5,Yokohama
218,4,Yokohama
174,3,Yokohama
135,2,Yokohama
135,1,Yokohama
313,55,Fujian
313,54,Fujian
307,53,Fujian
303,52,Fujian
