Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Suspected
Hubei,Mainland China,1/22/2020 00:00,444.0,17.0,,
Guangdong,Mainland China,1/22/2020 00:00,26.0,0.0,,1.0
Beijing,Mainland China,1/22/2020 00:00,14.0,0.0,,
Zhejiang,Mainland China,1/22/2020 00:00,10.0,0.0,,
Shanghai,Mainland China,1/22/2020 00:00,9.0,0.0,,10.0
Chongqing,Mainland China,1/22/2020 00:00,6.0,0.0,,
Henan,Mainland China,1/22/2020 00:00,5.0,0.0,,
Sichuan,Mainland China,1/22/2020 00:00,5.0,0.0,,2.0
Hainan,Mainland China,1/22/2020 00:00,4.0,0.0,,
Hunan,Mainland China,1/22/2020 00:00,4.0,0.0,,
Tianjin,Mainland China,1/22/2020 00:00,4.0,0.0,,
Guangxi,Mainland China,1/22/2020 00:00,2.0,0.0,,1.0
Jiangxi,Mainland China,1/22/2020 00:00,2.0,0.0,,
Liaoning,Mainland China,1/22/2020 00:00,2.0,0.0,,
Shandong,Mainland China,1/22/2020 00:00,2.0,0.0,,
,Japan,1/22/2020 00:00,2.0,0.0,,
,Thailand,1/22/2020 00:00,2.0,0.0,,
Anhui,Mainland China,1/22/2020 00:00,1.0,0.0,,4.0
Fujian,Mainland China,1/22/2020 00:00,1.0,0.0,,
Guizhou,Mainland China,1/22/2020 00:00,1.0,0.0,,
Hebei,Mainland China,1/22/2020 00:00,1.0,0.0,,
Jiangsu,Mainland China,1/22/2020 00:00,1.0,0.0,,
Macau,Mainland China,1/22/2020 00:00,1.0,0.0,,
Ningxia,Mainland China,1/22/2020 00:00,1.0,0.0,,
Shanxi,Mainland China,1/22/2020 00:00,1.0,0.0,,
Taiwan,Mainland China,1/22/2020 00:00,1.0,0.0,,
WA,US,1/22/2020 00:00,1.0,0.0,,
Yunnan,Mainland China,1/22/2020 00:00,1.0,0.0,,
,South Korea,1/22/2020 00:00,1.0,0.0,,
Gansu,Mainland China,1/22/2020 00:00,0.0,0.0,,
Heilongjiang,Mainland China,1/22/2020 00:00,0.0,0.0,,1.0
Inner Mongolia,Mainland China,1/22/2020 00:00,0.0,0.0,,
Jilin,Mainland China,1/22/2020 00:00,0.0,0.0,,1.0
Qinghai,Mainland China,1/22/2020 00:00,0.0,0.0,,
Shaanxi,Mainland China,1/22/2020 00:00,0.0,0.0,,
Tibet,Mainland China,1/22/2020 00:00,0.0,0.0,,
Xinjiang,Mainland China,1/22/2020 00:00,0.0,0.0,,
Hong Kong,Mainland China,1/22/2020 00:00,,,,117.0
