Province/State,Country/Region,Last Update,Confirmed,Recovered,Deaths,City
Hubei,Mainland China,2/09/2020 06:00,27100,1476,780,
Guangdong,Mainland China,2/09/2020 06:00,1131,128,1,
Zhejiang,Mainland China,2/09/2020 06:00,1075,191,0,
Henan,Mainland China,2/09/2020 06:00,1033,137,6,
Hunan,Mainland China,2/09/2020 06:00,838,177,1,
Anhui,Mainland China,2/09/2020 06:00,779,72,1,
Jiangxi,Mainland China,2/09/2020 06:00,740,72,0,
Jiangsu,Mainland China,2/09/2020 06:00,468,70,0,
Chongqing,Mainland China,2/09/2020 06:00,450,50,2,
Shandong,Mainland China,2/09/2020 06:00,444,57,1,
Sichuan,Mainland China,2/09/2020 06:00,386,70,1,
Beijing,Mainland China,2/09/2020 06:00,326,37,2,
Heilongjiang,Mainland China,2/09/2020 06:00,307,14,6,
Shanghai,Mainland China,2/09/2020 06:00,293,44,1,
Fujian,Mainland China,2/09/2020 06:00,250,35,0,
Shaanxi,Mainland China,2/09/2020 06:00,208,25,0,
Hebei,Mainland China,2/09/2020 06:00,206,32,2,
Guangxi,Mainland China,2/09/2020 06:00,195,18,1,
Yunnan,Mainland China,2/09/2020 06:00,141,18,0,
Hainan,Mainland China,2/09/2020 06:00,130,16,3,
Shanxi,Mainland China,2/09/2020 06:00,115,22,0,
Liaoning,Mainland China,2/09/2020 06:00,106,12,0,
Guizhou,Mainland China,2/09/2020 06:00,99,7,1,
Tianjin,Mainland China,2/09/2020 06:00,90,4,1,
Gansu,Mainland China,2/09/2020 06:00,79,14,1,
Jilin,Mainland China,2/09/2020 06:00,78,7,1,
Yokohama,Japan,2/09/2020 06:00,70,0,0,
Inner Mongolia,Mainland China,2/09/2020 06:00,54,5,0,
Ningxia,Mainland China,2/09/2020 06:00,45,13,0,
Xinjiang,Mainland China,2/09/2020 06:00,45,0,0,
,Singapore,2/09/2020 06:00,40,2,0,
,Thailand,2/09/2020 06:00,32,10,0,
Hong Kong,Hong Kong,2/09/2020 06:00,29,0,1,
,Japan,2/09/2020 06:00,26,4,0,
,South Korea,2/09/2020 06:00,27,3,0,
Qinghai,Mainland China,2/09/2020 06:00,18,3,0,
Taiwan,Taiwan,2/09/2020 06:00,18,1,0,
,Malaysia,2/09/2020 06:00,17,1,0,
,Germany,2/09/2020 06:00,14,0,0,
,Vietnam,2/09/2020 06:00,14,3,0,
,France,2/09/2020 06:00,11,0,0,
Macau,Macau,2/09/2020 06:00,10,1,0,
,United Arab Emirates,2/09/2020 06:00,7,0,0,
California,US,2/09/2020 06:00,6,0,0,"San Benito, Los Angeles, Orange, Santa Clara"
Queensland,Australia,2/09/2020 06:00,5,0,0,
New South Wales,Australia,2/09/2020 06:00,4,3,0,
Victoria,Australia,2/09/2020 06:00,4,2,0,
British Columbia,Canada,2/09/2020 06:00,4,0,0,
Ontario,Canada,2/09/2020 06:00,3,0,0,
,India,2/09/2020 06:00,3,0,0,
,Philippines,2/09/2020 06:00,3,0,1,
,UK,2/09/2020 06:00,3,0,0,
,Italy,2/09/2020 06:00,3,0,0,
,Russia,2/09/2020 06:00,2,0,0,
Illinois,US,2/09/2020 06:00,2,2,0,Chicago
South Australia,Australia,2/09/2020 06:00,2,0,0,
,Cambodia,2/09/2020 06:00,1,1,0,
,Finland,2/09/2020 06:00,1,1,0,
,Sri Lanka,2/09/2020 06:00,1,1,0,
Tibet,Mainland China,2/09/2020 06:00,1,0,0,
,Nepal,2/09/2020 06:00,1,0,0,
,Spain,2/09/2020 06:00,1,0,0,
,Sweden,2/09/2020 06:00,1,0,0,
Massachusetts,US,2/09/2020 06:00,1,0,0,Boston
WA,US,2/09/2020 06:00,1,0,0,Seattle
Arizona,US,2/09/2020 06:00,1,0,0,Tempe
Brussels,Belgium,2/09/2020 06:00,1,0,0,
WI,US,2/09/2020 06:00,1,0,0,Madison
