Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,City
Hubei,Mainland China,2/25/2020 18:00,64786,2563,18971,
Guangdong,Mainland China,2/25/2020 18:00,1347,7,822,
Zhejiang,Mainland China,2/25/2020 18:00,1205,1,808,
Shandong,Mainland China,2/25/2020 18:00,756,6,355,
Henan,Mainland China,2/25/2020 18:00,1271,19,1002,
Anhui,Mainland China,2/25/2020 18:00,989,6,727,
Jiangxi,Mainland China,2/25/2020 18:00,934,1,683,
Hunan,Mainland China,2/25/2020 18:00,1016,4,768,
Heilongjiang,Mainland China,2/25/2020 18:00,480,12,243,
Sichuan,Mainland China,2/25/2020 18:00,529,3,289,
Chongqing,Mainland China,2/25/2020 18:00,576,6,349,
Jiangsu,Mainland China,2/25/2020 18:00,631,0,458,
Beijing,Mainland China,2/25/2020 18:00,400,4,215,
Guangxi,Mainland China,2/25/2020 18:00,252,2,134,
Fujian,Mainland China,2/25/2020 18:00,294,1,199,
Shanghai,Mainland China,2/25/2020 18:00,336,3,268,
Hebei,Mainland China,2/25/2020 18:00,311,6,248,
Shaanxi,Mainland China,2/25/2020 18:00,245,1,186,
Yunnan,Mainland China,2/25/2020 18:00,174,2,129,
Tianjin,Mainland China,2/25/2020 18:00,135,3,91,
Hainan,Mainland China,2/25/2020 18:00,168,5,124,
Hong Kong,Hong Kong,2/25/2020 18:00,85,2,18,
Guizhou,Mainland China,2/25/2020 18:00,146,2,104,
Liaoning,Mainland China,2/25/2020 18:00,121,1,83,
Shanxi,Mainland China,2/25/2020 18:00,133,0,96,
Inner Mongolia,Mainland China,2/25/2020 18:00,75,0,34,
Xinjiang,Mainland China,2/25/2020 18:00,76,2,30,
Jilin,Mainland China,2/25/2020 18:00,93,1,63,
Ningxia,Mainland China,2/25/2020 18:00,71,0,61,
Taiwan,Taiwan,2/25/2020 18:00,31,1,5,
Gansu,Mainland China,2/25/2020 18:00,91,2,80,
Macau,Macau,2/25/2020 18:00,10,0,7,
Qinghai,Mainland China,2/25/2020 18:00,18,0,18,
Tibet,Mainland China,2/25/2020 18:00,1,0,1,
,South Korea,2/25/2020 18:00,977,11,22,
Yokohama,Japan,2/25/2020 18:00,691,4,10,
,Italy,2/25/2020 18:00,323,11,2,
,Japan,2/25/2020 18:00,161,1,23,
,Iran,2/25/2020 18:00,95,16,3,
,Singapore,2/25/2020 18:00,91,0,58,
,Thailand,2/25/2020 18:00,37,0,21,
,Bahrain,2/25/2020 18:00,23,0,0,
,Malaysia,2/25/2020 18:00,22,0,20,
,Germany,2/25/2020 18:00,18,0,15,
,Vietnam,2/25/2020 18:00,16,0,16,
,France,2/25/2020 18:00,14,1,11,
,United Arab Emirates,2/25/2020 18:00,13,0,3,
,UK,2/25/2020 18:00,13,0,8,
,Kuwait,2/25/2020 18:00,9,0,0,
,Spain,2/25/2020 18:00,7,0,2,
,Iraq,2/25/2020 18:00,5,0,0,
,Oman,2/25/2020 18:00,4,0,0,
,Philippines,2/25/2020 18:00,3,1,2,
,India,2/25/2020 18:00,3,0,3,
,Russia,2/25/2020 18:00,2,0,2,
,Austria,2/25/2020 18:00,2,0,0,
,Israel,2/25/2020 18:00,2,0,0,
Brussels,Belgium,2/25/2020 18:00,1,0,1,
,Cambodia,2/25/2020 18:00,1,0,1,
,Croatia,2/25/2020 18:00,1,0,0,
,Egypt,2/25/2020 18:00,1,0,1,
,Finland,2/25/2020 18:00,1,0,1,
,Lebanon,2/25/2020 18:00,1,0,0,
,Nepal,2/25/2020 18:00,1,0,1,
,Sri Lanka,2/25/2020 18:00,1,0,1,
,Sweden,2/25/2020 18:00,1,0,0,
,Afghanistan,2/25/2020 18:00,1,0,0,
,Algeria,2/25/2020 18:00,1,0,0,
,Switzerland,2/25/2020 18:00,1,0,0,
British Columbia,Canada,2/25/2020 18:00,6,0,0,
Ontario,Canada,2/25/2020 18:00,5,0,3,
Massachusetts,US,2/25/2020 18:00,1,0,0,Boston
Illinois,US,2/25/2020 18:00,2,0,2,Chicago
Wisconsin,US,2/25/2020 18:00,1,0,0,Madison
WA,US,2/25/2020 18:00,1,0,1,Seattle
California,US,2/25/2020 18:00,10,0,2,"Sacramento, San Diego, San Benito, Los Angeles, Orange, Santa Clara, Humboldt"
Arizona,US,2/25/2020 18:00,1,0,0,Tempe
Texas,US,2/25/2020 18:00,1,0,0,San Antonio
Nebraska,US,2/25/2020 18:00,40,0,0,
Victoria,Australia,2/25/2020 18:00,6,0,4,
New South Wales,Australia,2/25/2020 18:00,4,0,4,
Queensland,Australia,2/25/2020 18:00,8,0,5,
Western Australia,Australia,2/25/2020 18:00,1,0,0,
South Australia,Australia,2/25/2020 18:00,3,0,2,
