Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests
Hubei,Mainland China,4/17/2020 16:30,68128,4512,63487,0
Heilongjiang,Mainland China,4/17/2020 16:30,872,13,471,0
Shanghai,Mainland China,4/17/2020 16:30,628,7,489,0
Beijing,Mainland China,4/17/2020 16:30,593,8,509,0
Guangdong,Mainland China,4/17/2020 16:30,1577,8,1475,0
Inner Mongolia,Mainland China,4/17/2020 16:30,193,1,103,0
Fujian,Mainland China,4/17/2020 16:30,354,1,334,0
Shanxi,Mainland China,4/17/2020 16:30,197,0,135,0
Zhejiang,Mainland China,4/17/2020 16:30,1268,1,1246,0
Tianjin,Mainland China,4/17/2020 16:30,186,3,172,0
Shandong,Mainland China,4/17/2020 16:30,787,7,761,0
Jiangsu,Mainland China,4/17/2020 16:30,653,0,643,0
Sichuan,Mainland China,4/17/2020 16:30,560,3,552,0
Liaoning,Mainland China,4/17/2020 16:30,146,2,140,0
Yunnan,Mainland China,4/17/2020 16:30,184,2,177,0
Hebei,Mainland China,4/17/2020 16:30,328,6,316,0
Shaanxi,Mainland China,4/17/2020 16:30,256,3,252,0
Jilin,Mainland China,4/17/2020 16:30,102,1,97,0
Chongqing,Mainland China,4/17/2020 16:30,579,6,570,0
Henan,Mainland China,4/17/2020 16:30,1276,22,1254,0
Gansu,Mainland China,4/17/2020 16:30,139,2,136,0
Hunan,Mainland China,4/17/2020 16:30,1019,4,1014,0
Anhui,Mainland China,4/17/2020 16:30,991,6,984,0
Jiangxi,Mainland China,4/17/2020 16:30,937,1,936,0
Guizhou,Mainland China,4/17/2020 16:30,147,2,144,0
Guangxi,Mainland China,4/17/2020 16:30,254,2,252,0
Hainan,Mainland China,4/17/2020 16:30,168,6,162,0
Xinjiang,Mainland China,4/17/2020 16:30,76,3,73,0
Ningxia,Mainland China,4/17/2020 16:30,75,0,75,0
Qinghai,Mainland China,4/17/2020 16:30,18,0,18,0
Tibet,Mainland China,4/17/2020 16:30,1,0,1,0
New South Wales,Australia,4/17/2020 16:30,2926,25,1353,155302
Queensland,Australia,4/17/2020 16:30,1007,5,442,77727
Victoria,Australia,4/17/2020 16:30,1302,14,1159,75000
South Australia,Australia,4/17/2020 16:30,435,4,331,53752
Western Australia,Australia,4/17/2020 16:30,541,7,377,26225
Tasmania,Australia,4/17/2020 16:30,182,7,67,4810
Australian Capital Territory,Australia,4/17/2020 16:30,103,3,81,6754
Northern Territory,Australia,4/17/2020 16:30,27,0,6,3381
,Artania Cruise,4/17/2020 16:30,41,2,0,0
New York,US,4/17/2020 16:30,223699,12822,28089,0
New Jersey,US,4/17/2020 16:30,78467,3840,470,0
Massachusetts,US,4/17/2020 16:30,34402,1245,729,0
Michigan,US,4/17/2020 16:30,30023,2227,502,0
Pennsylvania,US,4/17/2020 16:30,29888,921,317,0
California,US,4/17/2020 16:30,28888,1021,2547,0
Illinois,US,4/17/2020 16:30,27578,1132,465,0
Florida,US,4/17/2020 16:30,24119,686,174,0
Louisiana,US,4/17/2020 16:30,23118,1213,0,0
Texas,US,4/17/2020 16:30,17423,436,4190,0
Georgia,US,4/17/2020 16:30,17194,650,340,0
Connecticut,US,4/17/2020 16:30,16848,1036,63,0
Maryland,US,4/17/2020 16:30,11572,425,736,0
WA,US,4/17/2020 16:30,11387,592,1726,0
Indiana,US,4/17/2020 16:30,10154,522,150,0
Ohio,US,4/17/2020 16:30,9110,418,448,0
Colorado,US,4/17/2020 16:30,8675,374,510,0
Virginia,US,4/17/2020 16:30,7491,231,721,0
Tennessee,US,4/17/2020 16:30,6263,141,2196,0
North Carolina,US,4/17/2020 16:30,6026,173,964,0
Missouri,US,4/17/2020 16:30,5371,184,472,0
Alabama,US,4/17/2020 16:30,4532,144,0,0
Arizona,US,4/17/2020 16:30,4511,169,6,0
Rhode Island,US,4/17/2020 16:30,4177,118,0,0
Wisconsin,US,4/17/2020 16:30,4046,205,135,0
South Carolina,US,4/17/2020 16:30,3931,109,0,0
Mississippi,US,4/17/2020 16:30,3797,135,0,0
Nevada,US,4/17/2020 16:30,3524,142,1660,0
Utah,US,4/17/2020 16:30,2810,27,219,0
Washington DC,US,4/17/2020 16:30,2476,86,573,0
Oklahoma,US,4/17/2020 16:30,2465,136,1060,0
Kentucky,US,4/17/2020 16:30,2435,129,956,0
Iowa,US,4/17/2020 16:30,2332,64,1007,0
Delaware,US,4/17/2020 16:30,2075,52,378,0
Minnesota,US,4/17/2020 16:30,2070,111,1066,0
Oregon,US,4/17/2020 16:30,1785,70,42,0
Kansas,US,4/17/2020 16:30,1720,82,395,0
Arkansas,US,4/17/2020 16:30,1696,37,548,0
Idaho,US,4/17/2020 16:30,1609,41,390,0
New Mexico,US,4/17/2020 16:30,1597,44,353,0
South Dakota,US,4/17/2020 16:30,1411,7,457,0
New Hampshire,US,4/17/2020 16:30,1211,34,455,0
Puerto Rico,US,4/17/2020 16:30,1068,58,0,0
Nebraska,US,4/17/2020 16:30,1066,24,0,0
Navajo Nation,US,4/17/2020 16:30,1042,41,0,0
