Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests,Critical
Heilongjiang,Mainland China,4/29/2020 07:00,939,13,587,0,0
Shanghai,Mainland China,4/29/2020 07:00,645,7,597,0,0
Inner Mongolia,Mainland China,4/29/2020 07:00,199,1,146,0,0
Shaanxi,Mainland China,4/29/2020 07:00,306,3,253,0,0
Beijing,Mainland China,4/29/2020 07:00,593,9,538,0,0
Shanxi,Mainland China,4/29/2020 07:00,197,0,160,0,0
Guangdong,Mainland China,4/29/2020 07:00,1588,8,1554,0,0
Shandong,Mainland China,4/29/2020 07:00,787,7,771,0,0
Jilin,Mainland China,4/29/2020 07:00,110,1,99,0,0
Jiangsu,Mainland China,4/29/2020 07:00,653,0,647,0,0
Zhejiang,Mainland China,4/29/2020 07:00,1268,1,1262,0,0
Fujian,Mainland China,4/29/2020 07:00,355,1,352,0,0
Tianjin,Mainland China,4/29/2020 07:00,190,3,183,0,0
Hebei,Mainland China,4/29/2020 07:00,328,6,318,0,0
Yunnan,Mainland China,4/29/2020 07:00,185,2,181,0,0
Liaoning,Mainland China,4/29/2020 07:00,146,2,143,0,0
Hubei,Mainland China,4/29/2020 07:00,68128,4512,63616,0,0
Henan,Mainland China,4/29/2020 07:00,1276,22,1254,0,0
Hunan,Mainland China,4/29/2020 07:00,1019,4,1015,0,0
Anhui,Mainland China,4/29/2020 07:00,991,6,985,0,0
Jiangxi,Mainland China,4/29/2020 07:00,937,1,936,0,0
Chongqing,Mainland China,4/29/2020 07:00,579,6,573,0,0
Sichuan,Mainland China,4/29/2020 07:00,561,3,558,0,0
Guangxi,Mainland China,4/29/2020 07:00,254,2,252,0,0
Hainan,Mainland China,4/29/2020 07:00,168,6,162,0,0
Guizhou,Mainland China,4/29/2020 07:00,147,2,145,0,0
Gansu,Mainland China,4/29/2020 07:00,139,2,137,0,0
Xinjiang,Mainland China,4/29/2020 07:00,76,3,73,0,0
Ningxia,Mainland China,4/29/2020 07:00,75,0,75,0,0
Qinghai,Mainland China,4/29/2020 07:00,18,0,18,0,0
Tibet,Mainland China,4/29/2020 07:00,1,0,1,0,0
New South Wales,Australia,4/29/2020 07:00,3016,39,2266,212659,0
Queensland,Australia,4/29/2020 07:00,1034,6,934,104950,0
Victoria,Australia,4/29/2020 07:00,1354,18,1287,111000,0
