Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
WA,US,3/09/2020 21:59,136,19,0
California,US,3/09/2020 21:59,105,1,0
New York,US,3/09/2020 21:59,105,0,0
From Diamond Princess cruise,US,3/09/2020 21:59,42,0,0
Massachusetts,US,3/09/2020 21:59,28,0,0
From Grand Princess,US,3/09/2020 21:59,21,0,0
Texas,US,3/09/2020 21:59,17,0,0
Oregon,US,3/09/2020 21:59,14,0,0
Florida,US,3/09/2020 21:59,13,2,0
Georgia,US,3/09/2020 21:59,11,0,0
Colorado,US,3/09/2020 21:59,8,0,0
Illinois,US,3/09/2020 21:59,7,0,0
New Jersey,US,3/09/2020 21:59,6,0,0
Pennsylvania,US,3/09/2020 21:59,6,0,0
South Carolina,US,3/09/2020 21:59,6,0,0
Arizona,US,3/09/2020 21:59,5,0,0
Maryland,US,3/09/2020 21:59,5,0,0
New Hampshire,US,3/09/2020 21:59,4,0,0
Nevada,US,3/09/2020 21:59,4,0,0
Kentucky,US,3/09/2020 21:59,4,0,0
Rhode Island,US,3/09/2020 21:59,3,0,0
Tennessee,US,3/09/2020 21:59,3,0,0
Indiana,US,3/09/2020 21:59,3,0,0
Nebraska,US,3/09/2020 21:59,3,0,0
,,3/09/2020 21:59,3,0,0
North Carolina,US,3/09/2020 21:59,2,0,0
Minnesota,US,3/09/2020 21:59,2,0,0
Hawaii,US,3/09/2020 21:59,2,0,0
Washington DC,US,3/09/2020 21:59,2,0,0
Virginia,US,3/09/2020 21:59,2,0,0
Wisconsin,US,3/09/2020 21:59,1,0,0
Oklahoma,US,3/09/2020 21:59,1,0,0
Utah,US,3/09/2020 21:59,1,0,0
Kansas,US,3/09/2020 21:59,1,0,0
Missouri,US,3/09/2020 21:59,1,0,0
Vermont,US,3/09/2020 21:59,1,0,0
Connecticut,US,3/09/2020 21:59,1,0,0
Ontario,Canada,3/09/2020 21:59,32,0,0
British Columbia,Canada,3/09/2020 21:59,27,0,0
Quebec,Canada,3/09/2020 21:59,4,0,0
Alberta,Canada,3/09/2020 21:59,4,0,0
,South Korea,3/09/2020 21:59,7478,53,166
,Italy,3/09/2020 21:59,7375,366,622
,Iran,3/09/2020 21:59,7161,237,2394
,France,3/09/2020 21:59,1209,19,12
,Germany,3/09/2020 21:59,1151,0,18
,Spain,3/09/2020 21:59,911,17,32
Yokohama,Japan,3/09/2020 21:59,696,7,245
,Japan,3/09/2020 21:59,502,7,76
,Switzerland,3/09/2020 21:59,332,2,3
,UK,3/09/2020 21:59,280,3,18
,Netherlands,3/09/2020 21:59,265,3,0
Brussels,Belgium,3/09/2020 21:59,239,0,1
,Sweden,3/09/2020 21:59,204,0,1
,Norway,3/09/2020 21:59,178,0,1
,Singapore,3/09/2020 21:59,150,0,90
,Malaysia,3/09/2020 21:59,117,0,24
Hong Kong,Hong Kong,3/09/2020 21:59,115,3,59
,Austria,3/09/2020 21:59,112,0,2
,Bahrain,3/09/2020 21:59,109,0,14
,Greece,3/09/2020 21:59,73,0,0
,Iraq,3/09/2020 21:59,65,6,1
,Kuwait,3/09/2020 21:59,65,0,1
,Iceland,3/09/2020 21:59,58,0,1
,Egypt,3/09/2020 21:59,55,1,1
,Thailand,3/09/2020 21:59,50,1,33
Taiwan,Taiwan,3/09/2020 21:59,45,1,15
,United Arab Emirates,3/09/2020 21:59,45,0,7
,India,3/09/2020 21:59,43,0,4
,Israel,3/09/2020 21:59,39,0,4
,San Marino,3/09/2020 21:59,36,1,0
,Denmark,3/09/2020 21:59,35,0,1
,Czechia,3/09/2020 21:59,32,0,0
,Lebanon,3/09/2020 21:59,32,0,1
,Portugal,3/09/2020 21:59,31,0,0
,Finland,3/09/2020 21:59,30,0,1
,Vietnam,3/09/2020 21:59,30,0,16
,Brazil,3/09/2020 21:59,25,0,0
,Ireland,3/09/2020 21:59,21,0,0
,Philippines,3/09/2020 21:59,20,1,2
,Algeria,3/09/2020 21:59,20,0,0
,Palestine,3/09/2020 21:59,20,0,0
,Qatar,3/09/2020 21:59,18,0,0
,Russia,3/09/2020 21:59,17,0,3
,Oman,3/09/2020 21:59,16,0,2
,Slovenia,3/09/2020 21:59,16,0,0
,Ecuador,3/09/2020 21:59,15,0,0
,Georgia,3/09/2020 21:59,15,0,0
,Romania,3/09/2020 21:59,15,0,5
,Saudi Arabia,3/09/2020 21:59,15,0,1
,Poland,3/09/2020 21:59,15,0,0
,Argentina,3/09/2020 21:59,12,1,0
,Croatia,3/09/2020 21:59,12,0,0
Macau,Macau,3/09/2020 21:59,10,0,10
,Estonia,3/09/2020 21:59,10,0,0
,Chile,3/09/2020 21:59,10,0,0
,Azerbaijan,3/09/2020 21:59,9,0,0
,Costa Rica,3/09/2020 21:59,9,0,0
,Hungary,3/09/2020 21:59,9,0,0
,Mexico,3/09/2020 21:59,7,0,1
,Pakistan,3/09/2020 21:59,7,0,1
,Peru,3/09/2020 21:59,7,0,0
,Belarus,3/09/2020 21:59,6,0,0
,Indonesia,3/09/2020 21:59,6,0,0
,Latvia,3/09/2020 21:59,6,0,1
,Slovakia,3/09/2020 21:59,6,0,0
,Dominican Republic,3/09/2020 21:59,5,0,0
,Luxembourg,3/09/2020 21:59,5,0,0
,New Zealand,3/09/2020 21:59,5,0,0
,French Guiana,3/09/2020 21:59,5,0,0
,Afghanistan,3/09/2020 21:59,4,0,0
,Senegal,3/09/2020 21:59,4,0,1
,Bulgaria,3/09/2020 21:59,4,0,0
,Maldives,3/09/2020 21:59,4,0,0
,North Macedonia,3/09/2020 21:59,3,0,0
,Bangladesh,3/09/2020 21:59,3,0,0
,Bosnia and Herzegovina,3/09/2020 21:59,3,0,0
,Malta,3/09/2020 21:59,3,0,0
,South Africa,3/09/2020 21:59,3,0,0
,Cambodia,3/09/2020 21:59,2,0,1
,Morocco,3/09/2020 21:59,2,0,0
,Nigeria,3/09/2020 21:59,2,0,0
,Tunisia,3/09/2020 21:59,2,0,0
,Albania,3/09/2020 21:59,2,0,0
,Cameroon,3/09/2020 21:59,2,0,0
,Faeroe Islands,3/09/2020 21:59,2,0,0
,Martinique,3/09/2020 21:59,2,0,0
,Saint Martin,3/09/2020 21:59,2,0,0
,Andorra,3/09/2020 21:59,1,0,0
,Armenia,3/09/2020 21:59,1,0,0
,Jordan,3/09/2020 21:59,1,0,0
,Lithuania,3/09/2020 21:59,1,0,0
,Monaco,3/09/2020 21:59,1,0,0
,Nepal,3/09/2020 21:59,1,0,1
,Sri Lanka,3/09/2020 21:59,1,0,1
,Ukraine,3/09/2020 21:59,1,0,0
,Bhutan,3/09/2020 21:59,1,0,0
,Colombia,3/09/2020 21:59,1,0,0
,Gibraltar,3/09/2020 21:59,1,0,1
,Vatican City,3/09/2020 21:59,1,0,0
,Liechtenstein,3/09/2020 21:59,1,0,0
,Moldova,3/09/2020 21:59,1,0,0
,Paraguay,3/09/2020 21:59,1,0,0
,St. Barth,3/09/2020 21:59,1,0,0
,Serbia,3/09/2020 21:59,1,0,0
,Togo,3/09/2020 21:59,1,0,0
