Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Tests,Critical
New York,US,4/23/2020 08:44,263292,20208,29826,0,0
New Jersey,US,4/23/2020 08:44,95865,5129,730,0,0
Massachusetts,US,4/23/2020 08:44,42944,2182,1299,0,0
California,US,4/23/2020 08:44,37344,1421,3580,0,0
Pennsylvania,US,4/23/2020 08:44,36082,1673,466,0,0
Illinois,US,4/23/2020 08:44,35107,1565,645,0,0
Michigan,US,4/23/2020 08:44,33966,2813,3272,0,0
Florida,US,4/23/2020 08:44,28309,893,174,0,0
Louisiana,US,4/23/2020 08:44,25258,1473,0,0,0
Connecticut,US,4/23/2020 08:44,22469,1544,63,0,0
Texas,US,4/23/2020 08:44,21321,556,7341,0,0
Georgia,US,4/23/2020 08:44,20740,838,340,0,0
Maryland,US,4/23/2020 08:44,14775,631,981,0,0
Ohio,US,4/23/2020 08:44,14117,610,448,0,0
WA,US,4/23/2020 08:44,12791,686,1798,0,0
Indiana,US,4/23/2020 08:44,12438,666,1559,0,0
Colorado,US,4/23/2020 08:44,10891,508,559,0,0
Virginia,US,4/23/2020 08:44,10260,324,721,0,0
Tennessee,US,4/23/2020 08:44,7394,157,3828,0,0
North Carolina,US,4/23/2020 08:44,7330,262,1302,0,0
Missouri,US,4/23/2020 08:44,6277,238,1244,0,0
Rhode Island,US,4/23/2020 08:44,5841,181,0,0,0
Alabama,US,4/23/2020 08:44,5572,195,0,0,0
Arizona,US,4/23/2020 08:44,5473,231,6,0,0
Mississippi,US,4/23/2020 08:44,4894,193,0,0,0
Wisconsin,US,4/23/2020 08:44,4845,248,196,0,0
South Carolina,US,4/23/2020 08:44,4761,140,0,0,0
Nevada,US,4/23/2020 08:44,4081,172,2209,0,0
Iowa,US,4/23/2020 08:44,3748,90,1171,0,0
Utah,US,4/23/2020 08:44,3445,32,218,0,0
Kentucky,US,4/23/2020 08:44,3368,185,1174,0,0
Washington DC,US,4/23/2020 08:44,3206,127,645,0,0
Delaware,US,4/23/2020 08:44,3200,89,599,0,0
Oklahoma,US,4/23/2020 08:44,2894,170,1774,0,0
Minnesota,US,4/23/2020 08:44,2722,179,1160,0,0
Kansas,US,4/23/2020 08:44,2331,112,444,0,0
Arkansas,US,4/23/2020 08:44,2276,42,726,0,0
New Mexico,US,4/23/2020 08:44,2210,71,529,0,0
Oregon,US,4/23/2020 08:44,2059,78,42,0,0
South Dakota,US,4/23/2020 08:44,1858,9,824,0,0
Idaho,US,4/23/2020 08:44,1766,51,660,0,0
Nebraska,US,4/23/2020 08:44,1722,38,0,0,0
New Hampshire,US,4/23/2020 08:44,1490,42,546,0,0
Navajo Nation,US,4/23/2020 08:44,1321,45,0,0,0
Puerto Rico,US,4/23/2020 08:44,1252,63,0,0,0
West Virginia,US,4/23/2020 08:44,939,27,330,0,0
Maine,US,4/23/2020 08:44,907,39,455,0,0
Vermont,US,4/23/2020 08:44,823,40,0,0,0
North Dakota,US,4/23/2020 08:44,679,14,214,0,0
